,condition,outcome,persona,response
0,apple aardvark,trust_competent_1,p0016,75
1,apple aardvark,trust_competent_1,p0022,68
2,apple aardvark,trust_competent_1,p0023,78
3,apple aardvark,trust_competent_1,p0026,75
4,apple aardvark,trust_competent_1,p0034,68
5,apple aardvark,trust_competent_1,p0036,68
6,apple aardvark,trust_competent_1,p0037,68
7,apple aardvark,trust_competent_1,p0042,68
8,apple aardvark,trust_competent_1,p0057,68
9,apple aardvark,trust_competent_1,p0066,75
10,apple aardvark,trust_competent_1,p0069,45
11,apple aardvark,trust_competent_1,p0072,78
12,apple aardvark,trust_competent_1,p0073,72
13,apple aardvark,trust_competent_1,p0082,68
14,apple aardvark,trust_competent_1,p0091,75
15,apple aardvark,trust_competent_1,p0092,68
16,apple aardvark,trust_competent_1,p0093,75
17,apple aardvark,trust_competent_1,p0095,72
18,apple aardvark,trust_competent_1,p0107,68
19,apple aardvark,trust_competent_1,p0114,78
20,apple aardvark,trust_competent_1,p0116,68
21,apple aardvark,trust_competent_1,p0118,68
22,apple aardvark,trust_competent_1,p0119,78
23,apple aardvark,trust_competent_1,p0126,68
24,apple aardvark,trust_competent_1,p0129,78
25,apple aardvark,trust_competent_1,p0136,62
26,apple aardvark,trust_competent_1,p0138,65
27,apple aardvark,trust_competent_1,p0144,68
28,apple aardvark,trust_competent_1,p0150,68
29,apple aardvark,trust_competent_1,p0152,68
30,apple aardvark,trust_competent_1,p0158,55
31,apple aardvark,trust_competent_1,p0161,68
32,apple aardvark,trust_competent_1,p0164,62
33,apple aardvark,trust_competent_1,p0175,72
34,apple aardvark,trust_competent_1,p0177,68
35,apple aardvark,trust_competent_1,p0178,78
36,apple aardvark,trust_competent_1,p0181,45
37,apple aardvark,trust_competent_1,p0186,68
38,apple aardvark,trust_competent_1,p0196,72
39,apple aardvark,trust_competent_1,p0198,78
40,apple aardvark,trust_competent_1,p0202,78
41,apple aardvark,trust_competent_1,p0205,68
42,apple aardvark,trust_competent_1,p0207,55
43,apple aardvark,trust_competent_1,p0211,65
44,apple aardvark,trust_competent_1,p0227,78
45,apple aardvark,trust_competent_1,p0229,68
46,apple aardvark,trust_competent_1,p0232,75
47,apple aardvark,trust_competent_1,p0233,68
48,apple aardvark,trust_competent_1,p0237,78
49,apple aardvark,trust_competent_1,p0258,68
50,apple aardvark,trust_competent_1,p0268,45
51,apple aardvark,trust_competent_1,p0274,78
52,apple aardvark,trust_competent_1,p0275,45
53,apple aardvark,trust_competent_1,p0277,62
54,apple aardvark,trust_competent_1,p0288,75
55,apple aardvark,trust_competent_1,p0291,75
56,apple aardvark,trust_competent_1,p0307,68
57,apple aardvark,trust_competent_1,p0308,68
58,apple aardvark,trust_competent_1,p0317,45
59,apple aardvark,trust_competent_1,p0325,78
60,apple aardvark,trust_competent_1,p0327,78
61,apple aardvark,trust_competent_1,p0334,78
62,apple aardvark,trust_competent_1,p0336,78
63,apple aardvark,trust_competent_1,p0338,45
64,apple aardvark,trust_competent_1,p0342,78
65,apple aardvark,trust_competent_1,p0349,68
66,apple aardvark,trust_competent_1,p0356,68
67,apple aardvark,trust_competent_1,p0358,68
68,apple aardvark,trust_competent_1,p0363,78
69,apple aardvark,trust_competent_1,p0364,78
70,apple aardvark,trust_competent_1,p0369,78
71,apple aardvark,trust_competent_1,p0370,62
72,apple aardvark,trust_competent_1,p0371,68
73,apple aardvark,trust_competent_1,p0379,68
74,apple aardvark,trust_competent_1,p0386,78
75,apple aardvark,trust_competent_1,p0396,78
76,apple aardvark,trust_competent_1,p0403,68
77,apple aardvark,trust_competent_1,p0405,75
78,apple aardvark,trust_competent_1,p0412,78
79,apple aardvark,trust_competent_1,p0415,45
80,apple aardvark,trust_competent_1,p0416,72
81,apple aardvark,trust_competent_1,p0417,68
82,apple aardvark,trust_competent_1,p0418,62
83,apple aardvark,trust_competent_1,p0430,78
84,apple aardvark,trust_competent_1,p0431,78
85,apple aardvark,trust_competent_1,p0434,35
86,apple aardvark,trust_competent_1,p0438,78
87,apple aardvark,trust_competent_1,p0441,78
88,apple aardvark,trust_competent_1,p0442,45
89,apple aardvark,trust_competent_1,p0449,65
90,apple aardvark,trust_competent_1,p0450,75
91,apple aardvark,trust_competent_1,p0465,62
92,apple aardvark,trust_competent_1,p0471,72
93,apple aardvark,trust_competent_1,p0477,78
94,apple aardvark,trust_competent_1,p0483,68
95,apple aardvark,trust_competent_1,p0486,75
96,apple aardvark,trust_competent_1,p0487,78
97,apple aardvark,trust_competent_1,p0489,75
98,apple aardvark,trust_competent_1,p0497,65
99,apple aardvark,trust_competent_1,p0502,68
100,apple aardvark,trust_competent_1,p0503,78
101,apple aardvark,trust_competent_1,p0506,68
102,apple aardvark,trust_competent_1,p0511,68
103,apple aardvark,trust_competent_1,p0523,68
104,apple aardvark,trust_competent_1,p0534,78
105,apple aardvark,trust_competent_1,p0536,68
106,apple aardvark,trust_competent_1,p0542,55
107,apple aardvark,trust_competent_1,p0547,78
108,apple aardvark,trust_competent_1,p0553,78
