,condition,outcome,persona,response
0,apple aardvark,gender,p0016,2
1,apple aardvark,gender,p0022,2
2,apple aardvark,gender,p0023,1
3,apple aardvark,gender,p0026,2
4,apple aardvark,gender,p0034,1
5,apple aardvark,gender,p0036,1
6,apple aardvark,gender,p0037,1
7,apple aardvark,gender,p0042,1
8,apple aardvark,gender,p0057,2
9,apple aardvark,gender,p0066,1
10,apple aardvark,gender,p0069,2
11,apple aardvark,gender,p0072,2
12,apple aardvark,gender,p0073,1
13,apple aardvark,gender,p0082,1
14,apple aardvark,gender,p0091,1
15,apple aardvark,gender,p0092,1
16,apple aardvark,gender,p0093,1
17,apple aardvark,gender,p0095,1
18,apple aardvark,gender,p0107,2
19,apple aardvark,gender,p0114,1
20,apple aardvark,gender,p0116,1
21,apple aardvark,gender,p0118,2
22,apple aardvark,gender,p0119,1
23,apple aardvark,gender,p0126,1
24,apple aardvark,gender,p0129,1
25,apple aardvark,gender,p0136,2
26,apple aardvark,gender,p0138,1
27,apple aardvark,gender,p0144,2
28,apple aardvark,gender,p0150,1
29,apple aardvark,gender,p0152,2
30,apple aardvark,gender,p0158,2
31,apple aardvark,gender,p0161,1
32,apple aardvark,gender,p0164,2
33,apple aardvark,gender,p0175,1
34,apple aardvark,gender,p0177,1
35,apple aardvark,gender,p0178,1
36,apple aardvark,gender,p0181,2
37,apple aardvark,gender,p0186,2
38,apple aardvark,gender,p0196,2
39,apple aardvark,gender,p0198,1
40,apple aardvark,gender,p0202,1
41,apple aardvark,gender,p0205,1
42,apple aardvark,gender,p0207,1
43,apple aardvark,gender,p0211,1
44,apple aardvark,gender,p0227,2
45,apple aardvark,gender,p0229,1
46,apple aardvark,gender,p0232,1
47,apple aardvark,gender,p0233,2
48,apple aardvark,gender,p0237,1
49,apple aardvark,gender,p0258,1
50,apple aardvark,gender,p0268,1
51,apple aardvark,gender,p0274,1
52,apple aardvark,gender,p0275,1
53,apple aardvark,gender,p0277,1
54,apple aardvark,gender,p0288,1
55,apple aardvark,gender,p0291,1
56,apple aardvark,gender,p0307,1
57,apple aardvark,gender,p0308,1
58,apple aardvark,gender,p0317,1
59,apple aardvark,gender,p0325,2
60,apple aardvark,gender,p0327,1
61,apple aardvark,gender,p0334,1
62,apple aardvark,gender,p0336,1
63,apple aardvark,gender,p0338,1
64,apple aardvark,gender,p0342,1
65,apple aardvark,gender,p0349,1
66,apple aardvark,gender,p0356,2
67,apple aardvark,gender,p0358,1
68,apple aardvark,gender,p0363,1
69,apple aardvark,gender,p0364,1
70,apple aardvark,gender,p0369,2
71,apple aardvark,gender,p0370,2
72,apple aardvark,gender,p0371,1
73,apple aardvark,gender,p0379,1
74,apple aardvark,gender,p0386,1
75,apple aardvark,gender,p0396,2
76,apple aardvark,gender,p0403,2
77,apple aardvark,gender,p0405,2
78,apple aardvark,gender,p0412,1
79,apple aardvark,gender,p0415,1
80,apple aardvark,gender,p0416,1
81,apple aardvark,gender,p0417,1
82,apple aardvark,gender,p0418,2
83,apple aardvark,gender,p0430,1
84,apple aardvark,gender,p0431,2
85,apple aardvark,gender,p0434,2
86,apple aardvark,gender,p0438,2
87,apple aardvark,gender,p0441,2
88,apple aardvark,gender,p0442,2
89,apple aardvark,gender,p0449,1
90,apple aardvark,gender,p0450,2
91,apple aardvark,gender,p0465,1
92,apple aardvark,gender,p0471,2
93,apple aardvark,gender,p0477,2
94,apple aardvark,gender,p0483,2
95,apple aardvark,gender,p0486,1
96,apple aardvark,gender,p0487,1
97,apple aardvark,gender,p0489,1
98,apple aardvark,gender,p0497,1
99,apple aardvark,gender,p0502,1
100,apple aardvark,gender,p0503,2
101,apple aardvark,gender,p0506,1
102,apple aardvark,gender,p0511,1
103,apple aardvark,gender,p0523,2
104,apple aardvark,gender,p0534,1
105,apple aardvark,gender,p0536,1
106,apple aardvark,gender,p0542,1
107,apple aardvark,gender,p0547,2
108,apple aardvark,gender,p0553,1
109,apple aardvark,gender,p0559,2
110,apple aardvark,gender,p0566,1
111,apple aardvark,gender,p0568,2
112,apple aardvark,gender,p0570,1
113,apple aardvark,gender,p0573,2
114,apple aardvark,gender,p0578,1
115,apple aardvark,gender,p0594,1
116,apple aardvark,gender,p0597,1
117,apple aardvark,gender,p0601,1
118,apple aardvark,gender,p0602,2
119,apple aardvark,gender,p0605,1
120,apple aardvark,gender,p0615,1
121,apple aardvark,gender,p0620,1
122,apple aardvark,gender,p0626,2
123,apple aardvark,gender,p0629,2
124,apple aardvark,gender,p0633,2
125,apple aardvark,gender,p0638,2
126,apple aardvark,gender,p0639,1
127,apple aardvark,gender,p0640,2
128,apple aardvark,gender,p0655,2
129,apple aardvark,gender,p0656,1
130,apple aardvark,gender,p0658,1
131,apple aardvark,gender,p0661,1
132,apple aardvark,gender,p0669,1
133,apple aardvark,gender,p0670,2
134,apple aardvark,gender,p0672,2
135,apple aardvark,gender,p0674,1
136,apple aardvark,gender,p0678,1
137,apple aardvark,gender,p0683,2
138,apple aardvark,gender,p0686,1
139,apple aardvark,gender,p0687,1
140,apple aardvark,gender,p0698,2
141,apple aardvark,gender,p0700,1
142,apple aardvark,gender,p0703,1
143,apple aardvark,gender,p0718,1
144,apple aardvark,gender,p0744,2
145,apple aardvark,gender,p0745,1
146,apple aardvark,gender,p0753,2
147,apple aardvark,gender,p0770,1
148,apple aardvark,gender,p0771,1
149,apple aardvark,gender,p0777,1
150,apple aardvark,gender,p0779,1
151,apple aardvark,gender,p0780,2
152,apple aardvark,gender,p0783,1
153,apple aardvark,gender,p0785,2
154,apple aardvark,gender,p0786,2
155,apple aardvark,gender,p0794,1
156,apple aardvark,gender,p0798,1
157,apple aardvark,gender,p0800,1
158,apple aardvark,gender,p0820,2
159,apple aardvark,gender,p0841,2
160,apple aardvark,gender,p0849,1
161,apple aardvark,gender,p0862,1
162,apple aardvark,gender,p0867,2
163,apple aardvark,gender,p0869,1
164,apple aardvark,gender,p0872,1
165,apple aardvark,gender,p0880,2
166,apple aardvark,gender,p0891,1
167,apple aardvark,gender,p0916,2
168,apple aardvark,gender,p0917,2
169,apple aardvark,gender,p0919,2
170,apple aardvark,gender,p0922,2
171,apple aardvark,gender,p0925,2
172,apple aardvark,gender,p0927,1
173,apple aardvark,gender,p0929,2
174,apple aardvark,gender,p0930,1
175,apple aardvark,gender,p0931,2
176,apple aardvark,gender,p0933,2
177,apple aardvark,gender,p0934,2
178,apple aardvark,gender,p0936,2
179,apple aardvark,gender,p0938,1
180,apple aardvark,gender,p0939,2
181,apple aardvark,gender,p0946,1
182,apple aardvark,gender,p0951,1
183,apple aardvark,gender,p0956,2
184,apple aardvark,gender,p0962,2
185,apple aardvark,gender,p0963,1
186,apple aardvark,gender,p0969,1
187,apple aardvark,gender,p0972,1
188,apple aardvark,gender,p0975,1
189,apple aardvark,gender,p0985,2
190,apple aardvark,gender,p0993,1
191,apple aardvark,gender,p0996,2
192,apple aardvark,gender,p1011,1
193,apple aardvark,gender,p1017,2
194,apple aardvark,gender,p1020,1
195,apple aardvark,gender,p1022,1
196,apple aardvark,gender,p1024,2
197,apple aardvark,gender,p1027,1
198,apple aardvark,gender,p1028,1
199,apple aardvark,gender,p1029,2
200,apple aardvark,gender,p1032,1
201,apple aardvark,gender,p1040,1
202,apple aardvark,gender,p1047,1
203,apple aardvark,gender,p1048,1
204,apple aardvark,gender,p1053,2
205,apple aardvark,gender,p1057,1
206,apple aardvark,gender,p1058,2
207,apple aardvark,gender,p1063,1
208,apple aardvark,gender,p1064,2
209,apple aardvark,gender,p1065,1
210,apple aardvark,gender,p1069,2
211,apple aardvark,gender,p1072,1
212,apple aardvark,gender,p1073,1
213,apple aardvark,gender,p1075,2
214,apple aardvark,gender,p1076,2
215,apple aardvark,gender,p1083,2
216,apple aardvark,gender,p1089,1
217,apple aardvark,gender,p1093,1
218,apple aardvark,gender,p1096,2
219,apple aardvark,gender,p1100,1
220,apple aardvark,gender,p1106,2
221,apple aardvark,gender,p1107,2
222,apple aardvark,gender,p1113,1
223,apple aardvark,gender,p1117,1
224,apple aardvark,gender,p1120,1
225,apple aardvark,gender,p1134,1
226,apple aardvark,gender,p1136,1
227,apple aardvark,gender,p1138,2
228,apple aardvark,gender,p1144,1
229,apple aardvark,gender,p1145,1
230,apple aardvark,gender,p1147,2
231,apple aardvark,gender,p1148,1
232,apple aardvark,gender,p1154,2
233,apple aardvark,gender,p1159,1
234,apple aardvark,gender,p1167,1
235,apple aardvark,gender,p1175,2
236,apple aardvark,gender,p1178,2
237,apple aardvark,gender,p1184,2
238,apple aardvark,gender,p1186,1
239,apple aardvark,gender,p1196,1
240,apple aardvark,gender,p1197,2
241,apple aardvark,gender,p1203,1
242,apple aardvark,gender,p1219,2
243,apple aardvark,gender,p1225,1
244,apple aardvark,gender,p1234,2
245,apple aardvark,gender,p1242,1
246,apple aardvark,gender,p1244,1
247,apple aardvark,gender,p1249,2
248,apple aardvark,gender,p1250,1
249,apple aardvark,gender,p1256,1
250,apple aardvark,gender,p1258,2
251,apple aardvark,gender,p1260,1
252,apple aardvark,gender,p1262,1
253,apple aardvark,gender,p1264,2
254,apple aardvark,gender,p1265,2
255,apple aardvark,gender,p1269,1
256,apple aardvark,gender,p1272,2
257,apple aardvark,gender,p1278,1
258,apple aardvark,gender,p1281,2
259,apple aardvark,gender,p1292,1
260,apple aardvark,gender,p1299,2
261,apple aardvark,gender,p1312,2
262,apple aardvark,gender,p1322,1
263,apple aardvark,gender,p1326,2
264,apple aardvark,gender,p1330,2
265,apple aardvark,gender,p1335,2
266,apple aardvark,gender,p1337,1
267,apple aardvark,gender,p1340,1
268,apple aardvark,gender,p1345,1
269,apple aardvark,gender,p1351,1
270,apple aardvark,gender,p1355,2
271,apple aardvark,gender,p1362,2
272,apple aardvark,gender,p1365,1
273,apple aardvark,gender,p1366,2
274,apple aardvark,gender,p1367,1
275,apple aardvark,gender,p1370,2
276,apple aardvark,gender,p1371,1
277,apple aardvark,gender,p1373,2
278,apple aardvark,gender,p1375,2
279,apple aardvark,gender,p1376,2
280,apple aardvark,gender,p1379,2
281,apple aardvark,gender,p1381,2
282,apple aardvark,gender,p1393,2
283,apple aardvark,gender,p1396,2
284,apple aardvark,gender,p1398,1
285,apple aardvark,gender,p1404,2
286,apple aardvark,gender,p1406,1
287,apple aardvark,gender,p1407,2
288,apple aardvark,gender,p1409,1
289,apple aardvark,gender,p1412,1
290,apple aardvark,gender,p1414,1
291,apple aardvark,gender,p1424,1
292,apple aardvark,gender,p1425,1
293,apple aardvark,gender,p1429,2
294,apple aardvark,gender,p1434,1
295,apple aardvark,gender,p1441,1
296,apple aardvark,gender,p1445,1
297,apple aardvark,gender,p1450,1
298,apple aardvark,gender,p1454,1
299,apple aardvark,gender,p1456,1
300,apple aardvark,gender,p1457,2
301,apple aardvark,gender,p1458,1
302,apple aardvark,gender,p1469,1
303,apple aardvark,gender,p1470,1
304,apple aardvark,gender,p1481,1
305,apple aardvark,gender,p1488,2
306,apple aardvark,gender,p1492,1
307,apple aardvark,gender,p1495,1
308,apple aardvark,gender,p1497,2
309,apple aardvark,gender,p1499,1
310,apple aardvark,gender,p1503,1
311,apple aardvark,gender,p1511,1
312,apple aardvark,gender,p1512,2
313,apple aardvark,gender,p1518,2
314,apple aardvark,gender,p1519,2
315,apple aardvark,gender,p1520,2
316,apple aardvark,gender,p1524,2
317,apple aardvark,gender,p1526,2
318,apple aardvark,gender,p1537,1
319,apple aardvark,gender,p1545,2
320,apple aardvark,gender,p1547,2
321,apple aardvark,gender,p1552,1
322,apple aardvark,gender,p1567,1
323,apple aardvark,gender,p1568,2
324,apple aardvark,gender,p1579,2
325,apple aardvark,gender,p1587,2
326,apple aardvark,gender,p1596,1
327,apple aardvark,gender,p1600,1
328,apple aardvark,gender,p1603,2
329,apple aardvark,gender,p1604,2
330,apple aardvark,gender,p1610,2
331,apple aardvark,gender,p1618,1
332,apple aardvark,gender,p1619,1
333,apple aardvark,gender,p1622,1
334,apple aardvark,gender,p1623,1
335,apple aardvark,gender,p1630,1
336,apple aardvark,gender,p1641,1
337,apple aardvark,gender,p1649,1
338,apple aardvark,gender,p1652,1
339,apple aardvark,gender,p1665,1
340,apple aardvark,gender,p1669,1
341,apple aardvark,gender,p1685,1
342,apple aardvark,gender,p1693,2
343,apple aardvark,gender,p1698,1
