,condition,outcome,persona,response
0,complicated cockroach,trust_competent_1,p0016,72
1,complicated cockroach,trust_competent_1,p0022,68
2,complicated cockroach,trust_competent_1,p0023,72
3,complicated cockroach,trust_competent_1,p0026,68
4,complicated cockroach,trust_competent_1,p0034,62
5,complicated cockroach,trust_competent_1,p0036,65
6,complicated cockroach,trust_competent_1,p0037,65
7,complicated cockroach,trust_competent_1,p0042,68
8,complicated cockroach,trust_competent_1,p0057,65
9,complicated cockroach,trust_competent_1,p0066,75
10,complicated cockroach,trust_competent_1,p0069,65
11,complicated cockroach,trust_competent_1,p0072,75
12,complicated cockroach,trust_competent_1,p0073,62
13,complicated cockroach,trust_competent_1,p0082,68
14,complicated cockroach,trust_competent_1,p0091,72
15,complicated cockroach,trust_competent_1,p0092,68
16,complicated cockroach,trust_competent_1,p0093,72
17,complicated cockroach,trust_competent_1,p0095,72
18,complicated cockroach,trust_competent_1,p0107,58
19,complicated cockroach,trust_competent_1,p0114,78
20,complicated cockroach,trust_competent_1,p0116,58
21,complicated cockroach,trust_competent_1,p0118,65
22,complicated cockroach,trust_competent_1,p0119,72
23,complicated cockroach,trust_competent_1,p0126,68
24,complicated cockroach,trust_competent_1,p0129,78
25,complicated cockroach,trust_competent_1,p0136,65
26,complicated cockroach,trust_competent_1,p0138,58
27,complicated cockroach,trust_competent_1,p0144,62
28,complicated cockroach,trust_competent_1,p0150,62
29,complicated cockroach,trust_competent_1,p0152,65
30,complicated cockroach,trust_competent_1,p0158,58
31,complicated cockroach,trust_competent_1,p0161,68
32,complicated cockroach,trust_competent_1,p0164,62
33,complicated cockroach,trust_competent_1,p0175,68
34,complicated cockroach,trust_competent_1,p0177,68
35,complicated cockroach,trust_competent_1,p0178,78
36,complicated cockroach,trust_competent_1,p0181,45
37,complicated cockroach,trust_competent_1,p0186,62
38,complicated cockroach,trust_competent_1,p0196,68
39,complicated cockroach,trust_competent_1,p0198,75
40,complicated cockroach,trust_competent_1,p0202,75
41,complicated cockroach,trust_competent_1,p0205,62
42,complicated cockroach,trust_competent_1,p0207,45
43,complicated cockroach,trust_competent_1,p0211,45
44,complicated cockroach,trust_competent_1,p0227,78
45,complicated cockroach,trust_competent_1,p0229,65
46,complicated cockroach,trust_competent_1,p0232,68
47,complicated cockroach,trust_competent_1,p0233,65
48,complicated cockroach,trust_competent_1,p0237,78
49,complicated cockroach,trust_competent_1,p0258,65
50,complicated cockroach,trust_competent_1,p0268,45
51,complicated cockroach,trust_competent_1,p0274,72
52,complicated cockroach,trust_competent_1,p0275,35
53,complicated cockroach,trust_competent_1,p0277,62
54,complicated cockroach,trust_competent_1,p0288,68
55,complicated cockroach,trust_competent_1,p0291,72
56,complicated cockroach,trust_competent_1,p0307,62
57,complicated cockroach,trust_competent_1,p0308,68
58,complicated cockroach,trust_competent_1,p0317,55
59,complicated cockroach,trust_competent_1,p0325,78
60,complicated cockroach,trust_competent_1,p0327,72
61,complicated cockroach,trust_competent_1,p0334,78
62,complicated cockroach,trust_competent_1,p0336,75
63,complicated cockroach,trust_competent_1,p0338,45
64,complicated cockroach,trust_competent_1,p0342,72
65,complicated cockroach,trust_competent_1,p0349,58
66,complicated cockroach,trust_competent_1,p0356,65
67,complicated cockroach,trust_competent_1,p0358,68
68,complicated cockroach,trust_competent_1,p0363,68
69,complicated cockroach,trust_competent_1,p0364,75
70,complicated cockroach,trust_competent_1,p0369,78
71,complicated cockroach,trust_competent_1,p0370,58
72,complicated cockroach,trust_competent_1,p0371,68
73,complicated cockroach,trust_competent_1,p0379,58
74,complicated cockroach,trust_competent_1,p0386,78
75,complicated cockroach,trust_competent_1,p0396,68
76,complicated cockroach,trust_competent_1,p0403,68
77,complicated cockroach,trust_competent_1,p0405,72
78,complicated cockroach,trust_competent_1,p0412,68
79,complicated cockroach,trust_competent_1,p0415,45
80,complicated cockroach,trust_competent_1,p0416,68
81,complicated cockroach,trust_competent_1,p0417,72
82,complicated cockroach,trust_competent_1,p0418,62
83,complicated cockroach,trust_competent_1,p0430,75
84,complicated cockroach,trust_competent_1,p0431,78
85,complicated cockroach,trust_competent_1,p0434,35
86,complicated cockroach,trust_competent_1,p0438,72
87,complicated cockroach,trust_competent_1,p0441,68
88,complicated cockroach,trust_competent_1,p0442,45
89,complicated cockroach,trust_competent_1,p0449,45
90,complicated cockroach,trust_competent_1,p0450,75
91,complicated cockroach,trust_competent_1,p0465,62
92,complicated cockroach,trust_competent_1,p0471,68
93,complicated cockroach,trust_competent_1,p0477,68
94,complicated cockroach,trust_competent_1,p0483,68
95,complicated cockroach,trust_competent_1,p0486,75
96,complicated cockroach,trust_competent_1,p0487,72
97,complicated cockroach,trust_competent_1,p0489,68
98,complicated cockroach,trust_competent_1,p0497,62
99,complicated cockroach,trust_competent_1,p0502,62
100,complicated cockroach,trust_competent_1,p0503,72
101,complicated cockroach,trust_competent_1,p0506,62
102,complicated cockroach,trust_competent_1,p0511,68
103,complicated cockroach,trust_competent_1,p0523,68
104,complicated cockroach,trust_competent_1,p0534,78
105,complicated cockroach,trust_competent_1,p0536,68
106,complicated cockroach,trust_competent_1,p0542,45
107,complicated cockroach,trust_competent_1,p0547,78
108,complicated cockroach,trust_competent_1,p0553,72
109,complicated cockroach,trust_competent_1,p0559,68
110,complicated cockroach,trust_competent_1,p0566,68
111,complicated cockroach,trust_competent_1,p0568,68
112,complicated cockroach,trust_competent_1,p0570,45
113,complicated cockroach,trust_competent_1,p0573,68
114,complicated cockroach,trust_competent_1,p0578,62
115,complicated cockroach,trust_competent_1,p0594,58
116,complicated cockroach,trust_competent_1,p0597,68
117,complicated cockroach,trust_competent_1,p0601,68
118,complicated cockroach,trust_competent_1,p0602,58
119,complicated cockroach,trust_competent_1,p0605,65
120,complicated cockroach,trust_competent_1,p0615,68
121,complicated cockroach,trust_competent_1,p0620,68
122,complicated cockroach,trust_competent_1,p0626,68
123,complicated cockroach,trust_competent_1,p0629,78
124,complicated cockroach,trust_competent_1,p0633,55
125,complicated cockroach,trust_competent_1,p0638,72
126,complicated cockroach,trust_competent_1,p0639,68
127,complicated cockroach,trust_competent_1,p0640,62
128,complicated cockroach,trust_competent_1,p0655,68
129,complicated cockroach,trust_competent_1,p0656,65
130,complicated cockroach,trust_competent_1,p0658,62
131,complicated cockroach,trust_competent_1,p0661,62
132,complicated cockroach,trust_competent_1,p0669,78
133,complicated cockroach,trust_competent_1,p0670,58
134,complicated cockroach,trust_competent_1,p0672,68
135,complicated cockroach,trust_competent_1,p0674,72
136,complicated cockroach,trust_competent_1,p0678,72
137,complicated cockroach,trust_competent_1,p0683,72
138,complicated cockroach,trust_competent_1,p0686,65
139,complicated cockroach,trust_competent_1,p0687,68
140,complicated cockroach,trust_competent_1,p0698,68
141,complicated cockroach,trust_competent_1,p0700,65
142,complicated cockroach,trust_competent_1,p0703,65
143,complicated cockroach,trust_competent_1,p0718,62
144,complicated cockroach,trust_competent_1,p0744,78
145,complicated cockroach,trust_competent_1,p0745,68
146,complicated cockroach,trust_competent_1,p0753,62
147,complicated cockroach,trust_competent_1,p0770,72
148,complicated cockroach,trust_competent_1,p0771,68
149,complicated cockroach,trust_competent_1,p0777,78
150,complicated cockroach,trust_competent_1,p0779,72
151,complicated cockroach,trust_competent_1,p0780,65
152,complicated cockroach,trust_competent_1,p0783,62
153,complicated cockroach,trust_competent_1,p0785,62
154,complicated cockroach,trust_competent_1,p0786,45
155,complicated cockroach,trust_competent_1,p0794,35
156,complicated cockroach,trust_competent_1,p0798,35
157,complicated cockroach,trust_competent_1,p0800,68
158,complicated cockroach,trust_competent_1,p0820,45
159,complicated cockroach,trust_competent_1,p0841,68
160,complicated cockroach,trust_competent_1,p0849,68
161,complicated cockroach,trust_competent_1,p0862,78
162,complicated cockroach,trust_competent_1,p0867,72
163,complicated cockroach,trust_competent_1,p0869,72
164,complicated cockroach,trust_competent_1,p0872,68
165,complicated cockroach,trust_competent_1,p0880,68
166,complicated cockroach,trust_competent_1,p0891,65
167,complicated cockroach,trust_competent_1,p0916,72
168,complicated cockroach,trust_competent_1,p0917,72
169,complicated cockroach,trust_competent_1,p0919,78
170,complicated cockroach,trust_competent_1,p0922,65
171,complicated cockroach,trust_competent_1,p0925,68
172,complicated cockroach,trust_competent_1,p0927,68
173,complicated cockroach,trust_competent_1,p0929,68
174,complicated cockroach,trust_competent_1,p0930,68
175,complicated cockroach,trust_competent_1,p0931,45
176,complicated cockroach,trust_competent_1,p0933,62
177,complicated cockroach,trust_competent_1,p0934,65
178,complicated cockroach,trust_competent_1,p0936,75
179,complicated cockroach,trust_competent_1,p0938,72
180,complicated cockroach,trust_competent_1,p0939,62
181,complicated cockroach,trust_competent_1,p0946,62
182,complicated cockroach,trust_competent_1,p0951,65
183,complicated cockroach,trust_competent_1,p0956,68
184,complicated cockroach,trust_competent_1,p0962,75
185,complicated cockroach,trust_competent_1,p0963,68
186,complicated cockroach,trust_competent_1,p0969,68
187,complicated cockroach,trust_competent_1,p0972,62
188,complicated cockroach,trust_competent_1,p0975,62
189,complicated cockroach,trust_competent_1,p0985,45
190,complicated cockroach,trust_competent_1,p0993,68
191,complicated cockroach,trust_competent_1,p0996,62
192,complicated cockroach,trust_competent_1,p1011,62
193,complicated cockroach,trust_competent_1,p1017,45
194,complicated cockroach,trust_competent_1,p1020,68
195,complicated cockroach,trust_competent_1,p1022,78
196,complicated cockroach,trust_competent_1,p1024,45
197,complicated cockroach,trust_competent_1,p1027,78
198,complicated cockroach,trust_competent_1,p1028,75
199,complicated cockroach,trust_competent_1,p1029,45
200,complicated cockroach,trust_competent_1,p1032,68
201,complicated cockroach,trust_competent_1,p1040,72
202,complicated cockroach,trust_competent_1,p1047,45
203,complicated cockroach,trust_competent_1,p1048,62
204,complicated cockroach,trust_competent_1,p1053,58
205,complicated cockroach,trust_competent_1,p1057,65
206,complicated cockroach,trust_competent_1,p1058,65
207,complicated cockroach,trust_competent_1,p1063,45
208,complicated cockroach,trust_competent_1,p1064,78
209,complicated cockroach,trust_competent_1,p1065,65
210,complicated cockroach,trust_competent_1,p1069,62
211,complicated cockroach,trust_competent_1,p1072,75
212,complicated cockroach,trust_competent_1,p1073,68
213,complicated cockroach,trust_competent_1,p1075,75
214,complicated cockroach,trust_competent_1,p1076,45
215,complicated cockroach,trust_competent_1,p1083,62
216,complicated cockroach,trust_competent_1,p1089,72
217,complicated cockroach,trust_competent_1,p1093,68
218,complicated cockroach,trust_competent_1,p1096,72
219,complicated cockroach,trust_competent_1,p1100,62
220,complicated cockroach,trust_competent_1,p1106,68
221,complicated cockroach,trust_competent_1,p1107,62
222,complicated cockroach,trust_competent_1,p1113,65
223,complicated cockroach,trust_competent_1,p1117,45
224,complicated cockroach,trust_competent_1,p1120,68
225,complicated cockroach,trust_competent_1,p1134,68
226,complicated cockroach,trust_competent_1,p1136,45
227,complicated cockroach,trust_competent_1,p1138,68
228,complicated cockroach,trust_competent_1,p1144,55
229,complicated cockroach,trust_competent_1,p1145,78
230,complicated cockroach,trust_competent_1,p1147,78
231,complicated cockroach,trust_competent_1,p1148,72
232,complicated cockroach,trust_competent_1,p1154,78
233,complicated cockroach,trust_competent_1,p1159,68
234,complicated cockroach,trust_competent_1,p1167,68
235,complicated cockroach,trust_competent_1,p1175,72
236,complicated cockroach,trust_competent_1,p1178,62
237,complicated cockroach,trust_competent_1,p1184,68
238,complicated cockroach,trust_competent_1,p1186,72
239,complicated cockroach,trust_competent_1,p1196,62
240,complicated cockroach,trust_competent_1,p1197,55
241,complicated cockroach,trust_competent_1,p1203,68
242,complicated cockroach,trust_competent_1,p1219,58
243,complicated cockroach,trust_competent_1,p1225,62
244,complicated cockroach,trust_competent_1,p1234,68
245,complicated cockroach,trust_competent_1,p1242,65
246,complicated cockroach,trust_competent_1,p1244,68
247,complicated cockroach,trust_competent_1,p1249,62
248,complicated cockroach,trust_competent_1,p1250,68
249,complicated cockroach,trust_competent_1,p1256,68
250,complicated cockroach,trust_competent_1,p1258,78
251,complicated cockroach,trust_competent_1,p1260,45
252,complicated cockroach,trust_competent_1,p1262,62
253,complicated cockroach,trust_competent_1,p1264,65
254,complicated cockroach,trust_competent_1,p1265,72
255,complicated cockroach,trust_competent_1,p1269,68
256,complicated cockroach,trust_competent_1,p1272,68
257,complicated cockroach,trust_competent_1,p1278,72
258,complicated cockroach,trust_competent_1,p1281,68
259,complicated cockroach,trust_competent_1,p1292,62
260,complicated cockroach,trust_competent_1,p1299,62
261,complicated cockroach,trust_competent_1,p1312,62
262,complicated cockroach,trust_competent_1,p1322,68
263,complicated cockroach,trust_competent_1,p1326,68
264,complicated cockroach,trust_competent_1,p1330,68
265,complicated cockroach,trust_competent_1,p1335,68
266,complicated cockroach,trust_competent_1,p1337,72
267,complicated cockroach,trust_competent_1,p1340,72
268,complicated cockroach,trust_competent_1,p1345,68
269,complicated cockroach,trust_competent_1,p1351,55
270,complicated cockroach,trust_competent_1,p1355,58
271,complicated cockroach,trust_competent_1,p1362,65
272,complicated cockroach,trust_competent_1,p1365,62
273,complicated cockroach,trust_competent_1,p1366,58
274,complicated cockroach,trust_competent_1,p1367,58
275,complicated cockroach,trust_competent_1,p1370,72
276,complicated cockroach,trust_competent_1,p1371,78
277,complicated cockroach,trust_competent_1,p1373,65
278,complicated cockroach,trust_competent_1,p1375,65
279,complicated cockroach,trust_competent_1,p1376,65
280,complicated cockroach,trust_competent_1,p1379,65
281,complicated cockroach,trust_competent_1,p1381,55
282,complicated cockroach,trust_competent_1,p1393,68
283,complicated cockroach,trust_competent_1,p1396,75
284,complicated cockroach,trust_competent_1,p1398,68
285,complicated cockroach,trust_competent_1,p1404,68
286,complicated cockroach,trust_competent_1,p1406,68
287,complicated cockroach,trust_competent_1,p1407,62
288,complicated cockroach,trust_competent_1,p1409,68
289,complicated cockroach,trust_competent_1,p1412,68
290,complicated cockroach,trust_competent_1,p1414,78
291,complicated cockroach,trust_competent_1,p1424,68
292,complicated cockroach,trust_competent_1,p1425,55
293,complicated cockroach,trust_competent_1,p1429,55
294,complicated cockroach,trust_competent_1,p1434,68
295,complicated cockroach,trust_competent_1,p1441,62
296,complicated cockroach,trust_competent_1,p1445,62
297,complicated cockroach,trust_competent_1,p1450,72
298,complicated cockroach,trust_competent_1,p1454,68
299,complicated cockroach,trust_competent_1,p1456,62
300,complicated cockroach,trust_competent_1,p1457,65
301,complicated cockroach,trust_competent_1,p1458,78
302,complicated cockroach,trust_competent_1,p1469,68
303,complicated cockroach,trust_competent_1,p1470,65
304,complicated cockroach,trust_competent_1,p1481,65
305,complicated cockroach,trust_competent_1,p1488,68
306,complicated cockroach,trust_competent_1,p1492,58
307,complicated cockroach,trust_competent_1,p1495,68
308,complicated cockroach,trust_competent_1,p1497,68
309,complicated cockroach,trust_competent_1,p1499,58
310,complicated cockroach,trust_competent_1,p1503,68
311,complicated cockroach,trust_competent_1,p1511,72
312,complicated cockroach,trust_competent_1,p1512,62
313,complicated cockroach,trust_competent_1,p1518,68
314,complicated cockroach,trust_competent_1,p1519,62
315,complicated cockroach,trust_competent_1,p1520,65
316,complicated cockroach,trust_competent_1,p1524,68
317,complicated cockroach,trust_competent_1,p1526,65
318,complicated cockroach,trust_competent_1,p1537,68
319,complicated cockroach,trust_competent_1,p1545,68
320,complicated cockroach,trust_competent_1,p1547,68
321,complicated cockroach,trust_competent_1,p1552,75
322,complicated cockroach,trust_competent_1,p1567,68
323,complicated cockroach,trust_competent_1,p1568,68
324,complicated cockroach,trust_competent_1,p1579,35
