,condition,outcome,persona,response
0,complicated cockroach,gender,p0016,2
1,complicated cockroach,gender,p0022,2
2,complicated cockroach,gender,p0023,1
3,complicated cockroach,gender,p0026,2
4,complicated cockroach,gender,p0034,1
5,complicated cockroach,gender,p0036,1
6,complicated cockroach,gender,p0037,1
7,complicated cockroach,gender,p0042,1
8,complicated cockroach,gender,p0057,2
9,complicated cockroach,gender,p0066,1
10,complicated cockroach,gender,p0069,2
11,complicated cockroach,gender,p0072,2
12,complicated cockroach,gender,p0073,1
13,complicated cockroach,gender,p0082,1
14,complicated cockroach,gender,p0091,1
15,complicated cockroach,gender,p0092,1
16,complicated cockroach,gender,p0093,1
17,complicated cockroach,gender,p0095,1
18,complicated cockroach,gender,p0107,2
19,complicated cockroach,gender,p0114,1
20,complicated cockroach,gender,p0116,1
21,complicated cockroach,gender,p0118,2
22,complicated cockroach,gender,p0119,1
23,complicated cockroach,gender,p0126,1
24,complicated cockroach,gender,p0129,1
25,complicated cockroach,gender,p0136,2
26,complicated cockroach,gender,p0138,1
27,complicated cockroach,gender,p0144,2
28,complicated cockroach,gender,p0150,1
29,complicated cockroach,gender,p0152,2
30,complicated cockroach,gender,p0158,2
31,complicated cockroach,gender,p0161,1
32,complicated cockroach,gender,p0164,2
33,complicated cockroach,gender,p0175,1
34,complicated cockroach,gender,p0177,1
35,complicated cockroach,gender,p0178,1
36,complicated cockroach,gender,p0181,2
37,complicated cockroach,gender,p0186,2
38,complicated cockroach,gender,p0196,2
39,complicated cockroach,gender,p0198,1
40,complicated cockroach,gender,p0202,1
41,complicated cockroach,gender,p0205,1
42,complicated cockroach,gender,p0207,1
43,complicated cockroach,gender,p0211,1
44,complicated cockroach,gender,p0227,2
45,complicated cockroach,gender,p0229,1
46,complicated cockroach,gender,p0232,1
47,complicated cockroach,gender,p0233,2
48,complicated cockroach,gender,p0237,1
49,complicated cockroach,gender,p0258,1
50,complicated cockroach,gender,p0268,1
51,complicated cockroach,gender,p0274,1
52,complicated cockroach,gender,p0275,1
53,complicated cockroach,gender,p0277,1
54,complicated cockroach,gender,p0288,1
55,complicated cockroach,gender,p0291,1
56,complicated cockroach,gender,p0307,1
57,complicated cockroach,gender,p0308,1
58,complicated cockroach,gender,p0317,1
59,complicated cockroach,gender,p0325,2
60,complicated cockroach,gender,p0327,1
61,complicated cockroach,gender,p0334,1
62,complicated cockroach,gender,p0336,1
63,complicated cockroach,gender,p0338,1
64,complicated cockroach,gender,p0342,1
65,complicated cockroach,gender,p0349,1
66,complicated cockroach,gender,p0356,2
67,complicated cockroach,gender,p0358,1
68,complicated cockroach,gender,p0363,1
