,condition,outcome,persona,response
0,control baseball,trust_competent_1,p0016,55
1,control baseball,trust_competent_1,p0022,45
2,control baseball,trust_competent_1,p0023,45
3,control baseball,trust_competent_1,p0026,45
4,control baseball,trust_competent_1,p0034,35
5,control baseball,trust_competent_1,p0036,45
6,control baseball,trust_competent_1,p0037,45
7,control baseball,trust_competent_1,p0042,45
8,control baseball,trust_competent_1,p0057,45
9,control baseball,trust_competent_1,p0066,45
10,control baseball,trust_competent_1,p0069,35
11,control baseball,trust_competent_1,p0072,45
12,control baseball,trust_competent_1,p0073,45
13,control baseball,trust_competent_1,p0082,45
14,control baseball,trust_competent_1,p0091,45
15,control baseball,trust_competent_1,p0092,45
16,control baseball,trust_competent_1,p0093,45
17,control baseball,trust_competent_1,p0095,55
18,control baseball,trust_competent_1,p0107,45
19,control baseball,trust_competent_1,p0114,62
20,control baseball,trust_competent_1,p0116,45
21,control baseball,trust_competent_1,p0118,45
22,control baseball,trust_competent_1,p0119,45
23,control baseball,trust_competent_1,p0126,45
24,control baseball,trust_competent_1,p0129,45
25,control baseball,trust_competent_1,p0136,45
26,control baseball,trust_competent_1,p0138,45
27,control baseball,trust_competent_1,p0144,45
28,control baseball,trust_competent_1,p0150,35
29,control baseball,trust_competent_1,p0152,45
30,control baseball,trust_competent_1,p0158,45
31,control baseball,trust_competent_1,p0161,35
32,control baseball,trust_competent_1,p0164,35
33,control baseball,trust_competent_1,p0175,45
34,control baseball,trust_competent_1,p0177,45
35,control baseball,trust_competent_1,p0178,55
36,control baseball,trust_competent_1,p0181,35
37,control baseball,trust_competent_1,p0186,45
38,control baseball,trust_competent_1,p0196,45
39,control baseball,trust_competent_1,p0198,45
40,control baseball,trust_competent_1,p0202,45
41,control baseball,trust_competent_1,p0205,35
42,control baseball,trust_competent_1,p0207,35
43,control baseball,trust_competent_1,p0211,35
44,control baseball,trust_competent_1,p0227,45
45,control baseball,trust_competent_1,p0229,45
46,control baseball,trust_competent_1,p0232,45
47,control baseball,trust_competent_1,p0233,35
48,control baseball,trust_competent_1,p0237,62
49,control baseball,trust_competent_1,p0258,45
50,control baseball,trust_competent_1,p0268,35
51,control baseball,trust_competent_1,p0274,45
52,control baseball,trust_competent_1,p0275,15
53,control baseball,trust_competent_1,p0277,35
54,control baseball,trust_competent_1,p0288,45
55,control baseball,trust_competent_1,p0291,45
56,control baseball,trust_competent_1,p0307,35
57,control baseball,trust_competent_1,p0308,55
58,control baseball,trust_competent_1,p0317,35
59,control baseball,trust_competent_1,p0325,65
60,control baseball,trust_competent_1,p0327,45
61,control baseball,trust_competent_1,p0334,55
62,control baseball,trust_competent_1,p0336,45
63,control baseball,trust_competent_1,p0338,45
64,control baseball,trust_competent_1,p0342,45
65,control baseball,trust_competent_1,p0349,45
66,control baseball,trust_competent_1,p0356,35
67,control baseball,trust_competent_1,p0358,45
68,control baseball,trust_competent_1,p0363,45
69,control baseball,trust_competent_1,p0364,62
70,control baseball,trust_competent_1,p0369,55
71,control baseball,trust_competent_1,p0370,45
72,control baseball,trust_competent_1,p0371,35
73,control baseball,trust_competent_1,p0379,45
74,control baseball,trust_competent_1,p0386,55
75,control baseball,trust_competent_1,p0396,45
76,control baseball,trust_competent_1,p0403,45
77,control baseball,trust_competent_1,p0405,45
78,control baseball,trust_competent_1,p0412,45
79,control baseball,trust_competent_1,p0415,35
80,control baseball,trust_competent_1,p0416,45
81,control baseball,trust_competent_1,p0417,45
82,control baseball,trust_competent_1,p0418,35
83,control baseball,trust_competent_1,p0430,35
84,control baseball,trust_competent_1,p0431,45
85,control baseball,trust_competent_1,p0434,35
86,control baseball,trust_competent_1,p0438,45
87,control baseball,trust_competent_1,p0441,45
88,control baseball,trust_competent_1,p0442,35
89,control baseball,trust_competent_1,p0449,45
90,control baseball,trust_competent_1,p0450,45
91,control baseball,trust_competent_1,p0465,35
92,control baseball,trust_competent_1,p0471,45
93,control baseball,trust_competent_1,p0477,45
94,control baseball,trust_competent_1,p0483,55
95,control baseball,trust_competent_1,p0486,45
96,control baseball,trust_competent_1,p0487,45
97,control baseball,trust_competent_1,p0489,45
98,control baseball,trust_competent_1,p0497,25
99,control baseball,trust_competent_1,p0502,35
100,control baseball,trust_competent_1,p0503,45
101,control baseball,trust_competent_1,p0506,45
102,control baseball,trust_competent_1,p0511,45
103,control baseball,trust_competent_1,p0523,55
104,control baseball,trust_competent_1,p0534,45
105,control baseball,trust_competent_1,p0536,45
106,control baseball,trust_competent_1,p0542,35
107,control baseball,trust_competent_1,p0547,45
108,control baseball,trust_competent_1,p0553,55
109,control baseball,trust_competent_1,p0559,45
110,control baseball,trust_competent_1,p0566,45
111,control baseball,trust_competent_1,p0568,35
112,control baseball,trust_competent_1,p0570,35
113,control baseball,trust_competent_1,p0573,45
114,control baseball,trust_competent_1,p0578,45
115,control baseball,trust_competent_1,p0594,45
116,control baseball,trust_competent_1,p0597,45
117,control baseball,trust_competent_1,p0601,45
118,control baseball,trust_competent_1,p0602,35
119,control baseball,trust_competent_1,p0605,45
120,control baseball,trust_competent_1,p0615,45
121,control baseball,trust_competent_1,p0620,45
122,control baseball,trust_competent_1,p0626,45
123,control baseball,trust_competent_1,p0629,65
124,control baseball,trust_competent_1,p0633,45
125,control baseball,trust_competent_1,p0638,55
126,control baseball,trust_competent_1,p0639,45
127,control baseball,trust_competent_1,p0640,35
128,control baseball,trust_competent_1,p0655,45
129,control baseball,trust_competent_1,p0656,45
130,control baseball,trust_competent_1,p0658,25
131,control baseball,trust_competent_1,p0661,45
132,control baseball,trust_competent_1,p0669,45
133,control baseball,trust_competent_1,p0670,45
134,control baseball,trust_competent_1,p0672,45
135,control baseball,trust_competent_1,p0674,55
136,control baseball,trust_competent_1,p0678,55
137,control baseball,trust_competent_1,p0683,45
138,control baseball,trust_competent_1,p0686,45
139,control baseball,trust_competent_1,p0687,45
140,control baseball,trust_competent_1,p0698,45
141,control baseball,trust_competent_1,p0700,35
142,control baseball,trust_competent_1,p0703,35
143,control baseball,trust_competent_1,p0718,45
144,control baseball,trust_competent_1,p0744,55
145,control baseball,trust_competent_1,p0745,45
146,control baseball,trust_competent_1,p0753,45
147,control baseball,trust_competent_1,p0770,45
148,control baseball,trust_competent_1,p0771,45
149,control baseball,trust_competent_1,p0777,45
150,control baseball,trust_competent_1,p0779,55
151,control baseball,trust_competent_1,p0780,45
152,control baseball,trust_competent_1,p0783,45
153,control baseball,trust_competent_1,p0785,45
154,control baseball,trust_competent_1,p0786,45
155,control baseball,trust_competent_1,p0794,35
156,control baseball,trust_competent_1,p0798,35
157,control baseball,trust_competent_1,p0800,45
158,control baseball,trust_competent_1,p0820,35
159,control baseball,trust_competent_1,p0841,35
160,control baseball,trust_competent_1,p0849,45
161,control baseball,trust_competent_1,p0862,55
162,control baseball,trust_competent_1,p0867,45
163,control baseball,trust_competent_1,p0869,45
164,control baseball,trust_competent_1,p0872,45
165,control baseball,trust_competent_1,p0880,45
166,control baseball,trust_competent_1,p0891,45
167,control baseball,trust_competent_1,p0916,45
168,control baseball,trust_competent_1,p0917,55
169,control baseball,trust_competent_1,p0919,55
170,control baseball,trust_competent_1,p0922,35
171,control baseball,trust_competent_1,p0925,45
172,control baseball,trust_competent_1,p0927,45
173,control baseball,trust_competent_1,p0929,45
174,control baseball,trust_competent_1,p0930,35
175,control baseball,trust_competent_1,p0931,45
176,control baseball,trust_competent_1,p0933,35
177,control baseball,trust_competent_1,p0934,35
178,control baseball,trust_competent_1,p0936,55
179,control baseball,trust_competent_1,p0938,55
180,control baseball,trust_competent_1,p0939,45
181,control baseball,trust_competent_1,p0946,45
182,control baseball,trust_competent_1,p0951,45
183,control baseball,trust_competent_1,p0956,55
184,control baseball,trust_competent_1,p0962,35
185,control baseball,trust_competent_1,p0963,55
186,control baseball,trust_competent_1,p0969,35
187,control baseball,trust_competent_1,p0972,45
188,control baseball,trust_competent_1,p0975,35
189,control baseball,trust_competent_1,p0985,35
190,control baseball,trust_competent_1,p0993,35
191,control baseball,trust_competent_1,p0996,45
192,control baseball,trust_competent_1,p1011,35
193,control baseball,trust_competent_1,p1017,45
194,control baseball,trust_competent_1,p1020,45
195,control baseball,trust_competent_1,p1022,45
196,control baseball,trust_competent_1,p1024,25
197,control baseball,trust_competent_1,p1027,55
198,control baseball,trust_competent_1,p1028,65
199,control baseball,trust_competent_1,p1029,35
200,control baseball,trust_competent_1,p1032,35
201,control baseball,trust_competent_1,p1040,35
202,control baseball,trust_competent_1,p1047,45
203,control baseball,trust_competent_1,p1048,45
204,control baseball,trust_competent_1,p1053,45
205,control baseball,trust_competent_1,p1057,35
206,control baseball,trust_competent_1,p1058,45
207,control baseball,trust_competent_1,p1063,45
208,control baseball,trust_competent_1,p1064,45
209,control baseball,trust_competent_1,p1065,45
210,control baseball,trust_competent_1,p1069,35
211,control baseball,trust_competent_1,p1072,45
212,control baseball,trust_competent_1,p1073,45
213,control baseball,trust_competent_1,p1075,45
214,control baseball,trust_competent_1,p1076,45
215,control baseball,trust_competent_1,p1083,35
216,control baseball,trust_competent_1,p1089,45
217,control baseball,trust_competent_1,p1093,45
218,control baseball,trust_competent_1,p1096,55
219,control baseball,trust_competent_1,p1100,35
220,control baseball,trust_competent_1,p1106,45
221,control baseball,trust_competent_1,p1107,35
222,control baseball,trust_competent_1,p1113,35
223,control baseball,trust_competent_1,p1117,25
224,control baseball,trust_competent_1,p1120,45
225,control baseball,trust_competent_1,p1134,45
226,control baseball,trust_competent_1,p1136,45
227,control baseball,trust_competent_1,p1138,45
228,control baseball,trust_competent_1,p1144,35
229,control baseball,trust_competent_1,p1145,55
230,control baseball,trust_competent_1,p1147,65
231,control baseball,trust_competent_1,p1148,45
232,control baseball,trust_competent_1,p1154,45
233,control baseball,trust_competent_1,p1159,35
234,control baseball,trust_competent_1,p1167,45
235,control baseball,trust_competent_1,p1175,55
236,control baseball,trust_competent_1,p1178,45
237,control baseball,trust_competent_1,p1184,45
238,control baseball,trust_competent_1,p1186,45
239,control baseball,trust_competent_1,p1196,35
240,control baseball,trust_competent_1,p1197,35
241,control baseball,trust_competent_1,p1203,45
242,control baseball,trust_competent_1,p1219,45
243,control baseball,trust_competent_1,p1225,45
244,control baseball,trust_competent_1,p1234,45
245,control baseball,trust_competent_1,p1242,35
246,control baseball,trust_competent_1,p1244,45
247,control baseball,trust_competent_1,p1249,45
248,control baseball,trust_competent_1,p1250,45
249,control baseball,trust_competent_1,p1256,45
250,control baseball,trust_competent_1,p1258,45
251,control baseball,trust_competent_1,p1260,45
252,control baseball,trust_competent_1,p1262,35
253,control baseball,trust_competent_1,p1264,45
254,control baseball,trust_competent_1,p1265,55
255,control baseball,trust_competent_1,p1269,35
256,control baseball,trust_competent_1,p1272,45
257,control baseball,trust_competent_1,p1278,45
258,control baseball,trust_competent_1,p1281,45
259,control baseball,trust_competent_1,p1292,35
260,control baseball,trust_competent_1,p1299,45
261,control baseball,trust_competent_1,p1312,45
262,control baseball,trust_competent_1,p1322,45
263,control baseball,trust_competent_1,p1326,45
264,control baseball,trust_competent_1,p1330,45
265,control baseball,trust_competent_1,p1335,45
266,control baseball,trust_competent_1,p1337,45
267,control baseball,trust_competent_1,p1340,45
268,control baseball,trust_competent_1,p1345,45
269,control baseball,trust_competent_1,p1351,35
270,control baseball,trust_competent_1,p1355,45
271,control baseball,trust_competent_1,p1362,35
272,control baseball,trust_competent_1,p1365,35
273,control baseball,trust_competent_1,p1366,35
274,control baseball,trust_competent_1,p1367,35
275,control baseball,trust_competent_1,p1370,35
276,control baseball,trust_competent_1,p1371,45
277,control baseball,trust_competent_1,p1373,45
278,control baseball,trust_competent_1,p1375,45
279,control baseball,trust_competent_1,p1376,35
280,control baseball,trust_competent_1,p1379,45
281,control baseball,trust_competent_1,p1381,45
282,control baseball,trust_competent_1,p1393,45
283,control baseball,trust_competent_1,p1396,35
284,control baseball,trust_competent_1,p1398,45
285,control baseball,trust_competent_1,p1404,35
286,control baseball,trust_competent_1,p1406,45
287,control baseball,trust_competent_1,p1407,45
288,control baseball,trust_competent_1,p1409,45
289,control baseball,trust_competent_1,p1412,45
290,control baseball,trust_competent_1,p1414,55
291,control baseball,trust_competent_1,p1424,35
292,control baseball,trust_competent_1,p1425,45
293,control baseball,trust_competent_1,p1429,45
294,control baseball,trust_competent_1,p1434,45
295,control baseball,trust_competent_1,p1441,35
296,control baseball,trust_competent_1,p1445,35
297,control baseball,trust_competent_1,p1450,45
298,control baseball,trust_competent_1,p1454,45
299,control baseball,trust_competent_1,p1456,35
300,control baseball,trust_competent_1,p1457,35
301,control baseball,trust_competent_1,p1458,45
302,control baseball,trust_competent_1,p1469,45
303,control baseball,trust_competent_1,p1470,15
304,control baseball,trust_competent_1,p1481,45
305,control baseball,trust_competent_1,p1488,45
306,control baseball,trust_competent_1,p1492,35
307,control baseball,trust_competent_1,p1495,35
308,control baseball,trust_competent_1,p1497,45
309,control baseball,trust_competent_1,p1499,45
310,control baseball,trust_competent_1,p1503,45
311,control baseball,trust_competent_1,p1511,45
312,control baseball,trust_competent_1,p1512,35
313,control baseball,trust_competent_1,p1518,45
314,control baseball,trust_competent_1,p1519,45
315,control baseball,trust_competent_1,p1520,35
316,control baseball,trust_competent_1,p1524,45
317,control baseball,trust_competent_1,p1526,35
318,control baseball,trust_competent_1,p1537,35
319,control baseball,trust_competent_1,p1545,45
320,control baseball,trust_competent_1,p1547,45
321,control baseball,trust_competent_1,p1552,35
322,control baseball,trust_competent_1,p1567,45
323,control baseball,trust_competent_1,p1568,45
324,control baseball,trust_competent_1,p1579,35
325,control baseball,trust_competent_1,p1587,35
326,control baseball,trust_competent_1,p1596,45
327,control baseball,trust_competent_1,p1600,45
328,control baseball,trust_competent_1,p1603,45
329,control baseball,trust_competent_1,p1604,45
330,control baseball,trust_competent_1,p1610,45
331,control baseball,trust_competent_1,p1618,35
332,control baseball,trust_competent_1,p1619,55
