,condition,outcome,persona,response
0,control baseball,gender,p0016,2
1,control baseball,gender,p0022,2
2,control baseball,gender,p0023,1
3,control baseball,gender,p0026,2
4,control baseball,gender,p0034,1
5,control baseball,gender,p0036,1
6,control baseball,gender,p0037,1
7,control baseball,gender,p0042,1
8,control baseball,gender,p0057,2
9,control baseball,gender,p0066,1
10,control baseball,gender,p0069,2
11,control baseball,gender,p0072,2
12,control baseball,gender,p0073,1
13,control baseball,gender,p0082,1
14,control baseball,gender,p0091,1
15,control baseball,gender,p0092,1
16,control baseball,gender,p0093,1
17,control baseball,gender,p0095,1
18,control baseball,gender,p0107,2
19,control baseball,gender,p0114,1
20,control baseball,gender,p0116,1
21,control baseball,gender,p0118,2
22,control baseball,gender,p0119,1
23,control baseball,gender,p0126,1
24,control baseball,gender,p0129,1
25,control baseball,gender,p0136,2
26,control baseball,gender,p0138,1
27,control baseball,gender,p0144,2
28,control baseball,gender,p0150,1
29,control baseball,gender,p0152,2
30,control baseball,gender,p0158,2
31,control baseball,gender,p0161,1
32,control baseball,gender,p0164,2
33,control baseball,gender,p0175,1
34,control baseball,gender,p0177,1
35,control baseball,gender,p0178,1
36,control baseball,gender,p0181,2
37,control baseball,gender,p0186,2
38,control baseball,gender,p0196,2
39,control baseball,gender,p0198,1
40,control baseball,gender,p0202,1
41,control baseball,gender,p0205,1
42,control baseball,gender,p0207,1
43,control baseball,gender,p0211,1
44,control baseball,gender,p0227,2
45,control baseball,gender,p0229,1
46,control baseball,gender,p0232,1
47,control baseball,gender,p0233,2
48,control baseball,gender,p0237,1
49,control baseball,gender,p0258,1
50,control baseball,gender,p0268,1
51,control baseball,gender,p0274,1
52,control baseball,gender,p0275,1
53,control baseball,gender,p0277,1
54,control baseball,gender,p0288,1
55,control baseball,gender,p0291,1
56,control baseball,gender,p0307,1
57,control baseball,gender,p0308,1
58,control baseball,gender,p0317,1
59,control baseball,gender,p0325,2
60,control baseball,gender,p0327,1
61,control baseball,gender,p0334,1
62,control baseball,gender,p0336,1
63,control baseball,gender,p0338,1
64,control baseball,gender,p0342,1
65,control baseball,gender,p0349,1
66,control baseball,gender,p0356,2
67,control baseball,gender,p0358,1
68,control baseball,gender,p0363,1
69,control baseball,gender,p0364,1
70,control baseball,gender,p0369,2
71,control baseball,gender,p0370,2
72,control baseball,gender,p0371,1
73,control baseball,gender,p0379,1
74,control baseball,gender,p0386,1
75,control baseball,gender,p0396,2
76,control baseball,gender,p0403,2
77,control baseball,gender,p0405,2
78,control baseball,gender,p0412,1
79,control baseball,gender,p0415,1
80,control baseball,gender,p0416,1
81,control baseball,gender,p0417,1
82,control baseball,gender,p0418,2
83,control baseball,gender,p0430,1
84,control baseball,gender,p0431,2
85,control baseball,gender,p0434,2
86,control baseball,gender,p0438,2
87,control baseball,gender,p0441,2
88,control baseball,gender,p0442,2
89,control baseball,gender,p0449,1
90,control baseball,gender,p0450,2
91,control baseball,gender,p0465,1
92,control baseball,gender,p0471,2
93,control baseball,gender,p0477,2
94,control baseball,gender,p0483,2
95,control baseball,gender,p0486,1
96,control baseball,gender,p0487,1
97,control baseball,gender,p0489,1
98,control baseball,gender,p0497,1
99,control baseball,gender,p0502,1
100,control baseball,gender,p0503,2
101,control baseball,gender,p0506,1
102,control baseball,gender,p0511,1
103,control baseball,gender,p0523,2
104,control baseball,gender,p0534,1
105,control baseball,gender,p0536,1
106,control baseball,gender,p0542,1
107,control baseball,gender,p0547,2
108,control baseball,gender,p0553,1
109,control baseball,gender,p0559,2
110,control baseball,gender,p0566,1
111,control baseball,gender,p0568,2
112,control baseball,gender,p0570,1
113,control baseball,gender,p0573,2
114,control baseball,gender,p0578,1
115,control baseball,gender,p0594,1
