,condition,outcome,persona,response
0,control dances,trust_competent_1,p0016,55
1,control dances,trust_competent_1,p0022,45
2,control dances,trust_competent_1,p0023,68
3,control dances,trust_competent_1,p0026,55
4,control dances,trust_competent_1,p0034,45
5,control dances,trust_competent_1,p0036,45
6,control dances,trust_competent_1,p0037,45
7,control dances,trust_competent_1,p0042,55
8,control dances,trust_competent_1,p0057,45
9,control dances,trust_competent_1,p0066,45
10,control dances,trust_competent_1,p0069,35
11,control dances,trust_competent_1,p0072,45
12,control dances,trust_competent_1,p0073,45
13,control dances,trust_competent_1,p0082,45
14,control dances,trust_competent_1,p0091,55
15,control dances,trust_competent_1,p0092,45
16,control dances,trust_competent_1,p0093,55
17,control dances,trust_competent_1,p0095,45
18,control dances,trust_competent_1,p0107,45
19,control dances,trust_competent_1,p0114,65
20,control dances,trust_competent_1,p0116,45
21,control dances,trust_competent_1,p0118,45
22,control dances,trust_competent_1,p0119,45
23,control dances,trust_competent_1,p0126,55
24,control dances,trust_competent_1,p0129,68
25,control dances,trust_competent_1,p0136,45
26,control dances,trust_competent_1,p0138,45
27,control dances,trust_competent_1,p0144,45
28,control dances,trust_competent_1,p0150,45
29,control dances,trust_competent_1,p0152,45
30,control dances,trust_competent_1,p0158,45
31,control dances,trust_competent_1,p0161,45
32,control dances,trust_competent_1,p0164,35
33,control dances,trust_competent_1,p0175,45
34,control dances,trust_competent_1,p0177,55
35,control dances,trust_competent_1,p0178,55
36,control dances,trust_competent_1,p0181,35
37,control dances,trust_competent_1,p0186,45
38,control dances,trust_competent_1,p0196,45
39,control dances,trust_competent_1,p0198,65
40,control dances,trust_competent_1,p0202,65
41,control dances,trust_competent_1,p0205,45
42,control dances,trust_competent_1,p0207,35
43,control dances,trust_competent_1,p0211,35
44,control dances,trust_competent_1,p0227,68
45,control dances,trust_competent_1,p0229,45
46,control dances,trust_competent_1,p0232,45
47,control dances,trust_competent_1,p0233,45
48,control dances,trust_competent_1,p0237,68
49,control dances,trust_competent_1,p0258,45
50,control dances,trust_competent_1,p0268,35
51,control dances,trust_competent_1,p0274,62
52,control dances,trust_competent_1,p0275,35
