,condition,outcome,persona,response
0,control dances,gender,p0016,2
1,control dances,gender,p0022,2
2,control dances,gender,p0023,1
3,control dances,gender,p0026,2
4,control dances,gender,p0034,1
5,control dances,gender,p0036,1
6,control dances,gender,p0037,1
7,control dances,gender,p0042,1
8,control dances,gender,p0057,2
9,control dances,gender,p0066,1
10,control dances,gender,p0069,2
11,control dances,gender,p0072,2
12,control dances,gender,p0073,1
13,control dances,gender,p0082,1
14,control dances,gender,p0091,1
15,control dances,gender,p0092,1
16,control dances,gender,p0093,1
17,control dances,gender,p0095,1
18,control dances,gender,p0107,2
19,control dances,gender,p0114,1
20,control dances,gender,p0116,1
21,control dances,gender,p0118,2
22,control dances,gender,p0119,1
23,control dances,gender,p0126,1
24,control dances,gender,p0129,1
25,control dances,gender,p0136,2
26,control dances,gender,p0138,1
27,control dances,gender,p0144,2
28,control dances,gender,p0150,1
29,control dances,gender,p0152,2
30,control dances,gender,p0158,2
31,control dances,gender,p0161,1
32,control dances,gender,p0164,2
33,control dances,gender,p0175,1
34,control dances,gender,p0177,1
35,control dances,gender,p0178,1
36,control dances,gender,p0181,2
37,control dances,gender,p0186,2
38,control dances,gender,p0196,2
39,control dances,gender,p0198,1
40,control dances,gender,p0202,1
41,control dances,gender,p0205,1
42,control dances,gender,p0207,1
43,control dances,gender,p0211,1
44,control dances,gender,p0227,2
45,control dances,gender,p0229,1
46,control dances,gender,p0232,1
47,control dances,gender,p0233,2
48,control dances,gender,p0237,1
49,control dances,gender,p0258,1
50,control dances,gender,p0268,1
51,control dances,gender,p0274,1
52,control dances,gender,p0275,1
53,control dances,gender,p0277,1
54,control dances,gender,p0288,1
55,control dances,gender,p0291,1
56,control dances,gender,p0307,1
57,control dances,gender,p0308,1
58,control dances,gender,p0317,1
59,control dances,gender,p0325,2
60,control dances,gender,p0327,1
61,control dances,gender,p0334,1
62,control dances,gender,p0336,1
63,control dances,gender,p0338,1
64,control dances,gender,p0342,1
65,control dances,gender,p0349,1
66,control dances,gender,p0356,2
67,control dances,gender,p0358,1
68,control dances,gender,p0363,1
69,control dances,gender,p0364,1
70,control dances,gender,p0369,2
71,control dances,gender,p0370,2
72,control dances,gender,p0371,1
73,control dances,gender,p0379,1
74,control dances,gender,p0386,1
75,control dances,gender,p0396,2
76,control dances,gender,p0403,2
77,control dances,gender,p0405,2
78,control dances,gender,p0412,1
79,control dances,gender,p0415,1
80,control dances,gender,p0416,1
81,control dances,gender,p0417,1
82,control dances,gender,p0418,2
83,control dances,gender,p0430,1
84,control dances,gender,p0431,2
85,control dances,gender,p0434,2
86,control dances,gender,p0438,2
87,control dances,gender,p0441,2
88,control dances,gender,p0442,2
89,control dances,gender,p0449,1
90,control dances,gender,p0450,2
91,control dances,gender,p0465,1
92,control dances,gender,p0471,2
93,control dances,gender,p0477,2
94,control dances,gender,p0483,2
95,control dances,gender,p0486,1
96,control dances,gender,p0487,1
97,control dances,gender,p0489,1
98,control dances,gender,p0497,1
99,control dances,gender,p0502,1
100,control dances,gender,p0503,2
101,control dances,gender,p0506,1
102,control dances,gender,p0511,1
103,control dances,gender,p0523,2
104,control dances,gender,p0534,1
105,control dances,gender,p0536,1
106,control dances,gender,p0542,1
107,control dances,gender,p0547,2
108,control dances,gender,p0553,1
109,control dances,gender,p0559,2
110,control dances,gender,p0566,1
111,control dances,gender,p0568,2
112,control dances,gender,p0570,1
113,control dances,gender,p0573,2
114,control dances,gender,p0578,1
115,control dances,gender,p0594,1
116,control dances,gender,p0597,1
117,control dances,gender,p0601,1
118,control dances,gender,p0602,2
119,control dances,gender,p0605,1
120,control dances,gender,p0615,1
121,control dances,gender,p0620,1
122,control dances,gender,p0626,2
123,control dances,gender,p0629,2
124,control dances,gender,p0633,2
125,control dances,gender,p0638,2
126,control dances,gender,p0639,1
127,control dances,gender,p0640,2
128,control dances,gender,p0655,2
129,control dances,gender,p0656,1
130,control dances,gender,p0658,1
131,control dances,gender,p0661,1
132,control dances,gender,p0669,1
133,control dances,gender,p0670,2
134,control dances,gender,p0672,2
135,control dances,gender,p0674,1
136,control dances,gender,p0678,1
137,control dances,gender,p0683,2
138,control dances,gender,p0686,1
139,control dances,gender,p0687,1
140,control dances,gender,p0698,2
141,control dances,gender,p0700,1
142,control dances,gender,p0703,1
143,control dances,gender,p0718,1
144,control dances,gender,p0744,2
145,control dances,gender,p0745,1
146,control dances,gender,p0753,2
147,control dances,gender,p0770,1
148,control dances,gender,p0771,1
149,control dances,gender,p0777,1
150,control dances,gender,p0779,1
151,control dances,gender,p0780,2
152,control dances,gender,p0783,1
153,control dances,gender,p0785,2
154,control dances,gender,p0786,2
155,control dances,gender,p0794,1
156,control dances,gender,p0798,1
157,control dances,gender,p0800,1
158,control dances,gender,p0820,2
159,control dances,gender,p0841,2
160,control dances,gender,p0849,1
161,control dances,gender,p0862,1
162,control dances,gender,p0867,2
163,control dances,gender,p0869,1
164,control dances,gender,p0872,1
165,control dances,gender,p0880,2
166,control dances,gender,p0891,1
167,control dances,gender,p0916,2
168,control dances,gender,p0917,2
169,control dances,gender,p0919,2
170,control dances,gender,p0922,2
171,control dances,gender,p0925,2
172,control dances,gender,p0927,1
173,control dances,gender,p0929,2
174,control dances,gender,p0930,1
175,control dances,gender,p0931,2
176,control dances,gender,p0933,2
177,control dances,gender,p0934,2
178,control dances,gender,p0936,2
179,control dances,gender,p0938,1
180,control dances,gender,p0939,2
181,control dances,gender,p0946,1
182,control dances,gender,p0951,1
183,control dances,gender,p0956,2
184,control dances,gender,p0962,2
185,control dances,gender,p0963,1
186,control dances,gender,p0969,1
187,control dances,gender,p0972,1
188,control dances,gender,p0975,1
189,control dances,gender,p0985,2
190,control dances,gender,p0993,1
191,control dances,gender,p0996,2
192,control dances,gender,p1011,1
193,control dances,gender,p1017,2
194,control dances,gender,p1020,1
195,control dances,gender,p1022,1
196,control dances,gender,p1024,2
197,control dances,gender,p1027,1
198,control dances,gender,p1028,1
199,control dances,gender,p1029,2
200,control dances,gender,p1032,1
201,control dances,gender,p1040,1
202,control dances,gender,p1047,1
203,control dances,gender,p1048,1
204,control dances,gender,p1053,2
205,control dances,gender,p1057,1
206,control dances,gender,p1058,2
207,control dances,gender,p1063,1
208,control dances,gender,p1064,2
209,control dances,gender,p1065,1
210,control dances,gender,p1069,2
211,control dances,gender,p1072,1
212,control dances,gender,p1073,1
213,control dances,gender,p1075,2
214,control dances,gender,p1076,2
215,control dances,gender,p1083,2
216,control dances,gender,p1089,1
217,control dances,gender,p1093,1
218,control dances,gender,p1096,2
219,control dances,gender,p1100,1
220,control dances,gender,p1106,2
221,control dances,gender,p1107,2
222,control dances,gender,p1113,1
223,control dances,gender,p1117,1
224,control dances,gender,p1120,1
225,control dances,gender,p1134,1
226,control dances,gender,p1136,1
227,control dances,gender,p1138,2
228,control dances,gender,p1144,1
229,control dances,gender,p1145,1
230,control dances,gender,p1147,2
231,control dances,gender,p1148,1
232,control dances,gender,p1154,2
233,control dances,gender,p1159,1
234,control dances,gender,p1167,1
235,control dances,gender,p1175,2
236,control dances,gender,p1178,2
237,control dances,gender,p1184,2
238,control dances,gender,p1186,1
239,control dances,gender,p1196,1
240,control dances,gender,p1197,2
241,control dances,gender,p1203,1
242,control dances,gender,p1219,2
243,control dances,gender,p1225,1
244,control dances,gender,p1234,2
245,control dances,gender,p1242,1
246,control dances,gender,p1244,1
247,control dances,gender,p1249,2
248,control dances,gender,p1250,1
249,control dances,gender,p1256,1
250,control dances,gender,p1258,2
251,control dances,gender,p1260,1
252,control dances,gender,p1262,1
253,control dances,gender,p1264,2
254,control dances,gender,p1265,2
255,control dances,gender,p1269,1
256,control dances,gender,p1272,2
257,control dances,gender,p1278,1
258,control dances,gender,p1281,2
259,control dances,gender,p1292,1
260,control dances,gender,p1299,2
261,control dances,gender,p1312,2
262,control dances,gender,p1322,1
263,control dances,gender,p1326,2
264,control dances,gender,p1330,2
265,control dances,gender,p1335,2
266,control dances,gender,p1337,1
267,control dances,gender,p1340,1
268,control dances,gender,p1345,1
269,control dances,gender,p1351,1
270,control dances,gender,p1355,2
271,control dances,gender,p1362,2
272,control dances,gender,p1365,1
273,control dances,gender,p1366,2
274,control dances,gender,p1367,1
275,control dances,gender,p1370,2
276,control dances,gender,p1371,1
277,control dances,gender,p1373,2
278,control dances,gender,p1375,2
279,control dances,gender,p1376,2
280,control dances,gender,p1379,2
281,control dances,gender,p1381,2
282,control dances,gender,p1393,2
283,control dances,gender,p1396,2
284,control dances,gender,p1398,1
285,control dances,gender,p1404,2
286,control dances,gender,p1406,1
287,control dances,gender,p1407,2
288,control dances,gender,p1409,1
289,control dances,gender,p1412,1
290,control dances,gender,p1414,1
291,control dances,gender,p1424,1
292,control dances,gender,p1425,1
293,control dances,gender,p1429,2
294,control dances,gender,p1434,1
295,control dances,gender,p1441,1
296,control dances,gender,p1445,1
297,control dances,gender,p1450,1
298,control dances,gender,p1454,1
299,control dances,gender,p1456,1
300,control dances,gender,p1457,2
301,control dances,gender,p1458,1
302,control dances,gender,p1469,1
303,control dances,gender,p1470,1
304,control dances,gender,p1481,1
305,control dances,gender,p1488,2
306,control dances,gender,p1492,1
307,control dances,gender,p1495,1
308,control dances,gender,p1497,2
309,control dances,gender,p1499,1
310,control dances,gender,p1503,1
311,control dances,gender,p1511,1
312,control dances,gender,p1512,2
313,control dances,gender,p1518,2
314,control dances,gender,p1519,2
315,control dances,gender,p1520,2
316,control dances,gender,p1524,2
317,control dances,gender,p1526,2
318,control dances,gender,p1537,1
319,control dances,gender,p1545,2
320,control dances,gender,p1547,2
321,control dances,gender,p1552,1
322,control dances,gender,p1567,1
323,control dances,gender,p1568,2
324,control dances,gender,p1579,2
325,control dances,gender,p1587,2
326,control dances,gender,p1596,1
327,control dances,gender,p1600,1
328,control dances,gender,p1603,2
329,control dances,gender,p1604,2
330,control dances,gender,p1610,2
331,control dances,gender,p1618,1
332,control dances,gender,p1619,1
333,control dances,gender,p1622,1
334,control dances,gender,p1623,1
335,control dances,gender,p1630,1
336,control dances,gender,p1641,1
337,control dances,gender,p1649,1
338,control dances,gender,p1652,1
339,control dances,gender,p1665,1
340,control dances,gender,p1669,1
341,control dances,gender,p1685,1
342,control dances,gender,p1693,2
343,control dances,gender,p1698,1
344,control dances,gender,p1704,1
345,control dances,gender,p1711,1
346,control dances,gender,p1718,1
347,control dances,gender,p1732,1
348,control dances,gender,p1739,1
349,control dances,gender,p1741,1
350,control dances,gender,p1746,1
351,control dances,gender,p1751,1
352,control dances,gender,p1754,2
353,control dances,gender,p1769,2
354,control dances,gender,p1771,2
355,control dances,gender,p1776,1
356,control dances,gender,p1780,1
357,control dances,gender,p1785,2
358,control dances,gender,p1791,1
359,control dances,gender,p1793,1
360,control dances,gender,p1796,1
361,control dances,gender,p1805,1
362,control dances,gender,p1812,1
363,control dances,gender,p1816,2
364,control dances,gender,p1819,1
365,control dances,gender,p1825,1
366,control dances,gender,p1836,1
367,control dances,gender,p1839,2
368,control dances,gender,p1861,1
369,control dances,gender,p1863,1
370,control dances,gender,p1873,1
371,control dances,gender,p1875,1
372,control dances,gender,p1876,2
373,control dances,gender,p1877,2
374,control dances,gender,p1880,2
375,control dances,gender,p1883,1
376,control dances,gender,p1889,1
377,control dances,gender,p1893,1
378,control dances,gender,p1896,1
379,control dances,gender,p1913,1
380,control dances,gender,p1922,1
381,control dances,gender,p1930,1
382,control dances,gender,p1935,1
383,control dances,gender,p1940,1
384,control dances,gender,p1948,2
385,control dances,gender,p1950,2
386,control dances,gender,p1954,1
387,control dances,gender,p1956,2
388,control dances,gender,p1958,1
389,control dances,gender,p1967,2
390,control dances,gender,p1973,1
391,control dances,gender,p1978,1
392,control dances,gender,p1983,1
393,control dances,gender,p1984,2
394,control dances,gender,p1995,1
395,control dances,gender,p1996,2
396,control dances,gender,p1997,1
397,control dances,gender,p2001,2
398,control dances,gender,p2002,2
399,control dances,gender,p2013,2
400,control dances,gender,p2014,2
401,control dances,gender,p2016,1
402,control dances,gender,p2018,1
403,control dances,gender,p2023,2
404,control dances,gender,p2025,1
405,control dances,gender,p2028,1
406,control dances,gender,p2030,2
407,control dances,gender,p2033,1
408,control dances,gender,p2040,1
409,control dances,gender,p2051,2
410,control dances,gender,p2052,1
411,control dances,gender,p2066,1
412,control dances,gender,p2067,1
413,control dances,gender,p2073,1
414,control dances,gender,p2077,2
