,condition,outcome,persona,response
0,control neckties,trust_competent_1,p0016,55
1,control neckties,trust_competent_1,p0022,45
2,control neckties,trust_competent_1,p0023,62
3,control neckties,trust_competent_1,p0026,55
4,control neckties,trust_competent_1,p0034,45
5,control neckties,trust_competent_1,p0036,45
6,control neckties,trust_competent_1,p0037,45
7,control neckties,trust_competent_1,p0042,55
8,control neckties,trust_competent_1,p0057,45
9,control neckties,trust_competent_1,p0066,55
10,control neckties,trust_competent_1,p0069,35
11,control neckties,trust_competent_1,p0072,55
12,control neckties,trust_competent_1,p0073,45
13,control neckties,trust_competent_1,p0082,45
14,control neckties,trust_competent_1,p0091,65
15,control neckties,trust_competent_1,p0092,45
16,control neckties,trust_competent_1,p0093,55
17,control neckties,trust_competent_1,p0095,45
18,control neckties,trust_competent_1,p0107,45
19,control neckties,trust_competent_1,p0114,65
20,control neckties,trust_competent_1,p0116,45
21,control neckties,trust_competent_1,p0118,45
22,control neckties,trust_competent_1,p0119,55
23,control neckties,trust_competent_1,p0126,55
24,control neckties,trust_competent_1,p0129,65
25,control neckties,trust_competent_1,p0136,45
26,control neckties,trust_competent_1,p0138,45
27,control neckties,trust_competent_1,p0144,45
28,control neckties,trust_competent_1,p0150,45
29,control neckties,trust_competent_1,p0152,45
30,control neckties,trust_competent_1,p0158,45
31,control neckties,trust_competent_1,p0161,45
32,control neckties,trust_competent_1,p0164,45
33,control neckties,trust_competent_1,p0175,55
34,control neckties,trust_competent_1,p0177,45
35,control neckties,trust_competent_1,p0178,65
36,control neckties,trust_competent_1,p0181,35
37,control neckties,trust_competent_1,p0186,45
38,control neckties,trust_competent_1,p0196,45
39,control neckties,trust_competent_1,p0198,65
40,control neckties,trust_competent_1,p0202,65
41,control neckties,trust_competent_1,p0205,35
42,control neckties,trust_competent_1,p0207,35
43,control neckties,trust_competent_1,p0211,35
44,control neckties,trust_competent_1,p0227,65
45,control neckties,trust_competent_1,p0229,45
46,control neckties,trust_competent_1,p0232,45
47,control neckties,trust_competent_1,p0233,45
48,control neckties,trust_competent_1,p0237,65
49,control neckties,trust_competent_1,p0258,45
50,control neckties,trust_competent_1,p0268,35
51,control neckties,trust_competent_1,p0274,62
52,control neckties,trust_competent_1,p0275,35
53,control neckties,trust_competent_1,p0277,45
54,control neckties,trust_competent_1,p0288,45
55,control neckties,trust_competent_1,p0291,55
