,condition,outcome,persona,response
0,control neckties,gender,p0016,2
1,control neckties,gender,p0022,2
2,control neckties,gender,p0023,1
3,control neckties,gender,p0026,2
4,control neckties,gender,p0034,1
5,control neckties,gender,p0036,1
6,control neckties,gender,p0037,1
7,control neckties,gender,p0042,1
8,control neckties,gender,p0057,2
9,control neckties,gender,p0066,1
10,control neckties,gender,p0069,2
11,control neckties,gender,p0072,2
12,control neckties,gender,p0073,1
13,control neckties,gender,p0082,1
14,control neckties,gender,p0091,1
15,control neckties,gender,p0092,1
16,control neckties,gender,p0093,1
17,control neckties,gender,p0095,1
18,control neckties,gender,p0107,2
19,control neckties,gender,p0114,1
20,control neckties,gender,p0116,1
21,control neckties,gender,p0118,2
22,control neckties,gender,p0119,1
23,control neckties,gender,p0126,1
24,control neckties,gender,p0129,1
25,control neckties,gender,p0136,2
26,control neckties,gender,p0138,1
27,control neckties,gender,p0144,2
28,control neckties,gender,p0150,1
29,control neckties,gender,p0152,2
30,control neckties,gender,p0158,2
31,control neckties,gender,p0161,1
32,control neckties,gender,p0164,2
33,control neckties,gender,p0175,1
34,control neckties,gender,p0177,1
35,control neckties,gender,p0178,1
36,control neckties,gender,p0181,2
37,control neckties,gender,p0186,2
38,control neckties,gender,p0196,2
39,control neckties,gender,p0198,1
40,control neckties,gender,p0202,1
41,control neckties,gender,p0205,1
42,control neckties,gender,p0207,1
43,control neckties,gender,p0211,1
44,control neckties,gender,p0227,2
45,control neckties,gender,p0229,1
46,control neckties,gender,p0232,1
47,control neckties,gender,p0233,2
48,control neckties,gender,p0237,1
49,control neckties,gender,p0258,1
50,control neckties,gender,p0268,1
51,control neckties,gender,p0274,1
52,control neckties,gender,p0275,1
53,control neckties,gender,p0277,1
54,control neckties,gender,p0288,1
55,control neckties,gender,p0291,1
56,control neckties,gender,p0307,1
57,control neckties,gender,p0308,1
58,control neckties,gender,p0317,1
59,control neckties,gender,p0325,2
60,control neckties,gender,p0327,1
61,control neckties,gender,p0334,1
62,control neckties,gender,p0336,1
63,control neckties,gender,p0338,1
64,control neckties,gender,p0342,1
65,control neckties,gender,p0349,1
66,control neckties,gender,p0356,2
67,control neckties,gender,p0358,1
68,control neckties,gender,p0363,1
69,control neckties,gender,p0364,1
70,control neckties,gender,p0369,2
71,control neckties,gender,p0370,2
72,control neckties,gender,p0371,1
73,control neckties,gender,p0379,1
74,control neckties,gender,p0386,1
75,control neckties,gender,p0396,2
76,control neckties,gender,p0403,2
77,control neckties,gender,p0405,2
78,control neckties,gender,p0412,1
79,control neckties,gender,p0415,1
80,control neckties,gender,p0416,1
81,control neckties,gender,p0417,1
82,control neckties,gender,p0418,2
83,control neckties,gender,p0430,1
84,control neckties,gender,p0431,2
85,control neckties,gender,p0434,2
86,control neckties,gender,p0438,2
