,condition,outcome,persona,response
0,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0016,75
1,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0022,75
2,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0023,78
3,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0026,78
4,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0034,68
5,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0036,72
6,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0037,72
7,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0042,68
8,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0057,68
9,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0066,75
10,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0069,75
11,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0072,78
12,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0073,68
13,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0082,78
14,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0091,78
15,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0092,68
16,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0093,78
17,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0095,78
18,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0107,65
19,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0114,78
20,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0116,68
21,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0118,65
22,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0119,75
23,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0126,68
24,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0129,78
25,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0136,68
26,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0138,65
27,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0144,68
28,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0150,68
29,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0152,68
30,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0158,65
31,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0161,78
32,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0164,75
33,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0175,75
34,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0177,78
35,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0178,78
36,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0181,68
37,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0186,68
38,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0196,78
39,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0198,78
40,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0202,78
41,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0205,68
42,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0207,65
43,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0211,68
44,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0227,78
45,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0229,68
46,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0232,78
47,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0233,68
48,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0237,78
49,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0258,72
50,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0268,65
51,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0274,78
52,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0275,45
53,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0277,68
54,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0288,78
55,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0291,75
56,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0307,68
57,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0308,68
58,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0317,65
59,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0325,78
60,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0327,78
61,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0334,78
62,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0336,78
63,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0338,65
64,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0342,78
65,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0349,68
66,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0356,75
67,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0358,68
68,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0363,72
69,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0364,78
70,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0369,78
71,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0370,68
72,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0371,75
73,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0379,68
74,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0386,78
75,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0396,78
76,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0403,75
77,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0405,78
78,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0412,78
79,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0415,65
80,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0416,78
81,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0417,78
82,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0418,68
83,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0430,78
84,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0431,78
85,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0434,45
86,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0438,78
87,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0441,78
88,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0442,45
89,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0449,65
90,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0450,78
91,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0465,68
92,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0471,68
93,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0477,72
94,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0483,72
95,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0486,75
96,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0487,78
97,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0489,78
98,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0497,68
99,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0502,72
100,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0503,78
101,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0506,68
102,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0511,75
103,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0523,78
104,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0534,78
105,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0536,68
106,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0542,65
107,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0547,78
108,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0553,78
109,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0559,78
110,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0566,75
111,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0568,72
112,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0570,45
113,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0573,68
114,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0578,68
115,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0594,65
116,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0597,78
117,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0601,75
118,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0602,65
119,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0605,68
120,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0615,68
121,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0620,78
122,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0626,72
123,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0629,78
124,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0633,65
125,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0638,78
126,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0639,78
127,crushing chicken; gross grasshopper; homely halibut,trust_competent_1,p0640,68
