,condition,outcome,persona,response
0,crushing chicken; gross grasshopper; homely halibut,gender,p0016,2
1,crushing chicken; gross grasshopper; homely halibut,gender,p0022,2
2,crushing chicken; gross grasshopper; homely halibut,gender,p0023,1
3,crushing chicken; gross grasshopper; homely halibut,gender,p0026,2
4,crushing chicken; gross grasshopper; homely halibut,gender,p0034,1
5,crushing chicken; gross grasshopper; homely halibut,gender,p0036,1
6,crushing chicken; gross grasshopper; homely halibut,gender,p0037,1
7,crushing chicken; gross grasshopper; homely halibut,gender,p0042,1
8,crushing chicken; gross grasshopper; homely halibut,gender,p0057,2
9,crushing chicken; gross grasshopper; homely halibut,gender,p0066,1
10,crushing chicken; gross grasshopper; homely halibut,gender,p0069,2
11,crushing chicken; gross grasshopper; homely halibut,gender,p0072,2
12,crushing chicken; gross grasshopper; homely halibut,gender,p0073,1
13,crushing chicken; gross grasshopper; homely halibut,gender,p0082,1
14,crushing chicken; gross grasshopper; homely halibut,gender,p0091,1
15,crushing chicken; gross grasshopper; homely halibut,gender,p0092,1
16,crushing chicken; gross grasshopper; homely halibut,gender,p0093,1
17,crushing chicken; gross grasshopper; homely halibut,gender,p0095,1
18,crushing chicken; gross grasshopper; homely halibut,gender,p0107,2
19,crushing chicken; gross grasshopper; homely halibut,gender,p0114,1
20,crushing chicken; gross grasshopper; homely halibut,gender,p0116,1
21,crushing chicken; gross grasshopper; homely halibut,gender,p0118,2
22,crushing chicken; gross grasshopper; homely halibut,gender,p0119,1
23,crushing chicken; gross grasshopper; homely halibut,gender,p0126,1
24,crushing chicken; gross grasshopper; homely halibut,gender,p0129,1
25,crushing chicken; gross grasshopper; homely halibut,gender,p0136,2
26,crushing chicken; gross grasshopper; homely halibut,gender,p0138,1
27,crushing chicken; gross grasshopper; homely halibut,gender,p0144,2
28,crushing chicken; gross grasshopper; homely halibut,gender,p0150,1
29,crushing chicken; gross grasshopper; homely halibut,gender,p0152,2
30,crushing chicken; gross grasshopper; homely halibut,gender,p0158,2
31,crushing chicken; gross grasshopper; homely halibut,gender,p0161,1
32,crushing chicken; gross grasshopper; homely halibut,gender,p0164,2
33,crushing chicken; gross grasshopper; homely halibut,gender,p0175,1
34,crushing chicken; gross grasshopper; homely halibut,gender,p0177,1
35,crushing chicken; gross grasshopper; homely halibut,gender,p0178,1
36,crushing chicken; gross grasshopper; homely halibut,gender,p0181,2
37,crushing chicken; gross grasshopper; homely halibut,gender,p0186,2
38,crushing chicken; gross grasshopper; homely halibut,gender,p0196,2
39,crushing chicken; gross grasshopper; homely halibut,gender,p0198,1
40,crushing chicken; gross grasshopper; homely halibut,gender,p0202,1
41,crushing chicken; gross grasshopper; homely halibut,gender,p0205,1
