,condition,outcome,persona,response
0,difficult dog,trust_competent_1,p0016,72
1,difficult dog,trust_competent_1,p0022,68
2,difficult dog,trust_competent_1,p0023,75
3,difficult dog,trust_competent_1,p0026,68
4,difficult dog,trust_competent_1,p0034,55
5,difficult dog,trust_competent_1,p0036,68
6,difficult dog,trust_competent_1,p0037,68
7,difficult dog,trust_competent_1,p0042,68
8,difficult dog,trust_competent_1,p0057,68
9,difficult dog,trust_competent_1,p0066,68
10,difficult dog,trust_competent_1,p0069,45
11,difficult dog,trust_competent_1,p0072,75
12,difficult dog,trust_competent_1,p0073,65
13,difficult dog,trust_competent_1,p0082,72
14,difficult dog,trust_competent_1,p0091,75
15,difficult dog,trust_competent_1,p0092,68
16,difficult dog,trust_competent_1,p0093,75
17,difficult dog,trust_competent_1,p0095,72
18,difficult dog,trust_competent_1,p0107,55
19,difficult dog,trust_competent_1,p0114,78
20,difficult dog,trust_competent_1,p0116,62
21,difficult dog,trust_competent_1,p0118,62
22,difficult dog,trust_competent_1,p0119,68
23,difficult dog,trust_competent_1,p0126,68
24,difficult dog,trust_competent_1,p0129,75
25,difficult dog,trust_competent_1,p0136,45
26,difficult dog,trust_competent_1,p0138,62
27,difficult dog,trust_competent_1,p0144,65
28,difficult dog,trust_competent_1,p0150,62
29,difficult dog,trust_competent_1,p0152,45
30,difficult dog,trust_competent_1,p0158,45
31,difficult dog,trust_competent_1,p0161,65
32,difficult dog,trust_competent_1,p0164,65
33,difficult dog,trust_competent_1,p0175,68
34,difficult dog,trust_competent_1,p0177,68
35,difficult dog,trust_competent_1,p0178,75
36,difficult dog,trust_competent_1,p0181,45
37,difficult dog,trust_competent_1,p0186,62
38,difficult dog,trust_competent_1,p0196,65
39,difficult dog,trust_competent_1,p0198,78
40,difficult dog,trust_competent_1,p0202,78
41,difficult dog,trust_competent_1,p0205,45
42,difficult dog,trust_competent_1,p0207,65
43,difficult dog,trust_competent_1,p0211,45
44,difficult dog,trust_competent_1,p0227,78
45,difficult dog,trust_competent_1,p0229,65
46,difficult dog,trust_competent_1,p0232,75
47,difficult dog,trust_competent_1,p0233,65
48,difficult dog,trust_competent_1,p0237,78
49,difficult dog,trust_competent_1,p0258,68
50,difficult dog,trust_competent_1,p0268,45
51,difficult dog,trust_competent_1,p0274,75
52,difficult dog,trust_competent_1,p0275,35
53,difficult dog,trust_competent_1,p0277,45
