,condition,outcome,persona,response
0,difficult dog,gender,p0016,2
1,difficult dog,gender,p0022,2
2,difficult dog,gender,p0023,1
3,difficult dog,gender,p0026,2
4,difficult dog,gender,p0034,1
5,difficult dog,gender,p0036,1
6,difficult dog,gender,p0037,1
7,difficult dog,gender,p0042,1
8,difficult dog,gender,p0057,2
9,difficult dog,gender,p0066,1
10,difficult dog,gender,p0069,2
11,difficult dog,gender,p0072,2
12,difficult dog,gender,p0073,1
13,difficult dog,gender,p0082,1
14,difficult dog,gender,p0091,1
15,difficult dog,gender,p0092,1
16,difficult dog,gender,p0093,1
17,difficult dog,gender,p0095,1
18,difficult dog,gender,p0107,2
19,difficult dog,gender,p0114,1
20,difficult dog,gender,p0116,1
21,difficult dog,gender,p0118,2
22,difficult dog,gender,p0119,1
23,difficult dog,gender,p0126,1
24,difficult dog,gender,p0129,1
25,difficult dog,gender,p0136,2
26,difficult dog,gender,p0138,1
27,difficult dog,gender,p0144,2
28,difficult dog,gender,p0150,1
29,difficult dog,gender,p0152,2
30,difficult dog,gender,p0158,2
31,difficult dog,gender,p0161,1
32,difficult dog,gender,p0164,2
33,difficult dog,gender,p0175,1
34,difficult dog,gender,p0177,1
35,difficult dog,gender,p0178,1
36,difficult dog,gender,p0181,2
37,difficult dog,gender,p0186,2
38,difficult dog,gender,p0196,2
39,difficult dog,gender,p0198,1
40,difficult dog,gender,p0202,1
41,difficult dog,gender,p0205,1
42,difficult dog,gender,p0207,1
43,difficult dog,gender,p0211,1
44,difficult dog,gender,p0227,2
45,difficult dog,gender,p0229,1
46,difficult dog,gender,p0232,1
47,difficult dog,gender,p0233,2
48,difficult dog,gender,p0237,1
49,difficult dog,gender,p0258,1
50,difficult dog,gender,p0268,1
51,difficult dog,gender,p0274,1
52,difficult dog,gender,p0275,1
53,difficult dog,gender,p0277,1
54,difficult dog,gender,p0288,1
55,difficult dog,gender,p0291,1
56,difficult dog,gender,p0307,1
57,difficult dog,gender,p0308,1
58,difficult dog,gender,p0317,1
59,difficult dog,gender,p0325,2
60,difficult dog,gender,p0327,1
61,difficult dog,gender,p0334,1
62,difficult dog,gender,p0336,1
63,difficult dog,gender,p0338,1
64,difficult dog,gender,p0342,1
65,difficult dog,gender,p0349,1
66,difficult dog,gender,p0356,2
67,difficult dog,gender,p0358,1
68,difficult dog,gender,p0363,1
69,difficult dog,gender,p0364,1
70,difficult dog,gender,p0369,2
71,difficult dog,gender,p0370,2
72,difficult dog,gender,p0371,1
73,difficult dog,gender,p0379,1
74,difficult dog,gender,p0386,1
75,difficult dog,gender,p0396,2
76,difficult dog,gender,p0403,2
77,difficult dog,gender,p0405,2
78,difficult dog,gender,p0412,1
79,difficult dog,gender,p0415,1
80,difficult dog,gender,p0416,1
81,difficult dog,gender,p0417,1
82,difficult dog,gender,p0418,2
83,difficult dog,gender,p0430,1
84,difficult dog,gender,p0431,2
85,difficult dog,gender,p0434,2
86,difficult dog,gender,p0438,2
87,difficult dog,gender,p0441,2
88,difficult dog,gender,p0442,2
89,difficult dog,gender,p0449,1
90,difficult dog,gender,p0450,2
91,difficult dog,gender,p0465,1
92,difficult dog,gender,p0471,2
93,difficult dog,gender,p0477,2
94,difficult dog,gender,p0483,2
95,difficult dog,gender,p0486,1
96,difficult dog,gender,p0487,1
97,difficult dog,gender,p0489,1
98,difficult dog,gender,p0497,1
99,difficult dog,gender,p0502,1
100,difficult dog,gender,p0503,2
101,difficult dog,gender,p0506,1
102,difficult dog,gender,p0511,1
103,difficult dog,gender,p0523,2
104,difficult dog,gender,p0534,1
105,difficult dog,gender,p0536,1
106,difficult dog,gender,p0542,1
107,difficult dog,gender,p0547,2
108,difficult dog,gender,p0553,1
109,difficult dog,gender,p0559,2
110,difficult dog,gender,p0566,1
111,difficult dog,gender,p0568,2
112,difficult dog,gender,p0570,1
113,difficult dog,gender,p0573,2
114,difficult dog,gender,p0578,1
115,difficult dog,gender,p0594,1
116,difficult dog,gender,p0597,1
117,difficult dog,gender,p0601,1
118,difficult dog,gender,p0602,2
119,difficult dog,gender,p0605,1
120,difficult dog,gender,p0615,1
121,difficult dog,gender,p0620,1
122,difficult dog,gender,p0626,2
123,difficult dog,gender,p0629,2
124,difficult dog,gender,p0633,2
125,difficult dog,gender,p0638,2
126,difficult dog,gender,p0639,1
127,difficult dog,gender,p0640,2
128,difficult dog,gender,p0655,2
129,difficult dog,gender,p0656,1
130,difficult dog,gender,p0658,1
131,difficult dog,gender,p0661,1
132,difficult dog,gender,p0669,1
133,difficult dog,gender,p0670,2
134,difficult dog,gender,p0672,2
135,difficult dog,gender,p0674,1
136,difficult dog,gender,p0678,1
137,difficult dog,gender,p0683,2
138,difficult dog,gender,p0686,1
139,difficult dog,gender,p0687,1
140,difficult dog,gender,p0698,2
141,difficult dog,gender,p0700,1
142,difficult dog,gender,p0703,1
143,difficult dog,gender,p0718,1
144,difficult dog,gender,p0744,2
145,difficult dog,gender,p0745,1
146,difficult dog,gender,p0753,2
147,difficult dog,gender,p0770,1
148,difficult dog,gender,p0771,1
149,difficult dog,gender,p0777,1
150,difficult dog,gender,p0779,1
151,difficult dog,gender,p0780,2
152,difficult dog,gender,p0783,1
153,difficult dog,gender,p0785,2
154,difficult dog,gender,p0786,2
155,difficult dog,gender,p0794,1
156,difficult dog,gender,p0798,1
157,difficult dog,gender,p0800,1
158,difficult dog,gender,p0820,2
159,difficult dog,gender,p0841,2
160,difficult dog,gender,p0849,1
161,difficult dog,gender,p0862,1
162,difficult dog,gender,p0867,2
163,difficult dog,gender,p0869,1
164,difficult dog,gender,p0872,1
165,difficult dog,gender,p0880,2
166,difficult dog,gender,p0891,1
167,difficult dog,gender,p0916,2
168,difficult dog,gender,p0917,2
169,difficult dog,gender,p0919,2
170,difficult dog,gender,p0922,2
171,difficult dog,gender,p0925,2
172,difficult dog,gender,p0927,1
173,difficult dog,gender,p0929,2
174,difficult dog,gender,p0930,1
175,difficult dog,gender,p0931,2
176,difficult dog,gender,p0933,2
177,difficult dog,gender,p0934,2
178,difficult dog,gender,p0936,2
179,difficult dog,gender,p0938,1
180,difficult dog,gender,p0939,2
181,difficult dog,gender,p0946,1
182,difficult dog,gender,p0951,1
183,difficult dog,gender,p0956,2
184,difficult dog,gender,p0962,2
185,difficult dog,gender,p0963,1
186,difficult dog,gender,p0969,1
187,difficult dog,gender,p0972,1
188,difficult dog,gender,p0975,1
189,difficult dog,gender,p0985,2
190,difficult dog,gender,p0993,1
191,difficult dog,gender,p0996,2
192,difficult dog,gender,p1011,1
193,difficult dog,gender,p1017,2
194,difficult dog,gender,p1020,1
195,difficult dog,gender,p1022,1
196,difficult dog,gender,p1024,2
197,difficult dog,gender,p1027,1
198,difficult dog,gender,p1028,1
199,difficult dog,gender,p1029,2
200,difficult dog,gender,p1032,1
201,difficult dog,gender,p1040,1
202,difficult dog,gender,p1047,1
203,difficult dog,gender,p1048,1
204,difficult dog,gender,p1053,2
205,difficult dog,gender,p1057,1
206,difficult dog,gender,p1058,2
207,difficult dog,gender,p1063,1
208,difficult dog,gender,p1064,2
209,difficult dog,gender,p1065,1
210,difficult dog,gender,p1069,2
211,difficult dog,gender,p1072,1
212,difficult dog,gender,p1073,1
213,difficult dog,gender,p1075,2
214,difficult dog,gender,p1076,2
215,difficult dog,gender,p1083,2
216,difficult dog,gender,p1089,1
217,difficult dog,gender,p1093,1
218,difficult dog,gender,p1096,2
219,difficult dog,gender,p1100,1
220,difficult dog,gender,p1106,2
221,difficult dog,gender,p1107,2
222,difficult dog,gender,p1113,1
223,difficult dog,gender,p1117,1
224,difficult dog,gender,p1120,1
225,difficult dog,gender,p1134,1
226,difficult dog,gender,p1136,1
227,difficult dog,gender,p1138,2
228,difficult dog,gender,p1144,1
229,difficult dog,gender,p1145,1
230,difficult dog,gender,p1147,2
231,difficult dog,gender,p1148,1
232,difficult dog,gender,p1154,2
233,difficult dog,gender,p1159,1
234,difficult dog,gender,p1167,1
235,difficult dog,gender,p1175,2
236,difficult dog,gender,p1178,2
237,difficult dog,gender,p1184,2
238,difficult dog,gender,p1186,1
239,difficult dog,gender,p1196,1
240,difficult dog,gender,p1197,2
241,difficult dog,gender,p1203,1
242,difficult dog,gender,p1219,2
243,difficult dog,gender,p1225,1
244,difficult dog,gender,p1234,2
245,difficult dog,gender,p1242,1
246,difficult dog,gender,p1244,1
247,difficult dog,gender,p1249,2
248,difficult dog,gender,p1250,1
249,difficult dog,gender,p1256,1
250,difficult dog,gender,p1258,2
251,difficult dog,gender,p1260,1
252,difficult dog,gender,p1262,1
253,difficult dog,gender,p1264,2
254,difficult dog,gender,p1265,2
255,difficult dog,gender,p1269,1
256,difficult dog,gender,p1272,2
257,difficult dog,gender,p1278,1
258,difficult dog,gender,p1281,2
259,difficult dog,gender,p1292,1
260,difficult dog,gender,p1299,2
261,difficult dog,gender,p1312,2
262,difficult dog,gender,p1322,1
263,difficult dog,gender,p1326,2
264,difficult dog,gender,p1330,2
265,difficult dog,gender,p1335,2
266,difficult dog,gender,p1337,1
267,difficult dog,gender,p1340,1
268,difficult dog,gender,p1345,1
269,difficult dog,gender,p1351,1
270,difficult dog,gender,p1355,2
271,difficult dog,gender,p1362,2
272,difficult dog,gender,p1365,1
273,difficult dog,gender,p1366,2
274,difficult dog,gender,p1367,1
275,difficult dog,gender,p1370,2
276,difficult dog,gender,p1371,1
277,difficult dog,gender,p1373,2
278,difficult dog,gender,p1375,2
279,difficult dog,gender,p1376,2
280,difficult dog,gender,p1379,2
281,difficult dog,gender,p1381,2
282,difficult dog,gender,p1393,2
283,difficult dog,gender,p1396,2
284,difficult dog,gender,p1398,1
285,difficult dog,gender,p1404,2
286,difficult dog,gender,p1406,1
287,difficult dog,gender,p1407,2
288,difficult dog,gender,p1409,1
289,difficult dog,gender,p1412,1
290,difficult dog,gender,p1414,1
291,difficult dog,gender,p1424,1
292,difficult dog,gender,p1425,1
293,difficult dog,gender,p1429,2
294,difficult dog,gender,p1434,1
295,difficult dog,gender,p1441,1
296,difficult dog,gender,p1445,1
297,difficult dog,gender,p1450,1
298,difficult dog,gender,p1454,1
299,difficult dog,gender,p1456,1
300,difficult dog,gender,p1457,2
301,difficult dog,gender,p1458,1
302,difficult dog,gender,p1469,1
303,difficult dog,gender,p1470,1
304,difficult dog,gender,p1481,1
305,difficult dog,gender,p1488,2
306,difficult dog,gender,p1492,1
307,difficult dog,gender,p1495,1
308,difficult dog,gender,p1497,2
309,difficult dog,gender,p1499,1
310,difficult dog,gender,p1503,1
311,difficult dog,gender,p1511,1
312,difficult dog,gender,p1512,2
313,difficult dog,gender,p1518,2
314,difficult dog,gender,p1519,2
315,difficult dog,gender,p1520,2
316,difficult dog,gender,p1524,2
317,difficult dog,gender,p1526,2
318,difficult dog,gender,p1537,1
319,difficult dog,gender,p1545,2
320,difficult dog,gender,p1547,2
321,difficult dog,gender,p1552,1
322,difficult dog,gender,p1567,1
323,difficult dog,gender,p1568,2
324,difficult dog,gender,p1579,2
325,difficult dog,gender,p1587,2
326,difficult dog,gender,p1596,1
327,difficult dog,gender,p1600,1
328,difficult dog,gender,p1603,2
329,difficult dog,gender,p1604,2
330,difficult dog,gender,p1610,2
331,difficult dog,gender,p1618,1
332,difficult dog,gender,p1619,1
333,difficult dog,gender,p1622,1
334,difficult dog,gender,p1623,1
335,difficult dog,gender,p1630,1
336,difficult dog,gender,p1641,1
337,difficult dog,gender,p1649,1
338,difficult dog,gender,p1652,1
339,difficult dog,gender,p1665,1
340,difficult dog,gender,p1669,1
341,difficult dog,gender,p1685,1
342,difficult dog,gender,p1693,2
343,difficult dog,gender,p1698,1
344,difficult dog,gender,p1704,1
345,difficult dog,gender,p1711,1
346,difficult dog,gender,p1718,1
347,difficult dog,gender,p1732,1
348,difficult dog,gender,p1739,1
349,difficult dog,gender,p1741,1
350,difficult dog,gender,p1746,1
351,difficult dog,gender,p1751,1
352,difficult dog,gender,p1754,2
353,difficult dog,gender,p1769,2
354,difficult dog,gender,p1771,2
355,difficult dog,gender,p1776,1
356,difficult dog,gender,p1780,1
357,difficult dog,gender,p1785,2
358,difficult dog,gender,p1791,1
359,difficult dog,gender,p1793,1
360,difficult dog,gender,p1796,1
361,difficult dog,gender,p1805,1
362,difficult dog,gender,p1812,1
363,difficult dog,gender,p1816,2
364,difficult dog,gender,p1819,1
365,difficult dog,gender,p1825,1
366,difficult dog,gender,p1836,1
367,difficult dog,gender,p1839,2
368,difficult dog,gender,p1861,1
369,difficult dog,gender,p1863,1
370,difficult dog,gender,p1873,1
371,difficult dog,gender,p1875,1
372,difficult dog,gender,p1876,2
373,difficult dog,gender,p1877,2
374,difficult dog,gender,p1880,2
375,difficult dog,gender,p1883,1
376,difficult dog,gender,p1889,1
377,difficult dog,gender,p1893,1
378,difficult dog,gender,p1896,1
379,difficult dog,gender,p1913,1
380,difficult dog,gender,p1922,1
381,difficult dog,gender,p1930,1
382,difficult dog,gender,p1935,1
383,difficult dog,gender,p1940,1
384,difficult dog,gender,p1948,2
385,difficult dog,gender,p1950,2
386,difficult dog,gender,p1954,1
387,difficult dog,gender,p1956,2
388,difficult dog,gender,p1958,1
389,difficult dog,gender,p1967,2
390,difficult dog,gender,p1973,1
391,difficult dog,gender,p1978,1
392,difficult dog,gender,p1983,1
393,difficult dog,gender,p1984,2
394,difficult dog,gender,p1995,1
395,difficult dog,gender,p1996,2
396,difficult dog,gender,p1997,1
397,difficult dog,gender,p2001,2
398,difficult dog,gender,p2002,2
399,difficult dog,gender,p2013,2
400,difficult dog,gender,p2014,2
401,difficult dog,gender,p2016,1
402,difficult dog,gender,p2018,1
403,difficult dog,gender,p2023,2
404,difficult dog,gender,p2025,1
405,difficult dog,gender,p2028,1
406,difficult dog,gender,p2030,2
407,difficult dog,gender,p2033,1
408,difficult dog,gender,p2040,1
409,difficult dog,gender,p2051,2
410,difficult dog,gender,p2052,1
411,difficult dog,gender,p2066,1
412,difficult dog,gender,p2067,1
413,difficult dog,gender,p2073,1
414,difficult dog,gender,p2077,2
415,difficult dog,gender,p2078,2
416,difficult dog,gender,p2086,1
417,difficult dog,gender,p2089,1
418,difficult dog,gender,p2093,1
419,difficult dog,gender,p2094,2
420,difficult dog,gender,p2111,2
421,difficult dog,gender,p2117,2
422,difficult dog,gender,p2121,1
423,difficult dog,gender,p2127,1
424,difficult dog,gender,p2141,1
425,difficult dog,gender,p2142,2
426,difficult dog,gender,p2143,1
427,difficult dog,gender,p2153,2
428,difficult dog,gender,p2155,2
429,difficult dog,gender,p2169,1
430,difficult dog,gender,p2187,1
431,difficult dog,gender,p2188,1
432,difficult dog,gender,p2197,2
433,difficult dog,gender,p2213,2
434,difficult dog,gender,p2214,2
435,difficult dog,gender,p2215,2
436,difficult dog,gender,p2220,1
437,difficult dog,gender,p2223,2
438,difficult dog,gender,p2229,1
439,difficult dog,gender,p2234,2
440,difficult dog,gender,p2237,2
441,difficult dog,gender,p2238,1
442,difficult dog,gender,p2244,2
443,difficult dog,gender,p2248,2
444,difficult dog,gender,p2252,1
445,difficult dog,gender,p2255,1
446,difficult dog,gender,p2261,1
447,difficult dog,gender,p2263,2
448,difficult dog,gender,p2273,2
449,difficult dog,gender,p2275,2
450,difficult dog,gender,p2276,2
451,difficult dog,gender,p2283,2
452,difficult dog,gender,p2287,2
453,difficult dog,gender,p2296,1
454,difficult dog,gender,p2298,1
455,difficult dog,gender,p2304,1
456,difficult dog,gender,p2310,2
457,difficult dog,gender,p2322,2
458,difficult dog,gender,p2326,2
459,difficult dog,gender,p2330,2
460,difficult dog,gender,p2331,1
461,difficult dog,gender,p2333,1
462,difficult dog,gender,p2347,2
463,difficult dog,gender,p2350,2
464,difficult dog,gender,p2351,1
465,difficult dog,gender,p2353,2
466,difficult dog,gender,p2355,2
467,difficult dog,gender,p2363,2
468,difficult dog,gender,p2378,2
469,difficult dog,gender,p2380,1
470,difficult dog,gender,p2387,2
471,difficult dog,gender,p2398,1
472,difficult dog,gender,p2400,1
473,difficult dog,gender,p2403,2
474,difficult dog,gender,p2408,2
475,difficult dog,gender,p2418,2
476,difficult dog,gender,p2426,1
477,difficult dog,gender,p2428,2
478,difficult dog,gender,p2434,2
479,difficult dog,gender,p2446,1
480,difficult dog,gender,p2452,1
481,difficult dog,gender,p2454,2
482,difficult dog,gender,p2462,1
483,difficult dog,gender,p2467,1
484,difficult dog,gender,p2482,2
485,difficult dog,gender,p2489,1
486,difficult dog,gender,p2490,2
487,difficult dog,gender,p2494,2
488,difficult dog,gender,p2502,1
489,difficult dog,gender,p2503,2
490,difficult dog,gender,p2522,1
491,difficult dog,gender,p2524,1
492,difficult dog,gender,p2533,2
493,difficult dog,gender,p2566,2
494,difficult dog,gender,p2571,1
495,difficult dog,gender,p2573,1
496,difficult dog,gender,p2582,1
497,difficult dog,gender,p2591,1
498,difficult dog,gender,p2592,2
499,difficult dog,gender,p2595,2
500,difficult dog,year_birth,p0016,1970
501,difficult dog,year_birth,p0022,1991
502,difficult dog,year_birth,p0023,1958
