,condition,outcome,persona,response
0,flimsy fish,trust_competent_1,p0016,78
1,flimsy fish,trust_competent_1,p0022,75
2,flimsy fish,trust_competent_1,p0023,78
3,flimsy fish,trust_competent_1,p0026,75
4,flimsy fish,trust_competent_1,p0034,68
5,flimsy fish,trust_competent_1,p0036,65
6,flimsy fish,trust_competent_1,p0037,72
7,flimsy fish,trust_competent_1,p0042,72
8,flimsy fish,trust_competent_1,p0057,72
9,flimsy fish,trust_competent_1,p0066,78
10,flimsy fish,trust_competent_1,p0069,65
11,flimsy fish,trust_competent_1,p0072,78
12,flimsy fish,trust_competent_1,p0073,72
13,flimsy fish,trust_competent_1,p0082,78
14,flimsy fish,trust_competent_1,p0091,78
15,flimsy fish,trust_competent_1,p0092,68
16,flimsy fish,trust_competent_1,p0093,78
17,flimsy fish,trust_competent_1,p0095,78
18,flimsy fish,trust_competent_1,p0107,68
19,flimsy fish,trust_competent_1,p0114,78
20,flimsy fish,trust_competent_1,p0116,68
21,flimsy fish,trust_competent_1,p0118,65
22,flimsy fish,trust_competent_1,p0119,78
23,flimsy fish,trust_competent_1,p0126,78
24,flimsy fish,trust_competent_1,p0129,78
25,flimsy fish,trust_competent_1,p0136,65
26,flimsy fish,trust_competent_1,p0138,68
27,flimsy fish,trust_competent_1,p0144,68
28,flimsy fish,trust_competent_1,p0150,68
29,flimsy fish,trust_competent_1,p0152,68
30,flimsy fish,trust_competent_1,p0158,68
31,flimsy fish,trust_competent_1,p0161,72
32,flimsy fish,trust_competent_1,p0164,68
33,flimsy fish,trust_competent_1,p0175,75
34,flimsy fish,trust_competent_1,p0177,72
35,flimsy fish,trust_competent_1,p0178,78
36,flimsy fish,trust_competent_1,p0181,65
37,flimsy fish,trust_competent_1,p0186,68
38,flimsy fish,trust_competent_1,p0196,72
39,flimsy fish,trust_competent_1,p0198,78
40,flimsy fish,trust_competent_1,p0202,78
41,flimsy fish,trust_competent_1,p0205,65
42,flimsy fish,trust_competent_1,p0207,65
43,flimsy fish,trust_competent_1,p0211,65
44,flimsy fish,trust_competent_1,p0227,78
45,flimsy fish,trust_competent_1,p0229,72
46,flimsy fish,trust_competent_1,p0232,78
47,flimsy fish,trust_competent_1,p0233,68
48,flimsy fish,trust_competent_1,p0237,78
49,flimsy fish,trust_competent_1,p0258,72
50,flimsy fish,trust_competent_1,p0268,65
51,flimsy fish,trust_competent_1,p0274,78
52,flimsy fish,trust_competent_1,p0275,45
53,flimsy fish,trust_competent_1,p0277,68
54,flimsy fish,trust_competent_1,p0288,75
55,flimsy fish,trust_competent_1,p0291,78
56,flimsy fish,trust_competent_1,p0307,68
57,flimsy fish,trust_competent_1,p0308,78
58,flimsy fish,trust_competent_1,p0317,65
59,flimsy fish,trust_competent_1,p0325,78
60,flimsy fish,trust_competent_1,p0327,78
61,flimsy fish,trust_competent_1,p0334,78
