,condition,outcome,persona,response
0,flimsy fish,gender,p0016,2
1,flimsy fish,gender,p0022,2
2,flimsy fish,gender,p0023,1
3,flimsy fish,gender,p0026,2
4,flimsy fish,gender,p0034,1
5,flimsy fish,gender,p0036,1
6,flimsy fish,gender,p0037,1
7,flimsy fish,gender,p0042,1
8,flimsy fish,gender,p0057,2
9,flimsy fish,gender,p0066,1
10,flimsy fish,gender,p0069,2
11,flimsy fish,gender,p0072,2
12,flimsy fish,gender,p0073,1
13,flimsy fish,gender,p0082,1
14,flimsy fish,gender,p0091,1
15,flimsy fish,gender,p0092,1
16,flimsy fish,gender,p0093,1
17,flimsy fish,gender,p0095,1
18,flimsy fish,gender,p0107,2
19,flimsy fish,gender,p0114,1
20,flimsy fish,gender,p0116,1
21,flimsy fish,gender,p0118,2
22,flimsy fish,gender,p0119,1
23,flimsy fish,gender,p0126,1
24,flimsy fish,gender,p0129,1
25,flimsy fish,gender,p0136,2
26,flimsy fish,gender,p0138,1
27,flimsy fish,gender,p0144,2
28,flimsy fish,gender,p0150,1
29,flimsy fish,gender,p0152,2
30,flimsy fish,gender,p0158,2
31,flimsy fish,gender,p0161,1
32,flimsy fish,gender,p0164,2
33,flimsy fish,gender,p0175,1
34,flimsy fish,gender,p0177,1
35,flimsy fish,gender,p0178,1
36,flimsy fish,gender,p0181,2
37,flimsy fish,gender,p0186,2
38,flimsy fish,gender,p0196,2
39,flimsy fish,gender,p0198,1
40,flimsy fish,gender,p0202,1
41,flimsy fish,gender,p0205,1
42,flimsy fish,gender,p0207,1
43,flimsy fish,gender,p0211,1
44,flimsy fish,gender,p0227,2
45,flimsy fish,gender,p0229,1
46,flimsy fish,gender,p0232,1
47,flimsy fish,gender,p0233,2
48,flimsy fish,gender,p0237,1
49,flimsy fish,gender,p0258,1
50,flimsy fish,gender,p0268,1
51,flimsy fish,gender,p0274,1
52,flimsy fish,gender,p0275,1
53,flimsy fish,gender,p0277,1
54,flimsy fish,gender,p0288,1
55,flimsy fish,gender,p0291,1
56,flimsy fish,gender,p0307,1
57,flimsy fish,gender,p0308,1
58,flimsy fish,gender,p0317,1
59,flimsy fish,gender,p0325,2
60,flimsy fish,gender,p0327,1
61,flimsy fish,gender,p0334,1
62,flimsy fish,gender,p0336,1
63,flimsy fish,gender,p0338,1
64,flimsy fish,gender,p0342,1
65,flimsy fish,gender,p0349,1
66,flimsy fish,gender,p0356,2
67,flimsy fish,gender,p0358,1
68,flimsy fish,gender,p0363,1
69,flimsy fish,gender,p0364,1
70,flimsy fish,gender,p0369,2
71,flimsy fish,gender,p0370,2
72,flimsy fish,gender,p0371,1
73,flimsy fish,gender,p0379,1
74,flimsy fish,gender,p0386,1
75,flimsy fish,gender,p0396,2
76,flimsy fish,gender,p0403,2
77,flimsy fish,gender,p0405,2
78,flimsy fish,gender,p0412,1
79,flimsy fish,gender,p0415,1
80,flimsy fish,gender,p0416,1
81,flimsy fish,gender,p0417,1
82,flimsy fish,gender,p0418,2
83,flimsy fish,gender,p0430,1
84,flimsy fish,gender,p0431,2
85,flimsy fish,gender,p0434,2
86,flimsy fish,gender,p0438,2
87,flimsy fish,gender,p0441,2
88,flimsy fish,gender,p0442,2
89,flimsy fish,gender,p0449,1
90,flimsy fish,gender,p0450,2
91,flimsy fish,gender,p0465,1
92,flimsy fish,gender,p0471,2
93,flimsy fish,gender,p0477,2
94,flimsy fish,gender,p0483,2
95,flimsy fish,gender,p0486,1
96,flimsy fish,gender,p0487,1
97,flimsy fish,gender,p0489,1
98,flimsy fish,gender,p0497,1
99,flimsy fish,gender,p0502,1
100,flimsy fish,gender,p0503,2
101,flimsy fish,gender,p0506,1
102,flimsy fish,gender,p0511,1
103,flimsy fish,gender,p0523,2
104,flimsy fish,gender,p0534,1
105,flimsy fish,gender,p0536,1
106,flimsy fish,gender,p0542,1
107,flimsy fish,gender,p0547,2
108,flimsy fish,gender,p0553,1
109,flimsy fish,gender,p0559,2
110,flimsy fish,gender,p0566,1
111,flimsy fish,gender,p0568,2
112,flimsy fish,gender,p0570,1
113,flimsy fish,gender,p0573,2
114,flimsy fish,gender,p0578,1
115,flimsy fish,gender,p0594,1
116,flimsy fish,gender,p0597,1
117,flimsy fish,gender,p0601,1
118,flimsy fish,gender,p0602,2
119,flimsy fish,gender,p0605,1
120,flimsy fish,gender,p0615,1
121,flimsy fish,gender,p0620,1
122,flimsy fish,gender,p0626,2
123,flimsy fish,gender,p0629,2
124,flimsy fish,gender,p0633,2
125,flimsy fish,gender,p0638,2
126,flimsy fish,gender,p0639,1
127,flimsy fish,gender,p0640,2
128,flimsy fish,gender,p0655,2
129,flimsy fish,gender,p0656,1
130,flimsy fish,gender,p0658,1
131,flimsy fish,gender,p0661,1
132,flimsy fish,gender,p0669,1
133,flimsy fish,gender,p0670,2
134,flimsy fish,gender,p0672,2
135,flimsy fish,gender,p0674,1
136,flimsy fish,gender,p0678,1
137,flimsy fish,gender,p0683,2
138,flimsy fish,gender,p0686,1
139,flimsy fish,gender,p0687,1
140,flimsy fish,gender,p0698,2
141,flimsy fish,gender,p0700,1
142,flimsy fish,gender,p0703,1
143,flimsy fish,gender,p0718,1
144,flimsy fish,gender,p0744,2
145,flimsy fish,gender,p0745,1
146,flimsy fish,gender,p0753,2
147,flimsy fish,gender,p0770,1
148,flimsy fish,gender,p0771,1
149,flimsy fish,gender,p0777,1
150,flimsy fish,gender,p0779,1
151,flimsy fish,gender,p0780,2
152,flimsy fish,gender,p0783,1
153,flimsy fish,gender,p0785,2
154,flimsy fish,gender,p0786,2
155,flimsy fish,gender,p0794,1
156,flimsy fish,gender,p0798,1
157,flimsy fish,gender,p0800,1
158,flimsy fish,gender,p0820,2
159,flimsy fish,gender,p0841,2
160,flimsy fish,gender,p0849,1
161,flimsy fish,gender,p0862,1
162,flimsy fish,gender,p0867,2
163,flimsy fish,gender,p0869,1
164,flimsy fish,gender,p0872,1
165,flimsy fish,gender,p0880,2
166,flimsy fish,gender,p0891,1
167,flimsy fish,gender,p0916,2
168,flimsy fish,gender,p0917,2
169,flimsy fish,gender,p0919,2
170,flimsy fish,gender,p0922,2
171,flimsy fish,gender,p0925,2
172,flimsy fish,gender,p0927,1
173,flimsy fish,gender,p0929,2
174,flimsy fish,gender,p0930,1
175,flimsy fish,gender,p0931,2
176,flimsy fish,gender,p0933,2
177,flimsy fish,gender,p0934,2
178,flimsy fish,gender,p0936,2
179,flimsy fish,gender,p0938,1
180,flimsy fish,gender,p0939,2
181,flimsy fish,gender,p0946,1
182,flimsy fish,gender,p0951,1
183,flimsy fish,gender,p0956,2
184,flimsy fish,gender,p0962,2
185,flimsy fish,gender,p0963,1
186,flimsy fish,gender,p0969,1
187,flimsy fish,gender,p0972,1
188,flimsy fish,gender,p0975,1
189,flimsy fish,gender,p0985,2
190,flimsy fish,gender,p0993,1
191,flimsy fish,gender,p0996,2
192,flimsy fish,gender,p1011,1
193,flimsy fish,gender,p1017,2
194,flimsy fish,gender,p1020,1
195,flimsy fish,gender,p1022,1
196,flimsy fish,gender,p1024,2
197,flimsy fish,gender,p1027,1
198,flimsy fish,gender,p1028,1
199,flimsy fish,gender,p1029,2
200,flimsy fish,gender,p1032,1
201,flimsy fish,gender,p1040,1
202,flimsy fish,gender,p1047,1
203,flimsy fish,gender,p1048,1
204,flimsy fish,gender,p1053,2
205,flimsy fish,gender,p1057,1
206,flimsy fish,gender,p1058,2
207,flimsy fish,gender,p1063,1
208,flimsy fish,gender,p1064,2
209,flimsy fish,gender,p1065,1
210,flimsy fish,gender,p1069,2
211,flimsy fish,gender,p1072,1
212,flimsy fish,gender,p1073,1
213,flimsy fish,gender,p1075,2
214,flimsy fish,gender,p1076,2
215,flimsy fish,gender,p1083,2
216,flimsy fish,gender,p1089,1
217,flimsy fish,gender,p1093,1
218,flimsy fish,gender,p1096,2
219,flimsy fish,gender,p1100,1
220,flimsy fish,gender,p1106,2
221,flimsy fish,gender,p1107,2
222,flimsy fish,gender,p1113,1
223,flimsy fish,gender,p1117,1
224,flimsy fish,gender,p1120,1
225,flimsy fish,gender,p1134,1
226,flimsy fish,gender,p1136,1
227,flimsy fish,gender,p1138,2
228,flimsy fish,gender,p1144,1
229,flimsy fish,gender,p1145,1
230,flimsy fish,gender,p1147,2
231,flimsy fish,gender,p1148,1
232,flimsy fish,gender,p1154,2
233,flimsy fish,gender,p1159,1
234,flimsy fish,gender,p1167,1
235,flimsy fish,gender,p1175,2
236,flimsy fish,gender,p1178,2
237,flimsy fish,gender,p1184,2
238,flimsy fish,gender,p1186,1
239,flimsy fish,gender,p1196,1
240,flimsy fish,gender,p1197,2
241,flimsy fish,gender,p1203,1
242,flimsy fish,gender,p1219,2
243,flimsy fish,gender,p1225,1
244,flimsy fish,gender,p1234,2
245,flimsy fish,gender,p1242,1
246,flimsy fish,gender,p1244,1
247,flimsy fish,gender,p1249,2
248,flimsy fish,gender,p1250,1
249,flimsy fish,gender,p1256,1
250,flimsy fish,gender,p1258,2
251,flimsy fish,gender,p1260,1
252,flimsy fish,gender,p1262,1
253,flimsy fish,gender,p1264,2
254,flimsy fish,gender,p1265,2
255,flimsy fish,gender,p1269,1
256,flimsy fish,gender,p1272,2
257,flimsy fish,gender,p1278,1
258,flimsy fish,gender,p1281,2
259,flimsy fish,gender,p1292,1
260,flimsy fish,gender,p1299,2
261,flimsy fish,gender,p1312,2
262,flimsy fish,gender,p1322,1
263,flimsy fish,gender,p1326,2
264,flimsy fish,gender,p1330,2
265,flimsy fish,gender,p1335,2
266,flimsy fish,gender,p1337,1
267,flimsy fish,gender,p1340,1
268,flimsy fish,gender,p1345,1
269,flimsy fish,gender,p1351,1
270,flimsy fish,gender,p1355,2
271,flimsy fish,gender,p1362,2
272,flimsy fish,gender,p1365,1
273,flimsy fish,gender,p1366,2
274,flimsy fish,gender,p1367,1
275,flimsy fish,gender,p1370,2
276,flimsy fish,gender,p1371,1
277,flimsy fish,gender,p1373,2
278,flimsy fish,gender,p1375,2
279,flimsy fish,gender,p1376,2
