,condition,outcome,persona,response
0,giant gibbon; brick bobcat,trust_competent_1,p0016,78
1,giant gibbon; brick bobcat,trust_competent_1,p0022,78
2,giant gibbon; brick bobcat,trust_competent_1,p0023,75
3,giant gibbon; brick bobcat,trust_competent_1,p0026,78
4,giant gibbon; brick bobcat,trust_competent_1,p0034,68
5,giant gibbon; brick bobcat,trust_competent_1,p0036,75
6,giant gibbon; brick bobcat,trust_competent_1,p0037,78
7,giant gibbon; brick bobcat,trust_competent_1,p0042,78
8,giant gibbon; brick bobcat,trust_competent_1,p0057,72
9,giant gibbon; brick bobcat,trust_competent_1,p0066,78
10,giant gibbon; brick bobcat,trust_competent_1,p0069,75
11,giant gibbon; brick bobcat,trust_competent_1,p0072,78
12,giant gibbon; brick bobcat,trust_competent_1,p0073,75
13,giant gibbon; brick bobcat,trust_competent_1,p0082,78
14,giant gibbon; brick bobcat,trust_competent_1,p0091,75
15,giant gibbon; brick bobcat,trust_competent_1,p0092,68
16,giant gibbon; brick bobcat,trust_competent_1,p0093,75
17,giant gibbon; brick bobcat,trust_competent_1,p0095,75
18,giant gibbon; brick bobcat,trust_competent_1,p0107,68
19,giant gibbon; brick bobcat,trust_competent_1,p0114,78
20,giant gibbon; brick bobcat,trust_competent_1,p0116,65
21,giant gibbon; brick bobcat,trust_competent_1,p0118,68
22,giant gibbon; brick bobcat,trust_competent_1,p0119,78
23,giant gibbon; brick bobcat,trust_competent_1,p0126,78
24,giant gibbon; brick bobcat,trust_competent_1,p0129,78
25,giant gibbon; brick bobcat,trust_competent_1,p0136,68
26,giant gibbon; brick bobcat,trust_competent_1,p0138,65
27,giant gibbon; brick bobcat,trust_competent_1,p0144,68
28,giant gibbon; brick bobcat,trust_competent_1,p0150,68
29,giant gibbon; brick bobcat,trust_competent_1,p0152,68
30,giant gibbon; brick bobcat,trust_competent_1,p0158,65
31,giant gibbon; brick bobcat,trust_competent_1,p0161,75
32,giant gibbon; brick bobcat,trust_competent_1,p0164,68
33,giant gibbon; brick bobcat,trust_competent_1,p0175,75
34,giant gibbon; brick bobcat,trust_competent_1,p0177,78
35,giant gibbon; brick bobcat,trust_competent_1,p0178,78
36,giant gibbon; brick bobcat,trust_competent_1,p0181,65
37,giant gibbon; brick bobcat,trust_competent_1,p0186,68
38,giant gibbon; brick bobcat,trust_competent_1,p0196,75
39,giant gibbon; brick bobcat,trust_competent_1,p0198,78
40,giant gibbon; brick bobcat,trust_competent_1,p0202,78
41,giant gibbon; brick bobcat,trust_competent_1,p0205,68
42,giant gibbon; brick bobcat,trust_competent_1,p0207,65
43,giant gibbon; brick bobcat,trust_competent_1,p0211,65
44,giant gibbon; brick bobcat,trust_competent_1,p0227,78
45,giant gibbon; brick bobcat,trust_competent_1,p0229,68
46,giant gibbon; brick bobcat,trust_competent_1,p0232,75
47,giant gibbon; brick bobcat,trust_competent_1,p0233,65
48,giant gibbon; brick bobcat,trust_competent_1,p0237,78
49,giant gibbon; brick bobcat,trust_competent_1,p0258,78
50,giant gibbon; brick bobcat,trust_competent_1,p0268,65
51,giant gibbon; brick bobcat,trust_competent_1,p0274,75
52,giant gibbon; brick bobcat,trust_competent_1,p0275,45
53,giant gibbon; brick bobcat,trust_competent_1,p0277,68
54,giant gibbon; brick bobcat,trust_competent_1,p0288,78
55,giant gibbon; brick bobcat,trust_competent_1,p0291,75
56,giant gibbon; brick bobcat,trust_competent_1,p0307,68
57,giant gibbon; brick bobcat,trust_competent_1,p0308,78
58,giant gibbon; brick bobcat,trust_competent_1,p0317,65
59,giant gibbon; brick bobcat,trust_competent_1,p0325,82
60,giant gibbon; brick bobcat,trust_competent_1,p0327,75
61,giant gibbon; brick bobcat,trust_competent_1,p0334,78
62,giant gibbon; brick bobcat,trust_competent_1,p0336,78
63,giant gibbon; brick bobcat,trust_competent_1,p0338,65
64,giant gibbon; brick bobcat,trust_competent_1,p0342,75
65,giant gibbon; brick bobcat,trust_competent_1,p0349,65
66,giant gibbon; brick bobcat,trust_competent_1,p0356,75
67,giant gibbon; brick bobcat,trust_competent_1,p0358,78
68,giant gibbon; brick bobcat,trust_competent_1,p0363,78
69,giant gibbon; brick bobcat,trust_competent_1,p0364,78
70,giant gibbon; brick bobcat,trust_competent_1,p0369,78
71,giant gibbon; brick bobcat,trust_competent_1,p0370,65
72,giant gibbon; brick bobcat,trust_competent_1,p0371,68
73,giant gibbon; brick bobcat,trust_competent_1,p0379,68
74,giant gibbon; brick bobcat,trust_competent_1,p0386,78
75,giant gibbon; brick bobcat,trust_competent_1,p0396,78
