,condition,outcome,persona,response
0,giant gibbon; brick bobcat,gender,p0016,2
1,giant gibbon; brick bobcat,gender,p0022,2
2,giant gibbon; brick bobcat,gender,p0023,1
3,giant gibbon; brick bobcat,gender,p0026,2
4,giant gibbon; brick bobcat,gender,p0034,1
5,giant gibbon; brick bobcat,gender,p0036,1
6,giant gibbon; brick bobcat,gender,p0037,1
7,giant gibbon; brick bobcat,gender,p0042,1
8,giant gibbon; brick bobcat,gender,p0057,2
9,giant gibbon; brick bobcat,gender,p0066,1
10,giant gibbon; brick bobcat,gender,p0069,2
11,giant gibbon; brick bobcat,gender,p0072,2
12,giant gibbon; brick bobcat,gender,p0073,1
13,giant gibbon; brick bobcat,gender,p0082,1
14,giant gibbon; brick bobcat,gender,p0091,1
15,giant gibbon; brick bobcat,gender,p0092,1
16,giant gibbon; brick bobcat,gender,p0093,1
17,giant gibbon; brick bobcat,gender,p0095,1
18,giant gibbon; brick bobcat,gender,p0107,2
19,giant gibbon; brick bobcat,gender,p0114,1
20,giant gibbon; brick bobcat,gender,p0116,1
21,giant gibbon; brick bobcat,gender,p0118,2
22,giant gibbon; brick bobcat,gender,p0119,1
23,giant gibbon; brick bobcat,gender,p0126,1
24,giant gibbon; brick bobcat,gender,p0129,1
25,giant gibbon; brick bobcat,gender,p0136,2
26,giant gibbon; brick bobcat,gender,p0138,1
27,giant gibbon; brick bobcat,gender,p0144,2
28,giant gibbon; brick bobcat,gender,p0150,1
29,giant gibbon; brick bobcat,gender,p0152,2
30,giant gibbon; brick bobcat,gender,p0158,2
31,giant gibbon; brick bobcat,gender,p0161,1
32,giant gibbon; brick bobcat,gender,p0164,2
33,giant gibbon; brick bobcat,gender,p0175,1
34,giant gibbon; brick bobcat,gender,p0177,1
35,giant gibbon; brick bobcat,gender,p0178,1
36,giant gibbon; brick bobcat,gender,p0181,2
37,giant gibbon; brick bobcat,gender,p0186,2
38,giant gibbon; brick bobcat,gender,p0196,2
39,giant gibbon; brick bobcat,gender,p0198,1
40,giant gibbon; brick bobcat,gender,p0202,1
41,giant gibbon; brick bobcat,gender,p0205,1
42,giant gibbon; brick bobcat,gender,p0207,1
43,giant gibbon; brick bobcat,gender,p0211,1
44,giant gibbon; brick bobcat,gender,p0227,2
45,giant gibbon; brick bobcat,gender,p0229,1
46,giant gibbon; brick bobcat,gender,p0232,1
47,giant gibbon; brick bobcat,gender,p0233,2
48,giant gibbon; brick bobcat,gender,p0237,1
49,giant gibbon; brick bobcat,gender,p0258,1
50,giant gibbon; brick bobcat,gender,p0268,1
51,giant gibbon; brick bobcat,gender,p0274,1
52,giant gibbon; brick bobcat,gender,p0275,1
53,giant gibbon; brick bobcat,gender,p0277,1
54,giant gibbon; brick bobcat,gender,p0288,1
55,giant gibbon; brick bobcat,gender,p0291,1
56,giant gibbon; brick bobcat,gender,p0307,1
57,giant gibbon; brick bobcat,gender,p0308,1
58,giant gibbon; brick bobcat,gender,p0317,1
59,giant gibbon; brick bobcat,gender,p0325,2
60,giant gibbon; brick bobcat,gender,p0327,1
61,giant gibbon; brick bobcat,gender,p0334,1
62,giant gibbon; brick bobcat,gender,p0336,1
63,giant gibbon; brick bobcat,gender,p0338,1
64,giant gibbon; brick bobcat,gender,p0342,1
65,giant gibbon; brick bobcat,gender,p0349,1
66,giant gibbon; brick bobcat,gender,p0356,2
67,giant gibbon; brick bobcat,gender,p0358,1
68,giant gibbon; brick bobcat,gender,p0363,1
69,giant gibbon; brick bobcat,gender,p0364,1
70,giant gibbon; brick bobcat,gender,p0369,2
71,giant gibbon; brick bobcat,gender,p0370,2
72,giant gibbon; brick bobcat,gender,p0371,1
73,giant gibbon; brick bobcat,gender,p0379,1
74,giant gibbon; brick bobcat,gender,p0386,1
