,condition,outcome,persona,response
0,heartfelt hummingbird,trust_competent_1,p0016,72
1,heartfelt hummingbird,trust_competent_1,p0022,68
2,heartfelt hummingbird,trust_competent_1,p0023,78
3,heartfelt hummingbird,trust_competent_1,p0026,68
4,heartfelt hummingbird,trust_competent_1,p0034,55
5,heartfelt hummingbird,trust_competent_1,p0036,62
6,heartfelt hummingbird,trust_competent_1,p0037,68
7,heartfelt hummingbird,trust_competent_1,p0042,65
8,heartfelt hummingbird,trust_competent_1,p0057,68
9,heartfelt hummingbird,trust_competent_1,p0066,72
10,heartfelt hummingbird,trust_competent_1,p0069,45
11,heartfelt hummingbird,trust_competent_1,p0072,75
12,heartfelt hummingbird,trust_competent_1,p0073,68
13,heartfelt hummingbird,trust_competent_1,p0082,68
14,heartfelt hummingbird,trust_competent_1,p0091,78
15,heartfelt hummingbird,trust_competent_1,p0092,62
16,heartfelt hummingbird,trust_competent_1,p0093,72
17,heartfelt hummingbird,trust_competent_1,p0095,68
18,heartfelt hummingbird,trust_competent_1,p0107,55
19,heartfelt hummingbird,trust_competent_1,p0114,75
20,heartfelt hummingbird,trust_competent_1,p0116,62
21,heartfelt hummingbird,trust_competent_1,p0118,65
22,heartfelt hummingbird,trust_competent_1,p0119,75
23,heartfelt hummingbird,trust_competent_1,p0126,68
24,heartfelt hummingbird,trust_competent_1,p0129,78
25,heartfelt hummingbird,trust_competent_1,p0136,62
26,heartfelt hummingbird,trust_competent_1,p0138,55
27,heartfelt hummingbird,trust_competent_1,p0144,65
28,heartfelt hummingbird,trust_competent_1,p0150,55
29,heartfelt hummingbird,trust_competent_1,p0152,65
30,heartfelt hummingbird,trust_competent_1,p0158,45
31,heartfelt hummingbird,trust_competent_1,p0161,68
32,heartfelt hummingbird,trust_competent_1,p0164,65
33,heartfelt hummingbird,trust_competent_1,p0175,68
34,heartfelt hummingbird,trust_competent_1,p0177,68
35,heartfelt hummingbird,trust_competent_1,p0178,75
36,heartfelt hummingbird,trust_competent_1,p0181,45
37,heartfelt hummingbird,trust_competent_1,p0186,62
38,heartfelt hummingbird,trust_competent_1,p0196,68
39,heartfelt hummingbird,trust_competent_1,p0198,72
40,heartfelt hummingbird,trust_competent_1,p0202,78
41,heartfelt hummingbird,trust_competent_1,p0205,55
42,heartfelt hummingbird,trust_competent_1,p0207,62
43,heartfelt hummingbird,trust_competent_1,p0211,45
44,heartfelt hummingbird,trust_competent_1,p0227,78
45,heartfelt hummingbird,trust_competent_1,p0229,65
46,heartfelt hummingbird,trust_competent_1,p0232,72
