,condition,outcome,persona,response
0,heartfelt hummingbird,gender,p0016,2
1,heartfelt hummingbird,gender,p0022,2
2,heartfelt hummingbird,gender,p0023,1
3,heartfelt hummingbird,gender,p0026,2
4,heartfelt hummingbird,gender,p0034,1
5,heartfelt hummingbird,gender,p0036,1
6,heartfelt hummingbird,gender,p0037,1
7,heartfelt hummingbird,gender,p0042,1
8,heartfelt hummingbird,gender,p0057,2
9,heartfelt hummingbird,gender,p0066,1
10,heartfelt hummingbird,gender,p0069,2
11,heartfelt hummingbird,gender,p0072,2
12,heartfelt hummingbird,gender,p0073,1
13,heartfelt hummingbird,gender,p0082,1
14,heartfelt hummingbird,gender,p0091,1
15,heartfelt hummingbird,gender,p0092,1
16,heartfelt hummingbird,gender,p0093,1
17,heartfelt hummingbird,gender,p0095,1
18,heartfelt hummingbird,gender,p0107,2
19,heartfelt hummingbird,gender,p0114,1
20,heartfelt hummingbird,gender,p0116,1
21,heartfelt hummingbird,gender,p0118,2
22,heartfelt hummingbird,gender,p0119,1
23,heartfelt hummingbird,gender,p0126,1
24,heartfelt hummingbird,gender,p0129,1
25,heartfelt hummingbird,gender,p0136,2
26,heartfelt hummingbird,gender,p0138,1
27,heartfelt hummingbird,gender,p0144,2
28,heartfelt hummingbird,gender,p0150,1
29,heartfelt hummingbird,gender,p0152,2
30,heartfelt hummingbird,gender,p0158,2
31,heartfelt hummingbird,gender,p0161,1
32,heartfelt hummingbird,gender,p0164,2
33,heartfelt hummingbird,gender,p0175,1
34,heartfelt hummingbird,gender,p0177,1
35,heartfelt hummingbird,gender,p0178,1
36,heartfelt hummingbird,gender,p0181,2
37,heartfelt hummingbird,gender,p0186,2
38,heartfelt hummingbird,gender,p0196,2
39,heartfelt hummingbird,gender,p0198,1
40,heartfelt hummingbird,gender,p0202,1
41,heartfelt hummingbird,gender,p0205,1
42,heartfelt hummingbird,gender,p0207,1
43,heartfelt hummingbird,gender,p0211,1
44,heartfelt hummingbird,gender,p0227,2
45,heartfelt hummingbird,gender,p0229,1
46,heartfelt hummingbird,gender,p0232,1
47,heartfelt hummingbird,gender,p0233,2
48,heartfelt hummingbird,gender,p0237,1
49,heartfelt hummingbird,gender,p0258,1
50,heartfelt hummingbird,gender,p0268,1
51,heartfelt hummingbird,gender,p0274,1
52,heartfelt hummingbird,gender,p0275,1
53,heartfelt hummingbird,gender,p0277,1
