,condition,outcome,persona,response
0,honored haddock,trust_competent_1,p0016,78
1,honored haddock,trust_competent_1,p0022,78
2,honored haddock,trust_competent_1,p0023,82
3,honored haddock,trust_competent_1,p0026,78
4,honored haddock,trust_competent_1,p0034,72
5,honored haddock,trust_competent_1,p0036,68
6,honored haddock,trust_competent_1,p0037,72
7,honored haddock,trust_competent_1,p0042,78
8,honored haddock,trust_competent_1,p0057,68
9,honored haddock,trust_competent_1,p0066,78
10,honored haddock,trust_competent_1,p0069,65
11,honored haddock,trust_competent_1,p0072,85
12,honored haddock,trust_competent_1,p0073,78
13,honored haddock,trust_competent_1,p0082,78
14,honored haddock,trust_competent_1,p0091,78
15,honored haddock,trust_competent_1,p0092,72
16,honored haddock,trust_competent_1,p0093,78
17,honored haddock,trust_competent_1,p0095,78
18,honored haddock,trust_competent_1,p0107,68
19,honored haddock,trust_competent_1,p0114,78
20,honored haddock,trust_competent_1,p0116,68
21,honored haddock,trust_competent_1,p0118,68
22,honored haddock,trust_competent_1,p0119,78
23,honored haddock,trust_competent_1,p0126,78
24,honored haddock,trust_competent_1,p0129,78
25,honored haddock,trust_competent_1,p0136,68
26,honored haddock,trust_competent_1,p0138,68
27,honored haddock,trust_competent_1,p0144,68
28,honored haddock,trust_competent_1,p0150,72
29,honored haddock,trust_competent_1,p0152,75
30,honored haddock,trust_competent_1,p0158,68
31,honored haddock,trust_competent_1,p0161,75
32,honored haddock,trust_competent_1,p0164,75
33,honored haddock,trust_competent_1,p0175,78
34,honored haddock,trust_competent_1,p0177,78
35,honored haddock,trust_competent_1,p0178,78
36,honored haddock,trust_competent_1,p0181,65
37,honored haddock,trust_competent_1,p0186,72
38,honored haddock,trust_competent_1,p0196,78
39,honored haddock,trust_competent_1,p0198,78
40,honored haddock,trust_competent_1,p0202,82
41,honored haddock,trust_competent_1,p0205,75
42,honored haddock,trust_competent_1,p0207,65
43,honored haddock,trust_competent_1,p0211,68
44,honored haddock,trust_competent_1,p0227,78
45,honored haddock,trust_competent_1,p0229,72
46,honored haddock,trust_competent_1,p0232,78
47,honored haddock,trust_competent_1,p0233,72
48,honored haddock,trust_competent_1,p0237,82
49,honored haddock,trust_competent_1,p0258,75
50,honored haddock,trust_competent_1,p0268,65
51,honored haddock,trust_competent_1,p0274,78
52,honored haddock,trust_competent_1,p0275,45
53,honored haddock,trust_competent_1,p0277,68
54,honored haddock,trust_competent_1,p0288,78
55,honored haddock,trust_competent_1,p0291,78
56,honored haddock,trust_competent_1,p0307,72
57,honored haddock,trust_competent_1,p0308,78
58,honored haddock,trust_competent_1,p0317,65
59,honored haddock,trust_competent_1,p0325,78
60,honored haddock,trust_competent_1,p0327,78
61,honored haddock,trust_competent_1,p0334,78
62,honored haddock,trust_competent_1,p0336,78
63,honored haddock,trust_competent_1,p0338,55
64,honored haddock,trust_competent_1,p0342,78
65,honored haddock,trust_competent_1,p0349,68
66,honored haddock,trust_competent_1,p0356,75
67,honored haddock,trust_competent_1,p0358,78
68,honored haddock,trust_competent_1,p0363,78
69,honored haddock,trust_competent_1,p0364,78
70,honored haddock,trust_competent_1,p0369,82
71,honored haddock,trust_competent_1,p0370,68
72,honored haddock,trust_competent_1,p0371,75
73,honored haddock,trust_competent_1,p0379,68
74,honored haddock,trust_competent_1,p0386,78
75,honored haddock,trust_competent_1,p0396,78
76,honored haddock,trust_competent_1,p0403,82
77,honored haddock,trust_competent_1,p0405,78
78,honored haddock,trust_competent_1,p0412,78
79,honored haddock,trust_competent_1,p0415,45
80,honored haddock,trust_competent_1,p0416,78
81,honored haddock,trust_competent_1,p0417,78
82,honored haddock,trust_competent_1,p0418,68
83,honored haddock,trust_competent_1,p0430,78
84,honored haddock,trust_competent_1,p0431,82
85,honored haddock,trust_competent_1,p0434,45
86,honored haddock,trust_competent_1,p0438,78
87,honored haddock,trust_competent_1,p0441,78
88,honored haddock,trust_competent_1,p0442,45
89,honored haddock,trust_competent_1,p0449,68
90,honored haddock,trust_competent_1,p0450,78
91,honored haddock,trust_competent_1,p0465,68
92,honored haddock,trust_competent_1,p0471,78
93,honored haddock,trust_competent_1,p0477,78
94,honored haddock,trust_competent_1,p0483,72
95,honored haddock,trust_competent_1,p0486,78
96,honored haddock,trust_competent_1,p0487,78
97,honored haddock,trust_competent_1,p0489,78
98,honored haddock,trust_competent_1,p0497,75
99,honored haddock,trust_competent_1,p0502,72
100,honored haddock,trust_competent_1,p0503,78
101,honored haddock,trust_competent_1,p0506,68
102,honored haddock,trust_competent_1,p0511,78
103,honored haddock,trust_competent_1,p0523,78
104,honored haddock,trust_competent_1,p0534,82
105,honored haddock,trust_competent_1,p0536,78
106,honored haddock,trust_competent_1,p0542,68
107,honored haddock,trust_competent_1,p0547,78
108,honored haddock,trust_competent_1,p0553,78
109,honored haddock,trust_competent_1,p0559,78
110,honored haddock,trust_competent_1,p0566,78
111,honored haddock,trust_competent_1,p0568,72
112,honored haddock,trust_competent_1,p0570,55
113,honored haddock,trust_competent_1,p0573,72
114,honored haddock,trust_competent_1,p0578,72
115,honored haddock,trust_competent_1,p0594,68
116,honored haddock,trust_competent_1,p0597,78
117,honored haddock,trust_competent_1,p0601,78
118,honored haddock,trust_competent_1,p0602,68
119,honored haddock,trust_competent_1,p0605,75
120,honored haddock,trust_competent_1,p0615,78
121,honored haddock,trust_competent_1,p0620,78
122,honored haddock,trust_competent_1,p0626,78
