,condition,outcome,persona,response
0,honored haddock,gender,p0016,2
1,honored haddock,gender,p0022,2
2,honored haddock,gender,p0023,1
3,honored haddock,gender,p0026,2
4,honored haddock,gender,p0034,1
5,honored haddock,gender,p0036,1
6,honored haddock,gender,p0037,1
7,honored haddock,gender,p0042,1
8,honored haddock,gender,p0057,2
9,honored haddock,gender,p0066,1
10,honored haddock,gender,p0069,2
11,honored haddock,gender,p0072,2
12,honored haddock,gender,p0073,1
13,honored haddock,gender,p0082,1
14,honored haddock,gender,p0091,1
15,honored haddock,gender,p0092,1
16,honored haddock,gender,p0093,1
17,honored haddock,gender,p0095,1
18,honored haddock,gender,p0107,2
19,honored haddock,gender,p0114,1
20,honored haddock,gender,p0116,1
21,honored haddock,gender,p0118,2
22,honored haddock,gender,p0119,1
23,honored haddock,gender,p0126,1
24,honored haddock,gender,p0129,1
25,honored haddock,gender,p0136,2
26,honored haddock,gender,p0138,1
27,honored haddock,gender,p0144,2
28,honored haddock,gender,p0150,1
29,honored haddock,gender,p0152,2
30,honored haddock,gender,p0158,2
31,honored haddock,gender,p0161,1
32,honored haddock,gender,p0164,2
33,honored haddock,gender,p0175,1
34,honored haddock,gender,p0177,1
35,honored haddock,gender,p0178,1
36,honored haddock,gender,p0181,2
37,honored haddock,gender,p0186,2
38,honored haddock,gender,p0196,2
39,honored haddock,gender,p0198,1
40,honored haddock,gender,p0202,1
41,honored haddock,gender,p0205,1
42,honored haddock,gender,p0207,1
43,honored haddock,gender,p0211,1
44,honored haddock,gender,p0227,2
45,honored haddock,gender,p0229,1
46,honored haddock,gender,p0232,1
47,honored haddock,gender,p0233,2
48,honored haddock,gender,p0237,1
49,honored haddock,gender,p0258,1
50,honored haddock,gender,p0268,1
51,honored haddock,gender,p0274,1
52,honored haddock,gender,p0275,1
53,honored haddock,gender,p0277,1
54,honored haddock,gender,p0288,1
55,honored haddock,gender,p0291,1
56,honored haddock,gender,p0307,1
57,honored haddock,gender,p0308,1
58,honored haddock,gender,p0317,1
59,honored haddock,gender,p0325,2
60,honored haddock,gender,p0327,1
61,honored haddock,gender,p0334,1
62,honored haddock,gender,p0336,1
63,honored haddock,gender,p0338,1
64,honored haddock,gender,p0342,1
65,honored haddock,gender,p0349,1
66,honored haddock,gender,p0356,2
67,honored haddock,gender,p0358,1
68,honored haddock,gender,p0363,1
69,honored haddock,gender,p0364,1
70,honored haddock,gender,p0369,2
71,honored haddock,gender,p0370,2
72,honored haddock,gender,p0371,1
73,honored haddock,gender,p0379,1
74,honored haddock,gender,p0386,1
75,honored haddock,gender,p0396,2
76,honored haddock,gender,p0403,2
77,honored haddock,gender,p0405,2
78,honored haddock,gender,p0412,1
79,honored haddock,gender,p0415,1
80,honored haddock,gender,p0416,1
81,honored haddock,gender,p0417,1
82,honored haddock,gender,p0418,2
83,honored haddock,gender,p0430,1
84,honored haddock,gender,p0431,2
85,honored haddock,gender,p0434,2
86,honored haddock,gender,p0438,2
87,honored haddock,gender,p0441,2
88,honored haddock,gender,p0442,2
89,honored haddock,gender,p0449,1
90,honored haddock,gender,p0450,2
91,honored haddock,gender,p0465,1
92,honored haddock,gender,p0471,2
93,honored haddock,gender,p0477,2
94,honored haddock,gender,p0483,2
95,honored haddock,gender,p0486,1
96,honored haddock,gender,p0487,1
97,honored haddock,gender,p0489,1
98,honored haddock,gender,p0497,1
99,honored haddock,gender,p0502,1
100,honored haddock,gender,p0503,2
101,honored haddock,gender,p0506,1
102,honored haddock,gender,p0511,1
103,honored haddock,gender,p0523,2
104,honored haddock,gender,p0534,1
105,honored haddock,gender,p0536,1
106,honored haddock,gender,p0542,1
107,honored haddock,gender,p0547,2
108,honored haddock,gender,p0553,1
109,honored haddock,gender,p0559,2
110,honored haddock,gender,p0566,1
111,honored haddock,gender,p0568,2
112,honored haddock,gender,p0570,1
113,honored haddock,gender,p0573,2
114,honored haddock,gender,p0578,1
115,honored haddock,gender,p0594,1
116,honored haddock,gender,p0597,1
117,honored haddock,gender,p0601,1
118,honored haddock,gender,p0602,2
119,honored haddock,gender,p0605,1
120,honored haddock,gender,p0615,1
121,honored haddock,gender,p0620,1
122,honored haddock,gender,p0626,2
123,honored haddock,gender,p0629,2
124,honored haddock,gender,p0633,2
125,honored haddock,gender,p0638,2
126,honored haddock,gender,p0639,1
127,honored haddock,gender,p0640,2
128,honored haddock,gender,p0655,2
129,honored haddock,gender,p0656,1
130,honored haddock,gender,p0658,1
131,honored haddock,gender,p0661,1
132,honored haddock,gender,p0669,1
133,honored haddock,gender,p0670,2
134,honored haddock,gender,p0672,2
135,honored haddock,gender,p0674,1
136,honored haddock,gender,p0678,1
137,honored haddock,gender,p0683,2
138,honored haddock,gender,p0686,1
139,honored haddock,gender,p0687,1
140,honored haddock,gender,p0698,2
141,honored haddock,gender,p0700,1
142,honored haddock,gender,p0703,1
143,honored haddock,gender,p0718,1
144,honored haddock,gender,p0744,2
145,honored haddock,gender,p0745,1
146,honored haddock,gender,p0753,2
147,honored haddock,gender,p0770,1
148,honored haddock,gender,p0771,1
149,honored haddock,gender,p0777,1
150,honored haddock,gender,p0779,1
151,honored haddock,gender,p0780,2
152,honored haddock,gender,p0783,1
153,honored haddock,gender,p0785,2
154,honored haddock,gender,p0786,2
155,honored haddock,gender,p0794,1
156,honored haddock,gender,p0798,1
157,honored haddock,gender,p0800,1
158,honored haddock,gender,p0820,2
159,honored haddock,gender,p0841,2
160,honored haddock,gender,p0849,1
161,honored haddock,gender,p0862,1
162,honored haddock,gender,p0867,2
163,honored haddock,gender,p0869,1
164,honored haddock,gender,p0872,1
165,honored haddock,gender,p0880,2
166,honored haddock,gender,p0891,1
167,honored haddock,gender,p0916,2
168,honored haddock,gender,p0917,2
169,honored haddock,gender,p0919,2
170,honored haddock,gender,p0922,2
