,condition,outcome,persona,response
0,jealous jaguar,trust_competent_1,p0016,75
1,jealous jaguar,trust_competent_1,p0022,68
2,jealous jaguar,trust_competent_1,p0023,75
3,jealous jaguar,trust_competent_1,p0026,75
4,jealous jaguar,trust_competent_1,p0034,68
5,jealous jaguar,trust_competent_1,p0036,65
6,jealous jaguar,trust_competent_1,p0037,65
7,jealous jaguar,trust_competent_1,p0042,65
8,jealous jaguar,trust_competent_1,p0057,75
9,jealous jaguar,trust_competent_1,p0066,75
10,jealous jaguar,trust_competent_1,p0069,45
11,jealous jaguar,trust_competent_1,p0072,78
12,jealous jaguar,trust_competent_1,p0073,75
13,jealous jaguar,trust_competent_1,p0082,75
14,jealous jaguar,trust_competent_1,p0091,75
15,jealous jaguar,trust_competent_1,p0092,68
16,jealous jaguar,trust_competent_1,p0093,75
17,jealous jaguar,trust_competent_1,p0095,75
18,jealous jaguar,trust_competent_1,p0107,65
19,jealous jaguar,trust_competent_1,p0114,75
20,jealous jaguar,trust_competent_1,p0116,68
21,jealous jaguar,trust_competent_1,p0118,68
22,jealous jaguar,trust_competent_1,p0119,78
23,jealous jaguar,trust_competent_1,p0126,65
24,jealous jaguar,trust_competent_1,p0129,75
25,jealous jaguar,trust_competent_1,p0136,65
26,jealous jaguar,trust_competent_1,p0138,65
27,jealous jaguar,trust_competent_1,p0144,68
28,jealous jaguar,trust_competent_1,p0150,68
29,jealous jaguar,trust_competent_1,p0152,68
30,jealous jaguar,trust_competent_1,p0158,65
31,jealous jaguar,trust_competent_1,p0161,65
32,jealous jaguar,trust_competent_1,p0164,65
33,jealous jaguar,trust_competent_1,p0175,75
34,jealous jaguar,trust_competent_1,p0177,75
35,jealous jaguar,trust_competent_1,p0178,75
36,jealous jaguar,trust_competent_1,p0181,66
37,jealous jaguar,trust_competent_1,p0186,68
38,jealous jaguar,trust_competent_1,p0196,75
39,jealous jaguar,trust_competent_1,p0198,75
40,jealous jaguar,trust_competent_1,p0202,75
41,jealous jaguar,trust_competent_1,p0205,65
42,jealous jaguar,trust_competent_1,p0207,65
43,jealous jaguar,trust_competent_1,p0211,65
44,jealous jaguar,trust_competent_1,p0227,75
45,jealous jaguar,trust_competent_1,p0229,68
46,jealous jaguar,trust_competent_1,p0232,75
47,jealous jaguar,trust_competent_1,p0233,65
48,jealous jaguar,trust_competent_1,p0237,75
49,jealous jaguar,trust_competent_1,p0258,65
50,jealous jaguar,trust_competent_1,p0268,65
51,jealous jaguar,trust_competent_1,p0274,75
52,jealous jaguar,trust_competent_1,p0275,35
53,jealous jaguar,trust_competent_1,p0277,65
54,jealous jaguar,trust_competent_1,p0288,75
55,jealous jaguar,trust_competent_1,p0291,75
56,jealous jaguar,trust_competent_1,p0307,68
57,jealous jaguar,trust_competent_1,p0308,75
58,jealous jaguar,trust_competent_1,p0317,45
59,jealous jaguar,trust_competent_1,p0325,75
60,jealous jaguar,trust_competent_1,p0327,75
61,jealous jaguar,trust_competent_1,p0334,75
62,jealous jaguar,trust_competent_1,p0336,75
63,jealous jaguar,trust_competent_1,p0338,55
64,jealous jaguar,trust_competent_1,p0342,75
65,jealous jaguar,trust_competent_1,p0349,68
66,jealous jaguar,trust_competent_1,p0356,65
67,jealous jaguar,trust_competent_1,p0358,75
68,jealous jaguar,trust_competent_1,p0363,68
69,jealous jaguar,trust_competent_1,p0364,75
70,jealous jaguar,trust_competent_1,p0369,75
71,jealous jaguar,trust_competent_1,p0370,66
72,jealous jaguar,trust_competent_1,p0371,65
73,jealous jaguar,trust_competent_1,p0379,65
74,jealous jaguar,trust_competent_1,p0386,75
75,jealous jaguar,trust_competent_1,p0396,75
76,jealous jaguar,trust_competent_1,p0403,75
77,jealous jaguar,trust_competent_1,p0405,75
78,jealous jaguar,trust_competent_1,p0412,75
79,jealous jaguar,trust_competent_1,p0415,45
80,jealous jaguar,trust_competent_1,p0416,75
81,jealous jaguar,trust_competent_1,p0417,75
82,jealous jaguar,trust_competent_1,p0418,65
83,jealous jaguar,trust_competent_1,p0430,75
84,jealous jaguar,trust_competent_1,p0431,78
85,jealous jaguar,trust_competent_1,p0434,45
86,jealous jaguar,trust_competent_1,p0438,75
87,jealous jaguar,trust_competent_1,p0441,75
88,jealous jaguar,trust_competent_1,p0442,45
89,jealous jaguar,trust_competent_1,p0449,65
90,jealous jaguar,trust_competent_1,p0450,75
91,jealous jaguar,trust_competent_1,p0465,65
92,jealous jaguar,trust_competent_1,p0471,65
93,jealous jaguar,trust_competent_1,p0477,65
94,jealous jaguar,trust_competent_1,p0483,75
95,jealous jaguar,trust_competent_1,p0486,75
96,jealous jaguar,trust_competent_1,p0487,75
97,jealous jaguar,trust_competent_1,p0489,75
98,jealous jaguar,trust_competent_1,p0497,65
99,jealous jaguar,trust_competent_1,p0502,68
100,jealous jaguar,trust_competent_1,p0503,75
101,jealous jaguar,trust_competent_1,p0506,68
102,jealous jaguar,trust_competent_1,p0511,75
103,jealous jaguar,trust_competent_1,p0523,75
104,jealous jaguar,trust_competent_1,p0534,75
105,jealous jaguar,trust_competent_1,p0536,65
106,jealous jaguar,trust_competent_1,p0542,45
107,jealous jaguar,trust_competent_1,p0547,68
108,jealous jaguar,trust_competent_1,p0553,75
109,jealous jaguar,trust_competent_1,p0559,75
110,jealous jaguar,trust_competent_1,p0566,75
111,jealous jaguar,trust_competent_1,p0568,68
112,jealous jaguar,trust_competent_1,p0570,45
113,jealous jaguar,trust_competent_1,p0573,68
114,jealous jaguar,trust_competent_1,p0578,75
115,jealous jaguar,trust_competent_1,p0594,65
116,jealous jaguar,trust_competent_1,p0597,75
117,jealous jaguar,trust_competent_1,p0601,75
118,jealous jaguar,trust_competent_1,p0602,65
119,jealous jaguar,trust_competent_1,p0605,68
120,jealous jaguar,trust_competent_1,p0615,75
121,jealous jaguar,trust_competent_1,p0620,75
122,jealous jaguar,trust_competent_1,p0626,65
123,jealous jaguar,trust_competent_1,p0629,75
124,jealous jaguar,trust_competent_1,p0633,65
125,jealous jaguar,trust_competent_1,p0638,75
126,jealous jaguar,trust_competent_1,p0639,75
127,jealous jaguar,trust_competent_1,p0640,65
128,jealous jaguar,trust_competent_1,p0655,75
129,jealous jaguar,trust_competent_1,p0656,65
130,jealous jaguar,trust_competent_1,p0658,65
131,jealous jaguar,trust_competent_1,p0661,68
132,jealous jaguar,trust_competent_1,p0669,75
133,jealous jaguar,trust_competent_1,p0670,68
134,jealous jaguar,trust_competent_1,p0672,65
135,jealous jaguar,trust_competent_1,p0674,75
136,jealous jaguar,trust_competent_1,p0678,75
137,jealous jaguar,trust_competent_1,p0683,75
138,jealous jaguar,trust_competent_1,p0686,65
