,condition,outcome,persona,response
0,jealous jaguar,gender,p0016,2
1,jealous jaguar,gender,p0022,2
2,jealous jaguar,gender,p0023,1
3,jealous jaguar,gender,p0026,2
4,jealous jaguar,gender,p0034,1
5,jealous jaguar,gender,p0036,1
6,jealous jaguar,gender,p0037,1
7,jealous jaguar,gender,p0042,1
8,jealous jaguar,gender,p0057,2
9,jealous jaguar,gender,p0066,1
10,jealous jaguar,gender,p0069,2
11,jealous jaguar,gender,p0072,2
12,jealous jaguar,gender,p0073,1
13,jealous jaguar,gender,p0082,1
14,jealous jaguar,gender,p0091,1
15,jealous jaguar,gender,p0092,1
16,jealous jaguar,gender,p0093,1
17,jealous jaguar,gender,p0095,1
18,jealous jaguar,gender,p0107,2
19,jealous jaguar,gender,p0114,1
20,jealous jaguar,gender,p0116,1
21,jealous jaguar,gender,p0118,2
22,jealous jaguar,gender,p0119,1
23,jealous jaguar,gender,p0126,1
24,jealous jaguar,gender,p0129,1
25,jealous jaguar,gender,p0136,2
26,jealous jaguar,gender,p0138,1
27,jealous jaguar,gender,p0144,2
28,jealous jaguar,gender,p0150,1
29,jealous jaguar,gender,p0152,2
30,jealous jaguar,gender,p0158,2
31,jealous jaguar,gender,p0161,1
32,jealous jaguar,gender,p0164,2
33,jealous jaguar,gender,p0175,1
34,jealous jaguar,gender,p0177,1
35,jealous jaguar,gender,p0178,1
36,jealous jaguar,gender,p0181,2
37,jealous jaguar,gender,p0186,2
38,jealous jaguar,gender,p0196,2
39,jealous jaguar,gender,p0198,1
40,jealous jaguar,gender,p0202,1
41,jealous jaguar,gender,p0205,1
42,jealous jaguar,gender,p0207,1
43,jealous jaguar,gender,p0211,1
44,jealous jaguar,gender,p0227,2
45,jealous jaguar,gender,p0229,1
46,jealous jaguar,gender,p0232,1
47,jealous jaguar,gender,p0233,2
48,jealous jaguar,gender,p0237,1
49,jealous jaguar,gender,p0258,1
50,jealous jaguar,gender,p0268,1
51,jealous jaguar,gender,p0274,1
52,jealous jaguar,gender,p0275,1
53,jealous jaguar,gender,p0277,1
54,jealous jaguar,gender,p0288,1
55,jealous jaguar,gender,p0291,1
56,jealous jaguar,gender,p0307,1
57,jealous jaguar,gender,p0308,1
58,jealous jaguar,gender,p0317,1
59,jealous jaguar,gender,p0325,2
60,jealous jaguar,gender,p0327,1
61,jealous jaguar,gender,p0334,1
62,jealous jaguar,gender,p0336,1
63,jealous jaguar,gender,p0338,1
64,jealous jaguar,gender,p0342,1
65,jealous jaguar,gender,p0349,1
66,jealous jaguar,gender,p0356,2
67,jealous jaguar,gender,p0358,1
68,jealous jaguar,gender,p0363,1
69,jealous jaguar,gender,p0364,1
70,jealous jaguar,gender,p0369,2
71,jealous jaguar,gender,p0370,2
72,jealous jaguar,gender,p0371,1
73,jealous jaguar,gender,p0379,1
74,jealous jaguar,gender,p0386,1
75,jealous jaguar,gender,p0396,2
76,jealous jaguar,gender,p0403,2
77,jealous jaguar,gender,p0405,2
78,jealous jaguar,gender,p0412,1
79,jealous jaguar,gender,p0415,1
80,jealous jaguar,gender,p0416,1
81,jealous jaguar,gender,p0417,1
82,jealous jaguar,gender,p0418,2
83,jealous jaguar,gender,p0430,1
84,jealous jaguar,gender,p0431,2
85,jealous jaguar,gender,p0434,2
86,jealous jaguar,gender,p0438,2
87,jealous jaguar,gender,p0441,2
88,jealous jaguar,gender,p0442,2
89,jealous jaguar,gender,p0449,1
90,jealous jaguar,gender,p0450,2
91,jealous jaguar,gender,p0465,1
92,jealous jaguar,gender,p0471,2
93,jealous jaguar,gender,p0477,2
94,jealous jaguar,gender,p0483,2
95,jealous jaguar,gender,p0486,1
96,jealous jaguar,gender,p0487,1
97,jealous jaguar,gender,p0489,1
98,jealous jaguar,gender,p0497,1
99,jealous jaguar,gender,p0502,1
100,jealous jaguar,gender,p0503,2
101,jealous jaguar,gender,p0506,1
102,jealous jaguar,gender,p0511,1
103,jealous jaguar,gender,p0523,2
104,jealous jaguar,gender,p0534,1
105,jealous jaguar,gender,p0536,1
106,jealous jaguar,gender,p0542,1
107,jealous jaguar,gender,p0547,2
108,jealous jaguar,gender,p0553,1
109,jealous jaguar,gender,p0559,2
110,jealous jaguar,gender,p0566,1
111,jealous jaguar,gender,p0568,2
112,jealous jaguar,gender,p0570,1
113,jealous jaguar,gender,p0573,2
114,jealous jaguar,gender,p0578,1
115,jealous jaguar,gender,p0594,1
116,jealous jaguar,gender,p0597,1
117,jealous jaguar,gender,p0601,1
118,jealous jaguar,gender,p0602,2
119,jealous jaguar,gender,p0605,1
120,jealous jaguar,gender,p0615,1
121,jealous jaguar,gender,p0620,1
122,jealous jaguar,gender,p0626,2
123,jealous jaguar,gender,p0629,2
124,jealous jaguar,gender,p0633,2
125,jealous jaguar,gender,p0638,2
126,jealous jaguar,gender,p0639,1
127,jealous jaguar,gender,p0640,2
128,jealous jaguar,gender,p0655,2
129,jealous jaguar,gender,p0656,1
130,jealous jaguar,gender,p0658,1
131,jealous jaguar,gender,p0661,1
132,jealous jaguar,gender,p0669,1
133,jealous jaguar,gender,p0670,2
134,jealous jaguar,gender,p0672,2
135,jealous jaguar,gender,p0674,1
136,jealous jaguar,gender,p0678,1
137,jealous jaguar,gender,p0683,2
138,jealous jaguar,gender,p0686,1
139,jealous jaguar,gender,p0687,1
140,jealous jaguar,gender,p0698,2
141,jealous jaguar,gender,p0700,1
142,jealous jaguar,gender,p0703,1
143,jealous jaguar,gender,p0718,1
144,jealous jaguar,gender,p0744,2
145,jealous jaguar,gender,p0745,1
146,jealous jaguar,gender,p0753,2
147,jealous jaguar,gender,p0770,1
148,jealous jaguar,gender,p0771,1
149,jealous jaguar,gender,p0777,1
150,jealous jaguar,gender,p0779,1
151,jealous jaguar,gender,p0780,2
152,jealous jaguar,gender,p0783,1
153,jealous jaguar,gender,p0785,2
154,jealous jaguar,gender,p0786,2
155,jealous jaguar,gender,p0794,1
156,jealous jaguar,gender,p0798,1
157,jealous jaguar,gender,p0800,1
158,jealous jaguar,gender,p0820,2
159,jealous jaguar,gender,p0841,2
160,jealous jaguar,gender,p0849,1
161,jealous jaguar,gender,p0862,1
162,jealous jaguar,gender,p0867,2
163,jealous jaguar,gender,p0869,1
164,jealous jaguar,gender,p0872,1
165,jealous jaguar,gender,p0880,2
166,jealous jaguar,gender,p0891,1
167,jealous jaguar,gender,p0916,2
168,jealous jaguar,gender,p0917,2
169,jealous jaguar,gender,p0919,2
170,jealous jaguar,gender,p0922,2
171,jealous jaguar,gender,p0925,2
172,jealous jaguar,gender,p0927,1
173,jealous jaguar,gender,p0929,2
174,jealous jaguar,gender,p0930,1
175,jealous jaguar,gender,p0931,2
176,jealous jaguar,gender,p0933,2
177,jealous jaguar,gender,p0934,2
178,jealous jaguar,gender,p0936,2
179,jealous jaguar,gender,p0938,1
180,jealous jaguar,gender,p0939,2
181,jealous jaguar,gender,p0946,1
182,jealous jaguar,gender,p0951,1
183,jealous jaguar,gender,p0956,2
184,jealous jaguar,gender,p0962,2
185,jealous jaguar,gender,p0963,1
186,jealous jaguar,gender,p0969,1
187,jealous jaguar,gender,p0972,1
188,jealous jaguar,gender,p0975,1
189,jealous jaguar,gender,p0985,2
190,jealous jaguar,gender,p0993,1
191,jealous jaguar,gender,p0996,2
192,jealous jaguar,gender,p1011,1
193,jealous jaguar,gender,p1017,2
194,jealous jaguar,gender,p1020,1
195,jealous jaguar,gender,p1022,1
196,jealous jaguar,gender,p1024,2
197,jealous jaguar,gender,p1027,1
198,jealous jaguar,gender,p1028,1
199,jealous jaguar,gender,p1029,2
200,jealous jaguar,gender,p1032,1
201,jealous jaguar,gender,p1040,1
202,jealous jaguar,gender,p1047,1
203,jealous jaguar,gender,p1048,1
204,jealous jaguar,gender,p1053,2
205,jealous jaguar,gender,p1057,1
206,jealous jaguar,gender,p1058,2
207,jealous jaguar,gender,p1063,1
208,jealous jaguar,gender,p1064,2
209,jealous jaguar,gender,p1065,1
210,jealous jaguar,gender,p1069,2
211,jealous jaguar,gender,p1072,1
212,jealous jaguar,gender,p1073,1
213,jealous jaguar,gender,p1075,2
214,jealous jaguar,gender,p1076,2
215,jealous jaguar,gender,p1083,2
216,jealous jaguar,gender,p1089,1
217,jealous jaguar,gender,p1093,1
218,jealous jaguar,gender,p1096,2
219,jealous jaguar,gender,p1100,1
220,jealous jaguar,gender,p1106,2
221,jealous jaguar,gender,p1107,2
222,jealous jaguar,gender,p1113,1
223,jealous jaguar,gender,p1117,1
224,jealous jaguar,gender,p1120,1
225,jealous jaguar,gender,p1134,1
226,jealous jaguar,gender,p1136,1
227,jealous jaguar,gender,p1138,2
228,jealous jaguar,gender,p1144,1
229,jealous jaguar,gender,p1145,1
230,jealous jaguar,gender,p1147,2
231,jealous jaguar,gender,p1148,1
232,jealous jaguar,gender,p1154,2
233,jealous jaguar,gender,p1159,1
234,jealous jaguar,gender,p1167,1
235,jealous jaguar,gender,p1175,2
236,jealous jaguar,gender,p1178,2
237,jealous jaguar,gender,p1184,2
238,jealous jaguar,gender,p1186,1
239,jealous jaguar,gender,p1196,1
240,jealous jaguar,gender,p1197,2
241,jealous jaguar,gender,p1203,1
242,jealous jaguar,gender,p1219,2
243,jealous jaguar,gender,p1225,1
244,jealous jaguar,gender,p1234,2
245,jealous jaguar,gender,p1242,1
246,jealous jaguar,gender,p1244,1
247,jealous jaguar,gender,p1249,2
248,jealous jaguar,gender,p1250,1
249,jealous jaguar,gender,p1256,1
250,jealous jaguar,gender,p1258,2
251,jealous jaguar,gender,p1260,1
252,jealous jaguar,gender,p1262,1
253,jealous jaguar,gender,p1264,2
254,jealous jaguar,gender,p1265,2
255,jealous jaguar,gender,p1269,1
256,jealous jaguar,gender,p1272,2
257,jealous jaguar,gender,p1278,1
258,jealous jaguar,gender,p1281,2
259,jealous jaguar,gender,p1292,1
260,jealous jaguar,gender,p1299,2
261,jealous jaguar,gender,p1312,2
262,jealous jaguar,gender,p1322,1
263,jealous jaguar,gender,p1326,2
264,jealous jaguar,gender,p1330,2
265,jealous jaguar,gender,p1335,2
266,jealous jaguar,gender,p1337,1
267,jealous jaguar,gender,p1340,1
268,jealous jaguar,gender,p1345,1
269,jealous jaguar,gender,p1351,1
270,jealous jaguar,gender,p1355,2
271,jealous jaguar,gender,p1362,2
272,jealous jaguar,gender,p1365,1
273,jealous jaguar,gender,p1366,2
274,jealous jaguar,gender,p1367,1
275,jealous jaguar,gender,p1370,2
276,jealous jaguar,gender,p1371,1
277,jealous jaguar,gender,p1373,2
278,jealous jaguar,gender,p1375,2
279,jealous jaguar,gender,p1376,2
280,jealous jaguar,gender,p1379,2
281,jealous jaguar,gender,p1381,2
282,jealous jaguar,gender,p1393,2
283,jealous jaguar,gender,p1396,2
284,jealous jaguar,gender,p1398,1
285,jealous jaguar,gender,p1404,2
286,jealous jaguar,gender,p1406,1
287,jealous jaguar,gender,p1407,2
288,jealous jaguar,gender,p1409,1
289,jealous jaguar,gender,p1412,1
290,jealous jaguar,gender,p1414,1
291,jealous jaguar,gender,p1424,1
292,jealous jaguar,gender,p1425,1
293,jealous jaguar,gender,p1429,2
294,jealous jaguar,gender,p1434,1
295,jealous jaguar,gender,p1441,1
296,jealous jaguar,gender,p1445,1
297,jealous jaguar,gender,p1450,1
298,jealous jaguar,gender,p1454,1
299,jealous jaguar,gender,p1456,1
300,jealous jaguar,gender,p1457,2
301,jealous jaguar,gender,p1458,1
302,jealous jaguar,gender,p1469,1
303,jealous jaguar,gender,p1470,1
304,jealous jaguar,gender,p1481,1
305,jealous jaguar,gender,p1488,2
306,jealous jaguar,gender,p1492,1
307,jealous jaguar,gender,p1495,1
308,jealous jaguar,gender,p1497,2
309,jealous jaguar,gender,p1499,1
310,jealous jaguar,gender,p1503,1
311,jealous jaguar,gender,p1511,1
312,jealous jaguar,gender,p1512,2
313,jealous jaguar,gender,p1518,2
314,jealous jaguar,gender,p1519,2
315,jealous jaguar,gender,p1520,2
316,jealous jaguar,gender,p1524,2
317,jealous jaguar,gender,p1526,2
318,jealous jaguar,gender,p1537,1
319,jealous jaguar,gender,p1545,2
320,jealous jaguar,gender,p1547,2
321,jealous jaguar,gender,p1552,1
322,jealous jaguar,gender,p1567,1
323,jealous jaguar,gender,p1568,2
324,jealous jaguar,gender,p1579,2
325,jealous jaguar,gender,p1587,2
326,jealous jaguar,gender,p1596,1
327,jealous jaguar,gender,p1600,1
328,jealous jaguar,gender,p1603,2
329,jealous jaguar,gender,p1604,2
330,jealous jaguar,gender,p1610,2
331,jealous jaguar,gender,p1618,1
332,jealous jaguar,gender,p1619,1
333,jealous jaguar,gender,p1622,1
334,jealous jaguar,gender,p1623,1
335,jealous jaguar,gender,p1630,1
336,jealous jaguar,gender,p1641,1
337,jealous jaguar,gender,p1649,1
338,jealous jaguar,gender,p1652,1
339,jealous jaguar,gender,p1665,1
340,jealous jaguar,gender,p1669,1
341,jealous jaguar,gender,p1685,1
342,jealous jaguar,gender,p1693,2
343,jealous jaguar,gender,p1698,1
344,jealous jaguar,gender,p1704,1
345,jealous jaguar,gender,p1711,1
346,jealous jaguar,gender,p1718,1
347,jealous jaguar,gender,p1732,1
348,jealous jaguar,gender,p1739,1
349,jealous jaguar,gender,p1741,1
350,jealous jaguar,gender,p1746,1
351,jealous jaguar,gender,p1751,1
352,jealous jaguar,gender,p1754,2
353,jealous jaguar,gender,p1769,2
354,jealous jaguar,gender,p1771,2
355,jealous jaguar,gender,p1776,1
356,jealous jaguar,gender,p1780,1
357,jealous jaguar,gender,p1785,2
358,jealous jaguar,gender,p1791,1
359,jealous jaguar,gender,p1793,1
360,jealous jaguar,gender,p1796,1
361,jealous jaguar,gender,p1805,1
362,jealous jaguar,gender,p1812,1
363,jealous jaguar,gender,p1816,2
364,jealous jaguar,gender,p1819,1
365,jealous jaguar,gender,p1825,1
366,jealous jaguar,gender,p1836,1
367,jealous jaguar,gender,p1839,2
368,jealous jaguar,gender,p1861,1
369,jealous jaguar,gender,p1863,1
370,jealous jaguar,gender,p1873,1
371,jealous jaguar,gender,p1875,1
372,jealous jaguar,gender,p1876,2
373,jealous jaguar,gender,p1877,2
374,jealous jaguar,gender,p1880,2
375,jealous jaguar,gender,p1883,1
376,jealous jaguar,gender,p1889,1
377,jealous jaguar,gender,p1893,1
378,jealous jaguar,gender,p1896,1
379,jealous jaguar,gender,p1913,1
380,jealous jaguar,gender,p1922,1
381,jealous jaguar,gender,p1930,1
382,jealous jaguar,gender,p1935,1
383,jealous jaguar,gender,p1940,1
384,jealous jaguar,gender,p1948,2
385,jealous jaguar,gender,p1950,2
386,jealous jaguar,gender,p1954,1
387,jealous jaguar,gender,p1956,2
388,jealous jaguar,gender,p1958,1
389,jealous jaguar,gender,p1967,2
390,jealous jaguar,gender,p1973,1
391,jealous jaguar,gender,p1978,1
392,jealous jaguar,gender,p1983,1
393,jealous jaguar,gender,p1984,2
394,jealous jaguar,gender,p1995,1
395,jealous jaguar,gender,p1996,2
396,jealous jaguar,gender,p1997,1
397,jealous jaguar,gender,p2001,2
398,jealous jaguar,gender,p2002,2
399,jealous jaguar,gender,p2013,2
400,jealous jaguar,gender,p2014,2
401,jealous jaguar,gender,p2016,1
