,condition,outcome,persona,response
0,limping llama; friendly frog,trust_competent_1,p0016,75
1,limping llama; friendly frog,trust_competent_1,p0022,68
2,limping llama; friendly frog,trust_competent_1,p0023,75
3,limping llama; friendly frog,trust_competent_1,p0026,78
4,limping llama; friendly frog,trust_competent_1,p0034,68
5,limping llama; friendly frog,trust_competent_1,p0036,68
6,limping llama; friendly frog,trust_competent_1,p0037,72
7,limping llama; friendly frog,trust_competent_1,p0042,68
8,limping llama; friendly frog,trust_competent_1,p0057,68
9,limping llama; friendly frog,trust_competent_1,p0066,75
10,limping llama; friendly frog,trust_competent_1,p0069,68
11,limping llama; friendly frog,trust_competent_1,p0072,75
12,limping llama; friendly frog,trust_competent_1,p0073,65
13,limping llama; friendly frog,trust_competent_1,p0082,78
14,limping llama; friendly frog,trust_competent_1,p0091,75
15,limping llama; friendly frog,trust_competent_1,p0092,68
16,limping llama; friendly frog,trust_competent_1,p0093,75
17,limping llama; friendly frog,trust_competent_1,p0095,72
18,limping llama; friendly frog,trust_competent_1,p0107,68
19,limping llama; friendly frog,trust_competent_1,p0114,78
20,limping llama; friendly frog,trust_competent_1,p0116,65
21,limping llama; friendly frog,trust_competent_1,p0118,68
22,limping llama; friendly frog,trust_competent_1,p0119,78
23,limping llama; friendly frog,trust_competent_1,p0126,68
24,limping llama; friendly frog,trust_competent_1,p0129,78
25,limping llama; friendly frog,trust_competent_1,p0136,68
26,limping llama; friendly frog,trust_competent_1,p0138,65
27,limping llama; friendly frog,trust_competent_1,p0144,68
28,limping llama; friendly frog,trust_competent_1,p0150,65
29,limping llama; friendly frog,trust_competent_1,p0152,68
30,limping llama; friendly frog,trust_competent_1,p0158,65
31,limping llama; friendly frog,trust_competent_1,p0161,75
32,limping llama; friendly frog,trust_competent_1,p0164,68
33,limping llama; friendly frog,trust_competent_1,p0175,75
34,limping llama; friendly frog,trust_competent_1,p0177,68
35,limping llama; friendly frog,trust_competent_1,p0178,78
36,limping llama; friendly frog,trust_competent_1,p0181,55
37,limping llama; friendly frog,trust_competent_1,p0186,68
38,limping llama; friendly frog,trust_competent_1,p0196,65
39,limping llama; friendly frog,trust_competent_1,p0198,78
40,limping llama; friendly frog,trust_competent_1,p0202,78
41,limping llama; friendly frog,trust_competent_1,p0205,68
42,limping llama; friendly frog,trust_competent_1,p0207,45
43,limping llama; friendly frog,trust_competent_1,p0211,65
44,limping llama; friendly frog,trust_competent_1,p0227,78
45,limping llama; friendly frog,trust_competent_1,p0229,68
46,limping llama; friendly frog,trust_competent_1,p0232,75
47,limping llama; friendly frog,trust_competent_1,p0233,68
48,limping llama; friendly frog,trust_competent_1,p0237,78
49,limping llama; friendly frog,trust_competent_1,p0258,72
50,limping llama; friendly frog,trust_competent_1,p0268,65
51,limping llama; friendly frog,trust_competent_1,p0274,78
52,limping llama; friendly frog,trust_competent_1,p0275,45
53,limping llama; friendly frog,trust_competent_1,p0277,65
54,limping llama; friendly frog,trust_competent_1,p0288,75
55,limping llama; friendly frog,trust_competent_1,p0291,75
56,limping llama; friendly frog,trust_competent_1,p0307,68
57,limping llama; friendly frog,trust_competent_1,p0308,72
58,limping llama; friendly frog,trust_competent_1,p0317,65
59,limping llama; friendly frog,trust_competent_1,p0325,78
60,limping llama; friendly frog,trust_competent_1,p0327,75
61,limping llama; friendly frog,trust_competent_1,p0334,78
62,limping llama; friendly frog,trust_competent_1,p0336,78
63,limping llama; friendly frog,trust_competent_1,p0338,65
64,limping llama; friendly frog,trust_competent_1,p0342,75
65,limping llama; friendly frog,trust_competent_1,p0349,65
66,limping llama; friendly frog,trust_competent_1,p0356,68
67,limping llama; friendly frog,trust_competent_1,p0358,68
68,limping llama; friendly frog,trust_competent_1,p0363,68
69,limping llama; friendly frog,trust_competent_1,p0364,78
70,limping llama; friendly frog,trust_competent_1,p0369,78
71,limping llama; friendly frog,trust_competent_1,p0370,68
72,limping llama; friendly frog,trust_competent_1,p0371,68
73,limping llama; friendly frog,trust_competent_1,p0379,68
74,limping llama; friendly frog,trust_competent_1,p0386,78
75,limping llama; friendly frog,trust_competent_1,p0396,78
76,limping llama; friendly frog,trust_competent_1,p0403,68
77,limping llama; friendly frog,trust_competent_1,p0405,75
78,limping llama; friendly frog,trust_competent_1,p0412,78
79,limping llama; friendly frog,trust_competent_1,p0415,68
80,limping llama; friendly frog,trust_competent_1,p0416,72
81,limping llama; friendly frog,trust_competent_1,p0417,78
82,limping llama; friendly frog,trust_competent_1,p0418,68
83,limping llama; friendly frog,trust_competent_1,p0430,78
84,limping llama; friendly frog,trust_competent_1,p0431,75
85,limping llama; friendly frog,trust_competent_1,p0434,45
86,limping llama; friendly frog,trust_competent_1,p0438,75
87,limping llama; friendly frog,trust_competent_1,p0441,75
88,limping llama; friendly frog,trust_competent_1,p0442,45
89,limping llama; friendly frog,trust_competent_1,p0449,65
90,limping llama; friendly frog,trust_competent_1,p0450,78
91,limping llama; friendly frog,trust_competent_1,p0465,68
92,limping llama; friendly frog,trust_competent_1,p0471,68
93,limping llama; friendly frog,trust_competent_1,p0477,68
94,limping llama; friendly frog,trust_competent_1,p0483,68
95,limping llama; friendly frog,trust_competent_1,p0486,75
96,limping llama; friendly frog,trust_competent_1,p0487,75
97,limping llama; friendly frog,trust_competent_1,p0489,75
98,limping llama; friendly frog,trust_competent_1,p0497,65
99,limping llama; friendly frog,trust_competent_1,p0502,68
100,limping llama; friendly frog,trust_competent_1,p0503,75
101,limping llama; friendly frog,trust_competent_1,p0506,68
102,limping llama; friendly frog,trust_competent_1,p0511,75
103,limping llama; friendly frog,trust_competent_1,p0523,72
104,limping llama; friendly frog,trust_competent_1,p0534,78
105,limping llama; friendly frog,trust_competent_1,p0536,68
106,limping llama; friendly frog,trust_competent_1,p0542,65
107,limping llama; friendly frog,trust_competent_1,p0547,75
108,limping llama; friendly frog,trust_competent_1,p0553,78
109,limping llama; friendly frog,trust_competent_1,p0559,75
110,limping llama; friendly frog,trust_competent_1,p0566,65
111,limping llama; friendly frog,trust_competent_1,p0568,68
112,limping llama; friendly frog,trust_competent_1,p0570,45
113,limping llama; friendly frog,trust_competent_1,p0573,68
114,limping llama; friendly frog,trust_competent_1,p0578,65
115,limping llama; friendly frog,trust_competent_1,p0594,65
116,limping llama; friendly frog,trust_competent_1,p0597,75
117,limping llama; friendly frog,trust_competent_1,p0601,65
118,limping llama; friendly frog,trust_competent_1,p0602,68
119,limping llama; friendly frog,trust_competent_1,p0605,68
120,limping llama; friendly frog,trust_competent_1,p0615,68
121,limping llama; friendly frog,trust_competent_1,p0620,78
122,limping llama; friendly frog,trust_competent_1,p0626,78
123,limping llama; friendly frog,trust_competent_1,p0629,78
124,limping llama; friendly frog,trust_competent_1,p0633,65
125,limping llama; friendly frog,trust_competent_1,p0638,78
126,limping llama; friendly frog,trust_competent_1,p0639,68
127,limping llama; friendly frog,trust_competent_1,p0640,68
128,limping llama; friendly frog,trust_competent_1,p0655,75
129,limping llama; friendly frog,trust_competent_1,p0656,78
130,limping llama; friendly frog,trust_competent_1,p0658,65
131,limping llama; friendly frog,trust_competent_1,p0661,65
132,limping llama; friendly frog,trust_competent_1,p0669,78
133,limping llama; friendly frog,trust_competent_1,p0670,65
134,limping llama; friendly frog,trust_competent_1,p0672,68
135,limping llama; friendly frog,trust_competent_1,p0674,78
136,limping llama; friendly frog,trust_competent_1,p0678,78
137,limping llama; friendly frog,trust_competent_1,p0683,72
138,limping llama; friendly frog,trust_competent_1,p0686,65
139,limping llama; friendly frog,trust_competent_1,p0687,78
140,limping llama; friendly frog,trust_competent_1,p0698,68
141,limping llama; friendly frog,trust_competent_1,p0700,68
142,limping llama; friendly frog,trust_competent_1,p0703,68
143,limping llama; friendly frog,trust_competent_1,p0718,68
144,limping llama; friendly frog,trust_competent_1,p0744,78
145,limping llama; friendly frog,trust_competent_1,p0745,65
146,limping llama; friendly frog,trust_competent_1,p0753,68
147,limping llama; friendly frog,trust_competent_1,p0770,75
148,limping llama; friendly frog,trust_competent_1,p0771,75
149,limping llama; friendly frog,trust_competent_1,p0777,75
150,limping llama; friendly frog,trust_competent_1,p0779,78
151,limping llama; friendly frog,trust_competent_1,p0780,68
152,limping llama; friendly frog,trust_competent_1,p0783,68
153,limping llama; friendly frog,trust_competent_1,p0785,65
154,limping llama; friendly frog,trust_competent_1,p0786,55
155,limping llama; friendly frog,trust_competent_1,p0794,55
156,limping llama; friendly frog,trust_competent_1,p0798,45
157,limping llama; friendly frog,trust_competent_1,p0800,78
158,limping llama; friendly frog,trust_competent_1,p0820,62
159,limping llama; friendly frog,trust_competent_1,p0841,65
160,limping llama; friendly frog,trust_competent_1,p0849,68
161,limping llama; friendly frog,trust_competent_1,p0862,78
162,limping llama; friendly frog,trust_competent_1,p0867,75
163,limping llama; friendly frog,trust_competent_1,p0869,68
164,limping llama; friendly frog,trust_competent_1,p0872,78
165,limping llama; friendly frog,trust_competent_1,p0880,68
166,limping llama; friendly frog,trust_competent_1,p0891,72
167,limping llama; friendly frog,trust_competent_1,p0916,78
168,limping llama; friendly frog,trust_competent_1,p0917,78
169,limping llama; friendly frog,trust_competent_1,p0919,78
170,limping llama; friendly frog,trust_competent_1,p0922,68
171,limping llama; friendly frog,trust_competent_1,p0925,68
172,limping llama; friendly frog,trust_competent_1,p0927,75
173,limping llama; friendly frog,trust_competent_1,p0929,68
174,limping llama; friendly frog,trust_competent_1,p0930,65
175,limping llama; friendly frog,trust_competent_1,p0931,65
176,limping llama; friendly frog,trust_competent_1,p0933,68
177,limping llama; friendly frog,trust_competent_1,p0934,68
178,limping llama; friendly frog,trust_competent_1,p0936,78
179,limping llama; friendly frog,trust_competent_1,p0938,78
180,limping llama; friendly frog,trust_competent_1,p0939,65
181,limping llama; friendly frog,trust_competent_1,p0946,65
182,limping llama; friendly frog,trust_competent_1,p0951,68
183,limping llama; friendly frog,trust_competent_1,p0956,68
184,limping llama; friendly frog,trust_competent_1,p0962,75
185,limping llama; friendly frog,trust_competent_1,p0963,78
186,limping llama; friendly frog,trust_competent_1,p0969,68
187,limping llama; friendly frog,trust_competent_1,p0972,68
188,limping llama; friendly frog,trust_competent_1,p0975,68
189,limping llama; friendly frog,trust_competent_1,p0985,65
190,limping llama; friendly frog,trust_competent_1,p0993,65
191,limping llama; friendly frog,trust_competent_1,p0996,65
192,limping llama; friendly frog,trust_competent_1,p1011,68
193,limping llama; friendly frog,trust_competent_1,p1017,65
194,limping llama; friendly frog,trust_competent_1,p1020,75
195,limping llama; friendly frog,trust_competent_1,p1022,78
196,limping llama; friendly frog,trust_competent_1,p1024,62
197,limping llama; friendly frog,trust_competent_1,p1027,78
198,limping llama; friendly frog,trust_competent_1,p1028,75
199,limping llama; friendly frog,trust_competent_1,p1029,55
200,limping llama; friendly frog,trust_competent_1,p1032,68
201,limping llama; friendly frog,trust_competent_1,p1040,72
202,limping llama; friendly frog,trust_competent_1,p1047,65
203,limping llama; friendly frog,trust_competent_1,p1048,65
204,limping llama; friendly frog,trust_competent_1,p1053,65
205,limping llama; friendly frog,trust_competent_1,p1057,68
206,limping llama; friendly frog,trust_competent_1,p1058,68
207,limping llama; friendly frog,trust_competent_1,p1063,65
208,limping llama; friendly frog,trust_competent_1,p1064,75
209,limping llama; friendly frog,trust_competent_1,p1065,68
210,limping llama; friendly frog,trust_competent_1,p1069,68
211,limping llama; friendly frog,trust_competent_1,p1072,78
212,limping llama; friendly frog,trust_competent_1,p1073,72
213,limping llama; friendly frog,trust_competent_1,p1075,75
214,limping llama; friendly frog,trust_competent_1,p1076,65
215,limping llama; friendly frog,trust_competent_1,p1083,68
216,limping llama; friendly frog,trust_competent_1,p1089,75
217,limping llama; friendly frog,trust_competent_1,p1093,78
218,limping llama; friendly frog,trust_competent_1,p1096,78
219,limping llama; friendly frog,trust_competent_1,p1100,65
220,limping llama; friendly frog,trust_competent_1,p1106,75
221,limping llama; friendly frog,trust_competent_1,p1107,65
222,limping llama; friendly frog,trust_competent_1,p1113,65
223,limping llama; friendly frog,trust_competent_1,p1117,45
224,limping llama; friendly frog,trust_competent_1,p1120,68
225,limping llama; friendly frog,trust_competent_1,p1134,65
226,limping llama; friendly frog,trust_competent_1,p1136,65
227,limping llama; friendly frog,trust_competent_1,p1138,78
228,limping llama; friendly frog,trust_competent_1,p1144,65
229,limping llama; friendly frog,trust_competent_1,p1145,78
230,limping llama; friendly frog,trust_competent_1,p1147,78
231,limping llama; friendly frog,trust_competent_1,p1148,78
232,limping llama; friendly frog,trust_competent_1,p1154,75
233,limping llama; friendly frog,trust_competent_1,p1159,68
234,limping llama; friendly frog,trust_competent_1,p1167,75
235,limping llama; friendly frog,trust_competent_1,p1175,75
236,limping llama; friendly frog,trust_competent_1,p1178,65
237,limping llama; friendly frog,trust_competent_1,p1184,68
238,limping llama; friendly frog,trust_competent_1,p1186,75
239,limping llama; friendly frog,trust_competent_1,p1196,65
240,limping llama; friendly frog,trust_competent_1,p1197,65
241,limping llama; friendly frog,trust_competent_1,p1203,72
242,limping llama; friendly frog,trust_competent_1,p1219,65
243,limping llama; friendly frog,trust_competent_1,p1225,65
244,limping llama; friendly frog,trust_competent_1,p1234,68
245,limping llama; friendly frog,trust_competent_1,p1242,68
246,limping llama; friendly frog,trust_competent_1,p1244,75
247,limping llama; friendly frog,trust_competent_1,p1249,68
248,limping llama; friendly frog,trust_competent_1,p1250,68
249,limping llama; friendly frog,trust_competent_1,p1256,68
250,limping llama; friendly frog,trust_competent_1,p1258,78
251,limping llama; friendly frog,trust_competent_1,p1260,65
252,limping llama; friendly frog,trust_competent_1,p1262,68
253,limping llama; friendly frog,trust_competent_1,p1264,68
254,limping llama; friendly frog,trust_competent_1,p1265,78
255,limping llama; friendly frog,trust_competent_1,p1269,68
256,limping llama; friendly frog,trust_competent_1,p1272,78
257,limping llama; friendly frog,trust_competent_1,p1278,75
258,limping llama; friendly frog,trust_competent_1,p1281,68
259,limping llama; friendly frog,trust_competent_1,p1292,68
260,limping llama; friendly frog,trust_competent_1,p1299,65
261,limping llama; friendly frog,trust_competent_1,p1312,65
262,limping llama; friendly frog,trust_competent_1,p1322,78
263,limping llama; friendly frog,trust_competent_1,p1326,68
264,limping llama; friendly frog,trust_competent_1,p1330,75
265,limping llama; friendly frog,trust_competent_1,p1335,78
266,limping llama; friendly frog,trust_competent_1,p1337,78
267,limping llama; friendly frog,trust_competent_1,p1340,75
268,limping llama; friendly frog,trust_competent_1,p1345,75
269,limping llama; friendly frog,trust_competent_1,p1351,65
270,limping llama; friendly frog,trust_competent_1,p1355,65
271,limping llama; friendly frog,trust_competent_1,p1362,65
272,limping llama; friendly frog,trust_competent_1,p1365,68
273,limping llama; friendly frog,trust_competent_1,p1366,68
274,limping llama; friendly frog,trust_competent_1,p1367,68
