,condition,outcome,persona,response
0,limping llama; friendly frog,gender,p0016,2
1,limping llama; friendly frog,gender,p0022,2
2,limping llama; friendly frog,gender,p0023,1
3,limping llama; friendly frog,gender,p0026,2
4,limping llama; friendly frog,gender,p0034,1
5,limping llama; friendly frog,gender,p0036,1
6,limping llama; friendly frog,gender,p0037,1
7,limping llama; friendly frog,gender,p0042,1
8,limping llama; friendly frog,gender,p0057,2
9,limping llama; friendly frog,gender,p0066,1
10,limping llama; friendly frog,gender,p0069,2
11,limping llama; friendly frog,gender,p0072,2
12,limping llama; friendly frog,gender,p0073,1
13,limping llama; friendly frog,gender,p0082,1
14,limping llama; friendly frog,gender,p0091,1
15,limping llama; friendly frog,gender,p0092,1
16,limping llama; friendly frog,gender,p0093,1
17,limping llama; friendly frog,gender,p0095,1
18,limping llama; friendly frog,gender,p0107,2
19,limping llama; friendly frog,gender,p0114,1
20,limping llama; friendly frog,gender,p0116,1
21,limping llama; friendly frog,gender,p0118,2
22,limping llama; friendly frog,gender,p0119,1
23,limping llama; friendly frog,gender,p0126,1
24,limping llama; friendly frog,gender,p0129,1
25,limping llama; friendly frog,gender,p0136,2
26,limping llama; friendly frog,gender,p0138,1
27,limping llama; friendly frog,gender,p0144,2
28,limping llama; friendly frog,gender,p0150,1
29,limping llama; friendly frog,gender,p0152,2
30,limping llama; friendly frog,gender,p0158,2
31,limping llama; friendly frog,gender,p0161,1
32,limping llama; friendly frog,gender,p0164,2
33,limping llama; friendly frog,gender,p0175,1
34,limping llama; friendly frog,gender,p0177,1
35,limping llama; friendly frog,gender,p0178,1
36,limping llama; friendly frog,gender,p0181,2
37,limping llama; friendly frog,gender,p0186,2
38,limping llama; friendly frog,gender,p0196,2
39,limping llama; friendly frog,gender,p0198,1
40,limping llama; friendly frog,gender,p0202,1
41,limping llama; friendly frog,gender,p0205,1
42,limping llama; friendly frog,gender,p0207,1
43,limping llama; friendly frog,gender,p0211,1
44,limping llama; friendly frog,gender,p0227,2
45,limping llama; friendly frog,gender,p0229,1
46,limping llama; friendly frog,gender,p0232,1
47,limping llama; friendly frog,gender,p0233,2
48,limping llama; friendly frog,gender,p0237,1
49,limping llama; friendly frog,gender,p0258,1
50,limping llama; friendly frog,gender,p0268,1
51,limping llama; friendly frog,gender,p0274,1
52,limping llama; friendly frog,gender,p0275,1
53,limping llama; friendly frog,gender,p0277,1
54,limping llama; friendly frog,gender,p0288,1
55,limping llama; friendly frog,gender,p0291,1
56,limping llama; friendly frog,gender,p0307,1
57,limping llama; friendly frog,gender,p0308,1
58,limping llama; friendly frog,gender,p0317,1
59,limping llama; friendly frog,gender,p0325,2
60,limping llama; friendly frog,gender,p0327,1
61,limping llama; friendly frog,gender,p0334,1
62,limping llama; friendly frog,gender,p0336,1
63,limping llama; friendly frog,gender,p0338,1
64,limping llama; friendly frog,gender,p0342,1
65,limping llama; friendly frog,gender,p0349,1
66,limping llama; friendly frog,gender,p0356,2
67,limping llama; friendly frog,gender,p0358,1
68,limping llama; friendly frog,gender,p0363,1
