,condition,outcome,persona,response
0,orchid orangutan; defiant dragonfly,trust_competent_1,p0016,65
1,orchid orangutan; defiant dragonfly,trust_competent_1,p0022,68
2,orchid orangutan; defiant dragonfly,trust_competent_1,p0023,78
3,orchid orangutan; defiant dragonfly,trust_competent_1,p0026,68
4,orchid orangutan; defiant dragonfly,trust_competent_1,p0034,62
5,orchid orangutan; defiant dragonfly,trust_competent_1,p0036,68
6,orchid orangutan; defiant dragonfly,trust_competent_1,p0037,68
7,orchid orangutan; defiant dragonfly,trust_competent_1,p0042,68
8,orchid orangutan; defiant dragonfly,trust_competent_1,p0057,62
9,orchid orangutan; defiant dragonfly,trust_competent_1,p0066,68
10,orchid orangutan; defiant dragonfly,trust_competent_1,p0069,45
11,orchid orangutan; defiant dragonfly,trust_competent_1,p0072,78
12,orchid orangutan; defiant dragonfly,trust_competent_1,p0073,68
13,orchid orangutan; defiant dragonfly,trust_competent_1,p0082,68
14,orchid orangutan; defiant dragonfly,trust_competent_1,p0091,75
15,orchid orangutan; defiant dragonfly,trust_competent_1,p0092,68
16,orchid orangutan; defiant dragonfly,trust_competent_1,p0093,75
17,orchid orangutan; defiant dragonfly,trust_competent_1,p0095,68
18,orchid orangutan; defiant dragonfly,trust_competent_1,p0107,55
19,orchid orangutan; defiant dragonfly,trust_competent_1,p0114,78
20,orchid orangutan; defiant dragonfly,trust_competent_1,p0116,62
21,orchid orangutan; defiant dragonfly,trust_competent_1,p0118,68
22,orchid orangutan; defiant dragonfly,trust_competent_1,p0119,78
23,orchid orangutan; defiant dragonfly,trust_competent_1,p0126,68
24,orchid orangutan; defiant dragonfly,trust_competent_1,p0129,78
25,orchid orangutan; defiant dragonfly,trust_competent_1,p0136,62
26,orchid orangutan; defiant dragonfly,trust_competent_1,p0138,62
27,orchid orangutan; defiant dragonfly,trust_competent_1,p0144,62
28,orchid orangutan; defiant dragonfly,trust_competent_1,p0150,62
29,orchid orangutan; defiant dragonfly,trust_competent_1,p0152,68
30,orchid orangutan; defiant dragonfly,trust_competent_1,p0158,45
31,orchid orangutan; defiant dragonfly,trust_competent_1,p0161,68
32,orchid orangutan; defiant dragonfly,trust_competent_1,p0164,62
33,orchid orangutan; defiant dragonfly,trust_competent_1,p0175,72
34,orchid orangutan; defiant dragonfly,trust_competent_1,p0177,68
35,orchid orangutan; defiant dragonfly,trust_competent_1,p0178,75
36,orchid orangutan; defiant dragonfly,trust_competent_1,p0181,45
37,orchid orangutan; defiant dragonfly,trust_competent_1,p0186,68
38,orchid orangutan; defiant dragonfly,trust_competent_1,p0196,68
39,orchid orangutan; defiant dragonfly,trust_competent_1,p0198,78
40,orchid orangutan; defiant dragonfly,trust_competent_1,p0202,78
41,orchid orangutan; defiant dragonfly,trust_competent_1,p0205,62
42,orchid orangutan; defiant dragonfly,trust_competent_1,p0207,45
43,orchid orangutan; defiant dragonfly,trust_competent_1,p0211,45
44,orchid orangutan; defiant dragonfly,trust_competent_1,p0227,78
45,orchid orangutan; defiant dragonfly,trust_competent_1,p0229,65
46,orchid orangutan; defiant dragonfly,trust_competent_1,p0232,75
47,orchid orangutan; defiant dragonfly,trust_competent_1,p0233,62
48,orchid orangutan; defiant dragonfly,trust_competent_1,p0237,78
49,orchid orangutan; defiant dragonfly,trust_competent_1,p0258,68
50,orchid orangutan; defiant dragonfly,trust_competent_1,p0268,45
51,orchid orangutan; defiant dragonfly,trust_competent_1,p0274,75
52,orchid orangutan; defiant dragonfly,trust_competent_1,p0275,35
53,orchid orangutan; defiant dragonfly,trust_competent_1,p0277,45
54,orchid orangutan; defiant dragonfly,trust_competent_1,p0288,78
55,orchid orangutan; defiant dragonfly,trust_competent_1,p0291,75
56,orchid orangutan; defiant dragonfly,trust_competent_1,p0307,62
57,orchid orangutan; defiant dragonfly,trust_competent_1,p0308,68
58,orchid orangutan; defiant dragonfly,trust_competent_1,p0317,45
59,orchid orangutan; defiant dragonfly,trust_competent_1,p0325,78
60,orchid orangutan; defiant dragonfly,trust_competent_1,p0327,78
61,orchid orangutan; defiant dragonfly,trust_competent_1,p0334,78
62,orchid orangutan; defiant dragonfly,trust_competent_1,p0336,72
63,orchid orangutan; defiant dragonfly,trust_competent_1,p0338,45
64,orchid orangutan; defiant dragonfly,trust_competent_1,p0342,72
