,condition,outcome,persona,response
0,orchid orangutan; defiant dragonfly,gender,p0016,2
1,orchid orangutan; defiant dragonfly,gender,p0022,2
2,orchid orangutan; defiant dragonfly,gender,p0023,1
3,orchid orangutan; defiant dragonfly,gender,p0026,2
4,orchid orangutan; defiant dragonfly,gender,p0034,1
5,orchid orangutan; defiant dragonfly,gender,p0036,1
6,orchid orangutan; defiant dragonfly,gender,p0037,1
7,orchid orangutan; defiant dragonfly,gender,p0042,1
8,orchid orangutan; defiant dragonfly,gender,p0057,2
9,orchid orangutan; defiant dragonfly,gender,p0066,1
10,orchid orangutan; defiant dragonfly,gender,p0069,2
11,orchid orangutan; defiant dragonfly,gender,p0072,2
12,orchid orangutan; defiant dragonfly,gender,p0073,1
13,orchid orangutan; defiant dragonfly,gender,p0082,1
14,orchid orangutan; defiant dragonfly,gender,p0091,1
15,orchid orangutan; defiant dragonfly,gender,p0092,1
16,orchid orangutan; defiant dragonfly,gender,p0093,1
17,orchid orangutan; defiant dragonfly,gender,p0095,1
18,orchid orangutan; defiant dragonfly,gender,p0107,2
19,orchid orangutan; defiant dragonfly,gender,p0114,1
20,orchid orangutan; defiant dragonfly,gender,p0116,1
21,orchid orangutan; defiant dragonfly,gender,p0118,2
22,orchid orangutan; defiant dragonfly,gender,p0119,1
23,orchid orangutan; defiant dragonfly,gender,p0126,1
24,orchid orangutan; defiant dragonfly,gender,p0129,1
25,orchid orangutan; defiant dragonfly,gender,p0136,2
26,orchid orangutan; defiant dragonfly,gender,p0138,1
27,orchid orangutan; defiant dragonfly,gender,p0144,2
28,orchid orangutan; defiant dragonfly,gender,p0150,1
29,orchid orangutan; defiant dragonfly,gender,p0152,2
30,orchid orangutan; defiant dragonfly,gender,p0158,2
31,orchid orangutan; defiant dragonfly,gender,p0161,1
32,orchid orangutan; defiant dragonfly,gender,p0164,2
33,orchid orangutan; defiant dragonfly,gender,p0175,1
34,orchid orangutan; defiant dragonfly,gender,p0177,1
35,orchid orangutan; defiant dragonfly,gender,p0178,1
36,orchid orangutan; defiant dragonfly,gender,p0181,2
37,orchid orangutan; defiant dragonfly,gender,p0186,2
38,orchid orangutan; defiant dragonfly,gender,p0196,2
39,orchid orangutan; defiant dragonfly,gender,p0198,1
40,orchid orangutan; defiant dragonfly,gender,p0202,1
41,orchid orangutan; defiant dragonfly,gender,p0205,1
42,orchid orangutan; defiant dragonfly,gender,p0207,1
43,orchid orangutan; defiant dragonfly,gender,p0211,1
44,orchid orangutan; defiant dragonfly,gender,p0227,2
45,orchid orangutan; defiant dragonfly,gender,p0229,1
46,orchid orangutan; defiant dragonfly,gender,p0232,1
47,orchid orangutan; defiant dragonfly,gender,p0233,2
48,orchid orangutan; defiant dragonfly,gender,p0237,1
49,orchid orangutan; defiant dragonfly,gender,p0258,1
50,orchid orangutan; defiant dragonfly,gender,p0268,1
51,orchid orangutan; defiant dragonfly,gender,p0274,1
52,orchid orangutan; defiant dragonfly,gender,p0275,1
53,orchid orangutan; defiant dragonfly,gender,p0277,1
54,orchid orangutan; defiant dragonfly,gender,p0288,1
55,orchid orangutan; defiant dragonfly,gender,p0291,1
56,orchid orangutan; defiant dragonfly,gender,p0307,1
57,orchid orangutan; defiant dragonfly,gender,p0308,1
58,orchid orangutan; defiant dragonfly,gender,p0317,1
59,orchid orangutan; defiant dragonfly,gender,p0325,2
60,orchid orangutan; defiant dragonfly,gender,p0327,1
61,orchid orangutan; defiant dragonfly,gender,p0334,1
62,orchid orangutan; defiant dragonfly,gender,p0336,1
63,orchid orangutan; defiant dragonfly,gender,p0338,1
64,orchid orangutan; defiant dragonfly,gender,p0342,1
65,orchid orangutan; defiant dragonfly,gender,p0349,1
66,orchid orangutan; defiant dragonfly,gender,p0356,2
67,orchid orangutan; defiant dragonfly,gender,p0358,1
68,orchid orangutan; defiant dragonfly,gender,p0363,1
69,orchid orangutan; defiant dragonfly,gender,p0364,1
70,orchid orangutan; defiant dragonfly,gender,p0369,2
71,orchid orangutan; defiant dragonfly,gender,p0370,2
72,orchid orangutan; defiant dragonfly,gender,p0371,1
73,orchid orangutan; defiant dragonfly,gender,p0379,1
74,orchid orangutan; defiant dragonfly,gender,p0386,1
75,orchid orangutan; defiant dragonfly,gender,p0396,2
76,orchid orangutan; defiant dragonfly,gender,p0403,2
77,orchid orangutan; defiant dragonfly,gender,p0405,2
78,orchid orangutan; defiant dragonfly,gender,p0412,1
79,orchid orangutan; defiant dragonfly,gender,p0415,1
80,orchid orangutan; defiant dragonfly,gender,p0416,1
81,orchid orangutan; defiant dragonfly,gender,p0417,1
82,orchid orangutan; defiant dragonfly,gender,p0418,2
83,orchid orangutan; defiant dragonfly,gender,p0430,1
84,orchid orangutan; defiant dragonfly,gender,p0431,2
85,orchid orangutan; defiant dragonfly,gender,p0434,2
86,orchid orangutan; defiant dragonfly,gender,p0438,2
87,orchid orangutan; defiant dragonfly,gender,p0441,2
88,orchid orangutan; defiant dragonfly,gender,p0442,2
89,orchid orangutan; defiant dragonfly,gender,p0449,1
90,orchid orangutan; defiant dragonfly,gender,p0450,2
91,orchid orangutan; defiant dragonfly,gender,p0465,1
92,orchid orangutan; defiant dragonfly,gender,p0471,2
93,orchid orangutan; defiant dragonfly,gender,p0477,2
94,orchid orangutan; defiant dragonfly,gender,p0483,2
95,orchid orangutan; defiant dragonfly,gender,p0486,1
96,orchid orangutan; defiant dragonfly,gender,p0487,1
97,orchid orangutan; defiant dragonfly,gender,p0489,1
98,orchid orangutan; defiant dragonfly,gender,p0497,1
99,orchid orangutan; defiant dragonfly,gender,p0502,1
100,orchid orangutan; defiant dragonfly,gender,p0503,2
101,orchid orangutan; defiant dragonfly,gender,p0506,1
102,orchid orangutan; defiant dragonfly,gender,p0511,1
103,orchid orangutan; defiant dragonfly,gender,p0523,2
104,orchid orangutan; defiant dragonfly,gender,p0534,1
105,orchid orangutan; defiant dragonfly,gender,p0536,1
106,orchid orangutan; defiant dragonfly,gender,p0542,1
107,orchid orangutan; defiant dragonfly,gender,p0547,2
108,orchid orangutan; defiant dragonfly,gender,p0553,1
109,orchid orangutan; defiant dragonfly,gender,p0559,2
110,orchid orangutan; defiant dragonfly,gender,p0566,1
111,orchid orangutan; defiant dragonfly,gender,p0568,2
112,orchid orangutan; defiant dragonfly,gender,p0570,1
113,orchid orangutan; defiant dragonfly,gender,p0573,2
114,orchid orangutan; defiant dragonfly,gender,p0578,1
115,orchid orangutan; defiant dragonfly,gender,p0594,1
116,orchid orangutan; defiant dragonfly,gender,p0597,1
117,orchid orangutan; defiant dragonfly,gender,p0601,1
118,orchid orangutan; defiant dragonfly,gender,p0602,2
