,condition,outcome,persona,response
0,perfect prawn,trust_competent_1,p0016,78
1,perfect prawn,trust_competent_1,p0022,78
2,perfect prawn,trust_competent_1,p0023,78
3,perfect prawn,trust_competent_1,p0026,78
4,perfect prawn,trust_competent_1,p0034,68
5,perfect prawn,trust_competent_1,p0036,68
6,perfect prawn,trust_competent_1,p0037,78
7,perfect prawn,trust_competent_1,p0042,75
8,perfect prawn,trust_competent_1,p0057,65
9,perfect prawn,trust_competent_1,p0066,78
10,perfect prawn,trust_competent_1,p0069,45
11,perfect prawn,trust_competent_1,p0072,78
12,perfect prawn,trust_competent_1,p0073,68
13,perfect prawn,trust_competent_1,p0082,75
14,perfect prawn,trust_competent_1,p0091,75
15,perfect prawn,trust_competent_1,p0092,68
16,perfect prawn,trust_competent_1,p0093,75
17,perfect prawn,trust_competent_1,p0095,75
18,perfect prawn,trust_competent_1,p0107,68
19,perfect prawn,trust_competent_1,p0114,78
20,perfect prawn,trust_competent_1,p0116,62
21,perfect prawn,trust_competent_1,p0118,68
22,perfect prawn,trust_competent_1,p0119,78
23,perfect prawn,trust_competent_1,p0126,75
24,perfect prawn,trust_competent_1,p0129,78
25,perfect prawn,trust_competent_1,p0136,68
26,perfect prawn,trust_competent_1,p0138,65
27,perfect prawn,trust_competent_1,p0144,68
28,perfect prawn,trust_competent_1,p0150,62
29,perfect prawn,trust_competent_1,p0152,68
30,perfect prawn,trust_competent_1,p0158,55
31,perfect prawn,trust_competent_1,p0161,75
32,perfect prawn,trust_competent_1,p0164,65
33,perfect prawn,trust_competent_1,p0175,78
34,perfect prawn,trust_competent_1,p0177,75
35,perfect prawn,trust_competent_1,p0178,78
36,perfect prawn,trust_competent_1,p0181,45
37,perfect prawn,trust_competent_1,p0186,68
38,perfect prawn,trust_competent_1,p0196,68
39,perfect prawn,trust_competent_1,p0198,78
40,perfect prawn,trust_competent_1,p0202,78
41,perfect prawn,trust_competent_1,p0205,65
42,perfect prawn,trust_competent_1,p0207,55
43,perfect prawn,trust_competent_1,p0211,65
44,perfect prawn,trust_competent_1,p0227,78
45,perfect prawn,trust_competent_1,p0229,68
46,perfect prawn,trust_competent_1,p0232,75
47,perfect prawn,trust_competent_1,p0233,65
48,perfect prawn,trust_competent_1,p0237,78
49,perfect prawn,trust_competent_1,p0258,75
50,perfect prawn,trust_competent_1,p0268,45
51,perfect prawn,trust_competent_1,p0274,75
52,perfect prawn,trust_competent_1,p0275,45
53,perfect prawn,trust_competent_1,p0277,62
54,perfect prawn,trust_competent_1,p0288,75
55,perfect prawn,trust_competent_1,p0291,75
56,perfect prawn,trust_competent_1,p0307,68
57,perfect prawn,trust_competent_1,p0308,75
58,perfect prawn,trust_competent_1,p0317,45
59,perfect prawn,trust_competent_1,p0325,78
60,perfect prawn,trust_competent_1,p0327,78
61,perfect prawn,trust_competent_1,p0334,78
62,perfect prawn,trust_competent_1,p0336,75
63,perfect prawn,trust_competent_1,p0338,45
64,perfect prawn,trust_competent_1,p0342,75
65,perfect prawn,trust_competent_1,p0349,65
66,perfect prawn,trust_competent_1,p0356,68
67,perfect prawn,trust_competent_1,p0358,75
68,perfect prawn,trust_competent_1,p0363,78
69,perfect prawn,trust_competent_1,p0364,78
70,perfect prawn,trust_competent_1,p0369,78
71,perfect prawn,trust_competent_1,p0370,62
72,perfect prawn,trust_competent_1,p0371,68
73,perfect prawn,trust_competent_1,p0379,68
74,perfect prawn,trust_competent_1,p0386,78
75,perfect prawn,trust_competent_1,p0396,78
76,perfect prawn,trust_competent_1,p0403,68
77,perfect prawn,trust_competent_1,p0405,75
78,perfect prawn,trust_competent_1,p0412,78
79,perfect prawn,trust_competent_1,p0415,45
80,perfect prawn,trust_competent_1,p0416,72
81,perfect prawn,trust_competent_1,p0417,75
82,perfect prawn,trust_competent_1,p0418,68
83,perfect prawn,trust_competent_1,p0430,78
84,perfect prawn,trust_competent_1,p0431,78
85,perfect prawn,trust_competent_1,p0434,35
86,perfect prawn,trust_competent_1,p0438,75
87,perfect prawn,trust_competent_1,p0441,78
88,perfect prawn,trust_competent_1,p0442,45
89,perfect prawn,trust_competent_1,p0449,65
90,perfect prawn,trust_competent_1,p0450,78
91,perfect prawn,trust_competent_1,p0465,62
92,perfect prawn,trust_competent_1,p0471,78
93,perfect prawn,trust_competent_1,p0477,68
94,perfect prawn,trust_competent_1,p0483,72
95,perfect prawn,trust_competent_1,p0486,78
96,perfect prawn,trust_competent_1,p0487,75
97,perfect prawn,trust_competent_1,p0489,75
98,perfect prawn,trust_competent_1,p0497,65
99,perfect prawn,trust_competent_1,p0502,68
100,perfect prawn,trust_competent_1,p0503,78
101,perfect prawn,trust_competent_1,p0506,68
102,perfect prawn,trust_competent_1,p0511,78
103,perfect prawn,trust_competent_1,p0523,72
104,perfect prawn,trust_competent_1,p0534,78
105,perfect prawn,trust_competent_1,p0536,72
106,perfect prawn,trust_competent_1,p0542,45
107,perfect prawn,trust_competent_1,p0547,75
108,perfect prawn,trust_competent_1,p0553,78
109,perfect prawn,trust_competent_1,p0559,75
110,perfect prawn,trust_competent_1,p0566,72
111,perfect prawn,trust_competent_1,p0568,68
112,perfect prawn,trust_competent_1,p0570,45
113,perfect prawn,trust_competent_1,p0573,68
114,perfect prawn,trust_competent_1,p0578,68
115,perfect prawn,trust_competent_1,p0594,55
116,perfect prawn,trust_competent_1,p0597,75
117,perfect prawn,trust_competent_1,p0601,75
118,perfect prawn,trust_competent_1,p0602,65
119,perfect prawn,trust_competent_1,p0605,68
120,perfect prawn,trust_competent_1,p0615,68
121,perfect prawn,trust_competent_1,p0620,75
122,perfect prawn,trust_competent_1,p0626,78
123,perfect prawn,trust_competent_1,p0629,78
124,perfect prawn,trust_competent_1,p0633,68
125,perfect prawn,trust_competent_1,p0638,78
126,perfect prawn,trust_competent_1,p0639,68
127,perfect prawn,trust_competent_1,p0640,68
128,perfect prawn,trust_competent_1,p0655,75
129,perfect prawn,trust_competent_1,p0656,78
130,perfect prawn,trust_competent_1,p0658,65
131,perfect prawn,trust_competent_1,p0661,65
132,perfect prawn,trust_competent_1,p0669,78
133,perfect prawn,trust_competent_1,p0670,62
134,perfect prawn,trust_competent_1,p0672,68
135,perfect prawn,trust_competent_1,p0674,78
136,perfect prawn,trust_competent_1,p0678,78
137,perfect prawn,trust_competent_1,p0683,75
138,perfect prawn,trust_competent_1,p0686,65
139,perfect prawn,trust_competent_1,p0687,75
140,perfect prawn,trust_competent_1,p0698,68
141,perfect prawn,trust_competent_1,p0700,68
142,perfect prawn,trust_competent_1,p0703,65
143,perfect prawn,trust_competent_1,p0718,68
144,perfect prawn,trust_competent_1,p0744,78
145,perfect prawn,trust_competent_1,p0745,75
146,perfect prawn,trust_competent_1,p0753,62
147,perfect prawn,trust_competent_1,p0770,78
148,perfect prawn,trust_competent_1,p0771,75
149,perfect prawn,trust_competent_1,p0777,78
150,perfect prawn,trust_competent_1,p0779,78
151,perfect prawn,trust_competent_1,p0780,68
152,perfect prawn,trust_competent_1,p0783,65
153,perfect prawn,trust_competent_1,p0785,68
154,perfect prawn,trust_competent_1,p0786,55
155,perfect prawn,trust_competent_1,p0794,35
156,perfect prawn,trust_competent_1,p0798,45
157,perfect prawn,trust_competent_1,p0800,78
158,perfect prawn,trust_competent_1,p0820,55
159,perfect prawn,trust_competent_1,p0841,65
160,perfect prawn,trust_competent_1,p0849,68
161,perfect prawn,trust_competent_1,p0862,78
162,perfect prawn,trust_competent_1,p0867,75
163,perfect prawn,trust_competent_1,p0869,78
164,perfect prawn,trust_competent_1,p0872,75
165,perfect prawn,trust_competent_1,p0880,75
166,perfect prawn,trust_competent_1,p0891,68
167,perfect prawn,trust_competent_1,p0916,78
168,perfect prawn,trust_competent_1,p0917,78
169,perfect prawn,trust_competent_1,p0919,78
170,perfect prawn,trust_competent_1,p0922,65
171,perfect prawn,trust_competent_1,p0925,68
172,perfect prawn,trust_competent_1,p0927,75
173,perfect prawn,trust_competent_1,p0929,72
174,perfect prawn,trust_competent_1,p0930,65
175,perfect prawn,trust_competent_1,p0931,45
176,perfect prawn,trust_competent_1,p0933,68
177,perfect prawn,trust_competent_1,p0934,68
178,perfect prawn,trust_competent_1,p0936,75
179,perfect prawn,trust_competent_1,p0938,78
180,perfect prawn,trust_competent_1,p0939,68
181,perfect prawn,trust_competent_1,p0946,68
182,perfect prawn,trust_competent_1,p0951,68
183,perfect prawn,trust_competent_1,p0956,75
184,perfect prawn,trust_competent_1,p0962,75
185,perfect prawn,trust_competent_1,p0963,78
186,perfect prawn,trust_competent_1,p0969,68
187,perfect prawn,trust_competent_1,p0972,68
188,perfect prawn,trust_competent_1,p0975,65
189,perfect prawn,trust_competent_1,p0985,45
190,perfect prawn,trust_competent_1,p0993,75
191,perfect prawn,trust_competent_1,p0996,65
192,perfect prawn,trust_competent_1,p1011,68
193,perfect prawn,trust_competent_1,p1017,45
194,perfect prawn,trust_competent_1,p1020,68
195,perfect prawn,trust_competent_1,p1022,78
196,perfect prawn,trust_competent_1,p1024,45
197,perfect prawn,trust_competent_1,p1027,78
198,perfect prawn,trust_competent_1,p1028,78
199,perfect prawn,trust_competent_1,p1029,45
200,perfect prawn,trust_competent_1,p1032,68
201,perfect prawn,trust_competent_1,p1040,75
202,perfect prawn,trust_competent_1,p1047,65
203,perfect prawn,trust_competent_1,p1048,65
204,perfect prawn,trust_competent_1,p1053,68
205,perfect prawn,trust_competent_1,p1057,68
206,perfect prawn,trust_competent_1,p1058,68
207,perfect prawn,trust_competent_1,p1063,45
