,condition,outcome,persona,response
0,periwinkle partridge,trust_competent_1,p0016,78
1,periwinkle partridge,trust_competent_1,p0022,78
2,periwinkle partridge,trust_competent_1,p0023,75
3,periwinkle partridge,trust_competent_1,p0026,75
4,periwinkle partridge,trust_competent_1,p0034,68
5,periwinkle partridge,trust_competent_1,p0036,68
6,periwinkle partridge,trust_competent_1,p0037,72
7,periwinkle partridge,trust_competent_1,p0042,78
8,periwinkle partridge,trust_competent_1,p0057,72
9,periwinkle partridge,trust_competent_1,p0066,78
10,periwinkle partridge,trust_competent_1,p0069,65
11,periwinkle partridge,trust_competent_1,p0072,85
12,periwinkle partridge,trust_competent_1,p0073,72
13,periwinkle partridge,trust_competent_1,p0082,78
14,periwinkle partridge,trust_competent_1,p0091,75
15,periwinkle partridge,trust_competent_1,p0092,72
16,periwinkle partridge,trust_competent_1,p0093,75
17,periwinkle partridge,trust_competent_1,p0095,75
18,periwinkle partridge,trust_competent_1,p0107,68
19,periwinkle partridge,trust_competent_1,p0114,78
20,periwinkle partridge,trust_competent_1,p0116,65
21,periwinkle partridge,trust_competent_1,p0118,65
22,periwinkle partridge,trust_competent_1,p0119,78
23,periwinkle partridge,trust_competent_1,p0126,75
24,periwinkle partridge,trust_competent_1,p0129,78
25,periwinkle partridge,trust_competent_1,p0136,68
26,periwinkle partridge,trust_competent_1,p0138,65
27,periwinkle partridge,trust_competent_1,p0144,65
28,periwinkle partridge,trust_competent_1,p0150,68
29,periwinkle partridge,trust_competent_1,p0152,68
30,periwinkle partridge,trust_competent_1,p0158,65
31,periwinkle partridge,trust_competent_1,p0161,78
32,periwinkle partridge,trust_competent_1,p0164,65
33,periwinkle partridge,trust_competent_1,p0175,75
34,periwinkle partridge,trust_competent_1,p0177,75
35,periwinkle partridge,trust_competent_1,p0178,78
36,periwinkle partridge,trust_competent_1,p0181,55
37,periwinkle partridge,trust_competent_1,p0186,68
38,periwinkle partridge,trust_competent_1,p0196,75
39,periwinkle partridge,trust_competent_1,p0198,78
40,periwinkle partridge,trust_competent_1,p0202,78
41,periwinkle partridge,trust_competent_1,p0205,68
42,periwinkle partridge,trust_competent_1,p0207,65
43,periwinkle partridge,trust_competent_1,p0211,65
44,periwinkle partridge,trust_competent_1,p0227,78
45,periwinkle partridge,trust_competent_1,p0229,72
46,periwinkle partridge,trust_competent_1,p0232,75
47,periwinkle partridge,trust_competent_1,p0233,72
48,periwinkle partridge,trust_competent_1,p0237,78
49,periwinkle partridge,trust_competent_1,p0258,68
50,periwinkle partridge,trust_competent_1,p0268,45
51,periwinkle partridge,trust_competent_1,p0274,78
52,periwinkle partridge,trust_competent_1,p0275,45
53,periwinkle partridge,trust_competent_1,p0277,68
54,periwinkle partridge,trust_competent_1,p0288,78
