,condition,outcome,persona,response
0,periwinkle partridge,gender,p0016,2
1,periwinkle partridge,gender,p0022,2
2,periwinkle partridge,gender,p0023,1
3,periwinkle partridge,gender,p0026,2
4,periwinkle partridge,gender,p0034,1
5,periwinkle partridge,gender,p0036,1
6,periwinkle partridge,gender,p0037,1
7,periwinkle partridge,gender,p0042,1
8,periwinkle partridge,gender,p0057,2
9,periwinkle partridge,gender,p0066,1
10,periwinkle partridge,gender,p0069,2
11,periwinkle partridge,gender,p0072,2
12,periwinkle partridge,gender,p0073,1
13,periwinkle partridge,gender,p0082,1
14,periwinkle partridge,gender,p0091,1
15,periwinkle partridge,gender,p0092,1
16,periwinkle partridge,gender,p0093,1
17,periwinkle partridge,gender,p0095,1
18,periwinkle partridge,gender,p0107,2
19,periwinkle partridge,gender,p0114,1
20,periwinkle partridge,gender,p0116,1
21,periwinkle partridge,gender,p0118,2
22,periwinkle partridge,gender,p0119,1
23,periwinkle partridge,gender,p0126,1
24,periwinkle partridge,gender,p0129,1
25,periwinkle partridge,gender,p0136,2
26,periwinkle partridge,gender,p0138,1
27,periwinkle partridge,gender,p0144,2
28,periwinkle partridge,gender,p0150,1
29,periwinkle partridge,gender,p0152,2
30,periwinkle partridge,gender,p0158,2
31,periwinkle partridge,gender,p0161,1
32,periwinkle partridge,gender,p0164,2
33,periwinkle partridge,gender,p0175,1
34,periwinkle partridge,gender,p0177,1
35,periwinkle partridge,gender,p0178,1
36,periwinkle partridge,gender,p0181,2
37,periwinkle partridge,gender,p0186,2
38,periwinkle partridge,gender,p0196,2
39,periwinkle partridge,gender,p0198,1
40,periwinkle partridge,gender,p0202,1
41,periwinkle partridge,gender,p0205,1
42,periwinkle partridge,gender,p0207,1
43,periwinkle partridge,gender,p0211,1
44,periwinkle partridge,gender,p0227,2
45,periwinkle partridge,gender,p0229,1
46,periwinkle partridge,gender,p0232,1
47,periwinkle partridge,gender,p0233,2
48,periwinkle partridge,gender,p0237,1
49,periwinkle partridge,gender,p0258,1
50,periwinkle partridge,gender,p0268,1
51,periwinkle partridge,gender,p0274,1
52,periwinkle partridge,gender,p0275,1
53,periwinkle partridge,gender,p0277,1
54,periwinkle partridge,gender,p0288,1
55,periwinkle partridge,gender,p0291,1
56,periwinkle partridge,gender,p0307,1
57,periwinkle partridge,gender,p0308,1
58,periwinkle partridge,gender,p0317,1
59,periwinkle partridge,gender,p0325,2
60,periwinkle partridge,gender,p0327,1
61,periwinkle partridge,gender,p0334,1
62,periwinkle partridge,gender,p0336,1
63,periwinkle partridge,gender,p0338,1
64,periwinkle partridge,gender,p0342,1
65,periwinkle partridge,gender,p0349,1
66,periwinkle partridge,gender,p0356,2
67,periwinkle partridge,gender,p0358,1
68,periwinkle partridge,gender,p0363,1
69,periwinkle partridge,gender,p0364,1
70,periwinkle partridge,gender,p0369,2
71,periwinkle partridge,gender,p0370,2
72,periwinkle partridge,gender,p0371,1
73,periwinkle partridge,gender,p0379,1
74,periwinkle partridge,gender,p0386,1
75,periwinkle partridge,gender,p0396,2
76,periwinkle partridge,gender,p0403,2
77,periwinkle partridge,gender,p0405,2
78,periwinkle partridge,gender,p0412,1
79,periwinkle partridge,gender,p0415,1
80,periwinkle partridge,gender,p0416,1
81,periwinkle partridge,gender,p0417,1
82,periwinkle partridge,gender,p0418,2
83,periwinkle partridge,gender,p0430,1
84,periwinkle partridge,gender,p0431,2
85,periwinkle partridge,gender,p0434,2
86,periwinkle partridge,gender,p0438,2
87,periwinkle partridge,gender,p0441,2
88,periwinkle partridge,gender,p0442,2
89,periwinkle partridge,gender,p0449,1
90,periwinkle partridge,gender,p0450,2
91,periwinkle partridge,gender,p0465,1
92,periwinkle partridge,gender,p0471,2
93,periwinkle partridge,gender,p0477,2
94,periwinkle partridge,gender,p0483,2
95,periwinkle partridge,gender,p0486,1
96,periwinkle partridge,gender,p0487,1
97,periwinkle partridge,gender,p0489,1
98,periwinkle partridge,gender,p0497,1
99,periwinkle partridge,gender,p0502,1
100,periwinkle partridge,gender,p0503,2
101,periwinkle partridge,gender,p0506,1
102,periwinkle partridge,gender,p0511,1
103,periwinkle partridge,gender,p0523,2
104,periwinkle partridge,gender,p0534,1
105,periwinkle partridge,gender,p0536,1
106,periwinkle partridge,gender,p0542,1
107,periwinkle partridge,gender,p0547,2
108,periwinkle partridge,gender,p0553,1
109,periwinkle partridge,gender,p0559,2
110,periwinkle partridge,gender,p0566,1
111,periwinkle partridge,gender,p0568,2
112,periwinkle partridge,gender,p0570,1
113,periwinkle partridge,gender,p0573,2
114,periwinkle partridge,gender,p0578,1
115,periwinkle partridge,gender,p0594,1
116,periwinkle partridge,gender,p0597,1
117,periwinkle partridge,gender,p0601,1
118,periwinkle partridge,gender,p0602,2
119,periwinkle partridge,gender,p0605,1
120,periwinkle partridge,gender,p0615,1
121,periwinkle partridge,gender,p0620,1
122,periwinkle partridge,gender,p0626,2
123,periwinkle partridge,gender,p0629,2
124,periwinkle partridge,gender,p0633,2
125,periwinkle partridge,gender,p0638,2
126,periwinkle partridge,gender,p0639,1
127,periwinkle partridge,gender,p0640,2
128,periwinkle partridge,gender,p0655,2
129,periwinkle partridge,gender,p0656,1
130,periwinkle partridge,gender,p0658,1
131,periwinkle partridge,gender,p0661,1
132,periwinkle partridge,gender,p0669,1
133,periwinkle partridge,gender,p0670,2
134,periwinkle partridge,gender,p0672,2
135,periwinkle partridge,gender,p0674,1
136,periwinkle partridge,gender,p0678,1
137,periwinkle partridge,gender,p0683,2
138,periwinkle partridge,gender,p0686,1
139,periwinkle partridge,gender,p0687,1
140,periwinkle partridge,gender,p0698,2
141,periwinkle partridge,gender,p0700,1
142,periwinkle partridge,gender,p0703,1
143,periwinkle partridge,gender,p0718,1
144,periwinkle partridge,gender,p0744,2
145,periwinkle partridge,gender,p0745,1
146,periwinkle partridge,gender,p0753,2
147,periwinkle partridge,gender,p0770,1
148,periwinkle partridge,gender,p0771,1
149,periwinkle partridge,gender,p0777,1
150,periwinkle partridge,gender,p0779,1
151,periwinkle partridge,gender,p0780,2
152,periwinkle partridge,gender,p0783,1
153,periwinkle partridge,gender,p0785,2
154,periwinkle partridge,gender,p0786,2
155,periwinkle partridge,gender,p0794,1
156,periwinkle partridge,gender,p0798,1
157,periwinkle partridge,gender,p0800,1
158,periwinkle partridge,gender,p0820,2
159,periwinkle partridge,gender,p0841,2
160,periwinkle partridge,gender,p0849,1
161,periwinkle partridge,gender,p0862,1
162,periwinkle partridge,gender,p0867,2
163,periwinkle partridge,gender,p0869,1
164,periwinkle partridge,gender,p0872,1
165,periwinkle partridge,gender,p0880,2
166,periwinkle partridge,gender,p0891,1
167,periwinkle partridge,gender,p0916,2
168,periwinkle partridge,gender,p0917,2
169,periwinkle partridge,gender,p0919,2
170,periwinkle partridge,gender,p0922,2
171,periwinkle partridge,gender,p0925,2
172,periwinkle partridge,gender,p0927,1
173,periwinkle partridge,gender,p0929,2
174,periwinkle partridge,gender,p0930,1
175,periwinkle partridge,gender,p0931,2
176,periwinkle partridge,gender,p0933,2
177,periwinkle partridge,gender,p0934,2
