,condition,outcome,persona,response
0,phony parrotfish,trust_competent_1,p0016,65
1,phony parrotfish,trust_competent_1,p0022,65
2,phony parrotfish,trust_competent_1,p0023,68
3,phony parrotfish,trust_competent_1,p0026,68
4,phony parrotfish,trust_competent_1,p0034,62
5,phony parrotfish,trust_competent_1,p0036,65
6,phony parrotfish,trust_competent_1,p0037,68
7,phony parrotfish,trust_competent_1,p0042,65
8,phony parrotfish,trust_competent_1,p0057,68
9,phony parrotfish,trust_competent_1,p0066,65
10,phony parrotfish,trust_competent_1,p0069,65
11,phony parrotfish,trust_competent_1,p0072,65
12,phony parrotfish,trust_competent_1,p0073,68
13,phony parrotfish,trust_competent_1,p0082,65
14,phony parrotfish,trust_competent_1,p0091,65
15,phony parrotfish,trust_competent_1,p0092,65
16,phony parrotfish,trust_competent_1,p0093,68
17,phony parrotfish,trust_competent_1,p0095,68
18,phony parrotfish,trust_competent_1,p0107,62
19,phony parrotfish,trust_competent_1,p0114,78
20,phony parrotfish,trust_competent_1,p0116,62
21,phony parrotfish,trust_competent_1,p0118,55
22,phony parrotfish,trust_competent_1,p0119,65
23,phony parrotfish,trust_competent_1,p0126,68
24,phony parrotfish,trust_competent_1,p0129,75
25,phony parrotfish,trust_competent_1,p0136,65
26,phony parrotfish,trust_competent_1,p0138,65
27,phony parrotfish,trust_competent_1,p0144,65
28,phony parrotfish,trust_competent_1,p0150,65
29,phony parrotfish,trust_competent_1,p0152,62
30,phony parrotfish,trust_competent_1,p0158,62
31,phony parrotfish,trust_competent_1,p0161,65
32,phony parrotfish,trust_competent_1,p0164,65
33,phony parrotfish,trust_competent_1,p0175,65
34,phony parrotfish,trust_competent_1,p0177,68
35,phony parrotfish,trust_competent_1,p0178,68
36,phony parrotfish,trust_competent_1,p0181,65
37,phony parrotfish,trust_competent_1,p0186,65
38,phony parrotfish,trust_competent_1,p0196,68
39,phony parrotfish,trust_competent_1,p0198,68
40,phony parrotfish,trust_competent_1,p0202,75
41,phony parrotfish,trust_competent_1,p0205,65
42,phony parrotfish,trust_competent_1,p0207,45
43,phony parrotfish,trust_competent_1,p0211,45
44,phony parrotfish,trust_competent_1,p0227,75
