,condition,outcome,persona,response
0,phony parrotfish,gender,p0016,2
1,phony parrotfish,gender,p0022,2
2,phony parrotfish,gender,p0023,1
3,phony parrotfish,gender,p0026,2
4,phony parrotfish,gender,p0034,1
5,phony parrotfish,gender,p0036,1
6,phony parrotfish,gender,p0037,1
7,phony parrotfish,gender,p0042,1
8,phony parrotfish,gender,p0057,2
9,phony parrotfish,gender,p0066,1
10,phony parrotfish,gender,p0069,2
11,phony parrotfish,gender,p0072,2
12,phony parrotfish,gender,p0073,1
13,phony parrotfish,gender,p0082,1
14,phony parrotfish,gender,p0091,1
15,phony parrotfish,gender,p0092,1
16,phony parrotfish,gender,p0093,1
17,phony parrotfish,gender,p0095,1
18,phony parrotfish,gender,p0107,2
19,phony parrotfish,gender,p0114,1
20,phony parrotfish,gender,p0116,1
21,phony parrotfish,gender,p0118,2
22,phony parrotfish,gender,p0119,1
23,phony parrotfish,gender,p0126,1
24,phony parrotfish,gender,p0129,1
25,phony parrotfish,gender,p0136,2
26,phony parrotfish,gender,p0138,1
27,phony parrotfish,gender,p0144,2
28,phony parrotfish,gender,p0150,1
29,phony parrotfish,gender,p0152,2
30,phony parrotfish,gender,p0158,2
31,phony parrotfish,gender,p0161,1
32,phony parrotfish,gender,p0164,2
33,phony parrotfish,gender,p0175,1
34,phony parrotfish,gender,p0177,1
35,phony parrotfish,gender,p0178,1
36,phony parrotfish,gender,p0181,2
37,phony parrotfish,gender,p0186,2
38,phony parrotfish,gender,p0196,2
39,phony parrotfish,gender,p0198,1
40,phony parrotfish,gender,p0202,1
41,phony parrotfish,gender,p0205,1
42,phony parrotfish,gender,p0207,1
43,phony parrotfish,gender,p0211,1
44,phony parrotfish,gender,p0227,2
45,phony parrotfish,gender,p0229,1
46,phony parrotfish,gender,p0232,1
47,phony parrotfish,gender,p0233,2
48,phony parrotfish,gender,p0237,1
49,phony parrotfish,gender,p0258,1
50,phony parrotfish,gender,p0268,1
51,phony parrotfish,gender,p0274,1
52,phony parrotfish,gender,p0275,1
53,phony parrotfish,gender,p0277,1
54,phony parrotfish,gender,p0288,1
55,phony parrotfish,gender,p0291,1
56,phony parrotfish,gender,p0307,1
57,phony parrotfish,gender,p0308,1
58,phony parrotfish,gender,p0317,1
59,phony parrotfish,gender,p0325,2
60,phony parrotfish,gender,p0327,1
61,phony parrotfish,gender,p0334,1
62,phony parrotfish,gender,p0336,1
63,phony parrotfish,gender,p0338,1
64,phony parrotfish,gender,p0342,1
65,phony parrotfish,gender,p0349,1
66,phony parrotfish,gender,p0356,2
67,phony parrotfish,gender,p0358,1
68,phony parrotfish,gender,p0363,1
69,phony parrotfish,gender,p0364,1
70,phony parrotfish,gender,p0369,2
71,phony parrotfish,gender,p0370,2
72,phony parrotfish,gender,p0371,1
73,phony parrotfish,gender,p0379,1
74,phony parrotfish,gender,p0386,1
75,phony parrotfish,gender,p0396,2
76,phony parrotfish,gender,p0403,2
77,phony parrotfish,gender,p0405,2
78,phony parrotfish,gender,p0412,1
79,phony parrotfish,gender,p0415,1
80,phony parrotfish,gender,p0416,1
81,phony parrotfish,gender,p0417,1
82,phony parrotfish,gender,p0418,2
83,phony parrotfish,gender,p0430,1
84,phony parrotfish,gender,p0431,2
85,phony parrotfish,gender,p0434,2
86,phony parrotfish,gender,p0438,2
87,phony parrotfish,gender,p0441,2
88,phony parrotfish,gender,p0442,2
89,phony parrotfish,gender,p0449,1
90,phony parrotfish,gender,p0450,2
91,phony parrotfish,gender,p0465,1
92,phony parrotfish,gender,p0471,2
93,phony parrotfish,gender,p0477,2
94,phony parrotfish,gender,p0483,2
95,phony parrotfish,gender,p0486,1
96,phony parrotfish,gender,p0487,1
97,phony parrotfish,gender,p0489,1
98,phony parrotfish,gender,p0497,1
99,phony parrotfish,gender,p0502,1
100,phony parrotfish,gender,p0503,2
101,phony parrotfish,gender,p0506,1
102,phony parrotfish,gender,p0511,1
103,phony parrotfish,gender,p0523,2
104,phony parrotfish,gender,p0534,1
105,phony parrotfish,gender,p0536,1
106,phony parrotfish,gender,p0542,1
107,phony parrotfish,gender,p0547,2
108,phony parrotfish,gender,p0553,1
109,phony parrotfish,gender,p0559,2
110,phony parrotfish,gender,p0566,1
111,phony parrotfish,gender,p0568,2
112,phony parrotfish,gender,p0570,1
113,phony parrotfish,gender,p0573,2
114,phony parrotfish,gender,p0578,1
115,phony parrotfish,gender,p0594,1
116,phony parrotfish,gender,p0597,1
117,phony parrotfish,gender,p0601,1
118,phony parrotfish,gender,p0602,2
119,phony parrotfish,gender,p0605,1
120,phony parrotfish,gender,p0615,1
121,phony parrotfish,gender,p0620,1
122,phony parrotfish,gender,p0626,2
123,phony parrotfish,gender,p0629,2
124,phony parrotfish,gender,p0633,2
125,phony parrotfish,gender,p0638,2
126,phony parrotfish,gender,p0639,1
127,phony parrotfish,gender,p0640,2
128,phony parrotfish,gender,p0655,2
129,phony parrotfish,gender,p0656,1
130,phony parrotfish,gender,p0658,1
131,phony parrotfish,gender,p0661,1
132,phony parrotfish,gender,p0669,1
133,phony parrotfish,gender,p0670,2
134,phony parrotfish,gender,p0672,2
135,phony parrotfish,gender,p0674,1
136,phony parrotfish,gender,p0678,1
137,phony parrotfish,gender,p0683,2
138,phony parrotfish,gender,p0686,1
139,phony parrotfish,gender,p0687,1
140,phony parrotfish,gender,p0698,2
141,phony parrotfish,gender,p0700,1
142,phony parrotfish,gender,p0703,1
143,phony parrotfish,gender,p0718,1
144,phony parrotfish,gender,p0744,2
145,phony parrotfish,gender,p0745,1
146,phony parrotfish,gender,p0753,2
147,phony parrotfish,gender,p0770,1
148,phony parrotfish,gender,p0771,1
149,phony parrotfish,gender,p0777,1
