,condition,outcome,persona,response
0,practical planarian,trust_competent_1,p0016,78
1,practical planarian,trust_competent_1,p0022,68
2,practical planarian,trust_competent_1,p0023,75
3,practical planarian,trust_competent_1,p0026,68
4,practical planarian,trust_competent_1,p0034,68
5,practical planarian,trust_competent_1,p0036,68
6,practical planarian,trust_competent_1,p0037,68
7,practical planarian,trust_competent_1,p0042,68
8,practical planarian,trust_competent_1,p0057,68
9,practical planarian,trust_competent_1,p0066,78
10,practical planarian,trust_competent_1,p0069,65
11,practical planarian,trust_competent_1,p0072,78
12,practical planarian,trust_competent_1,p0073,65
13,practical planarian,trust_competent_1,p0082,72
14,practical planarian,trust_competent_1,p0091,75
15,practical planarian,trust_competent_1,p0092,68
16,practical planarian,trust_competent_1,p0093,75
17,practical planarian,trust_competent_1,p0095,68
18,practical planarian,trust_competent_1,p0107,62
19,practical planarian,trust_competent_1,p0114,78
20,practical planarian,trust_competent_1,p0116,62
21,practical planarian,trust_competent_1,p0118,68
22,practical planarian,trust_competent_1,p0119,68
23,practical planarian,trust_competent_1,p0126,72
24,practical planarian,trust_competent_1,p0129,78
25,practical planarian,trust_competent_1,p0136,68
26,practical planarian,trust_competent_1,p0138,65
27,practical planarian,trust_competent_1,p0144,62
28,practical planarian,trust_competent_1,p0150,68
29,practical planarian,trust_competent_1,p0152,68
30,practical planarian,trust_competent_1,p0158,62
31,practical planarian,trust_competent_1,p0161,68
32,practical planarian,trust_competent_1,p0164,62
33,practical planarian,trust_competent_1,p0175,68
34,practical planarian,trust_competent_1,p0177,68
35,practical planarian,trust_competent_1,p0178,75
36,practical planarian,trust_competent_1,p0181,55
37,practical planarian,trust_competent_1,p0186,68
38,practical planarian,trust_competent_1,p0196,65
39,practical planarian,trust_competent_1,p0198,78
40,practical planarian,trust_competent_1,p0202,78
41,practical planarian,trust_competent_1,p0205,68
42,practical planarian,trust_competent_1,p0207,65
43,practical planarian,trust_competent_1,p0211,55
44,practical planarian,trust_competent_1,p0227,78
45,practical planarian,trust_competent_1,p0229,65
46,practical planarian,trust_competent_1,p0232,75
47,practical planarian,trust_competent_1,p0233,65
48,practical planarian,trust_competent_1,p0237,78
49,practical planarian,trust_competent_1,p0258,68
50,practical planarian,trust_competent_1,p0268,45
51,practical planarian,trust_competent_1,p0274,68
52,practical planarian,trust_competent_1,p0275,45
53,practical planarian,trust_competent_1,p0277,62
54,practical planarian,trust_competent_1,p0288,78
55,practical planarian,trust_competent_1,p0291,75
56,practical planarian,trust_competent_1,p0307,62
57,practical planarian,trust_competent_1,p0308,68
58,practical planarian,trust_competent_1,p0317,65
59,practical planarian,trust_competent_1,p0325,78
60,practical planarian,trust_competent_1,p0327,75
61,practical planarian,trust_competent_1,p0334,78
62,practical planarian,trust_competent_1,p0336,72
63,practical planarian,trust_competent_1,p0338,45
64,practical planarian,trust_competent_1,p0342,75
65,practical planarian,trust_competent_1,p0349,65
66,practical planarian,trust_competent_1,p0356,65
67,practical planarian,trust_competent_1,p0358,68
68,practical planarian,trust_competent_1,p0363,72
69,practical planarian,trust_competent_1,p0364,78
70,practical planarian,trust_competent_1,p0369,78
71,practical planarian,trust_competent_1,p0370,55
72,practical planarian,trust_competent_1,p0371,68
73,practical planarian,trust_competent_1,p0379,68
74,practical planarian,trust_competent_1,p0386,78
75,practical planarian,trust_competent_1,p0396,68
