,condition,outcome,persona,response
0,practical planarian,gender,p0016,2
1,practical planarian,gender,p0022,2
2,practical planarian,gender,p0023,1
3,practical planarian,gender,p0026,2
4,practical planarian,gender,p0034,1
5,practical planarian,gender,p0036,1
6,practical planarian,gender,p0037,1
7,practical planarian,gender,p0042,1
8,practical planarian,gender,p0057,2
9,practical planarian,gender,p0066,1
10,practical planarian,gender,p0069,2
11,practical planarian,gender,p0072,2
12,practical planarian,gender,p0073,1
13,practical planarian,gender,p0082,1
14,practical planarian,gender,p0091,1
15,practical planarian,gender,p0092,1
16,practical planarian,gender,p0093,1
17,practical planarian,gender,p0095,1
18,practical planarian,gender,p0107,2
19,practical planarian,gender,p0114,1
20,practical planarian,gender,p0116,1
21,practical planarian,gender,p0118,2
22,practical planarian,gender,p0119,1
23,practical planarian,gender,p0126,1
24,practical planarian,gender,p0129,1
25,practical planarian,gender,p0136,2
26,practical planarian,gender,p0138,1
27,practical planarian,gender,p0144,2
28,practical planarian,gender,p0150,1
29,practical planarian,gender,p0152,2
30,practical planarian,gender,p0158,2
31,practical planarian,gender,p0161,1
32,practical planarian,gender,p0164,2
33,practical planarian,gender,p0175,1
34,practical planarian,gender,p0177,1
35,practical planarian,gender,p0178,1
36,practical planarian,gender,p0181,2
37,practical planarian,gender,p0186,2
38,practical planarian,gender,p0196,2
39,practical planarian,gender,p0198,1
40,practical planarian,gender,p0202,1
41,practical planarian,gender,p0205,1
42,practical planarian,gender,p0207,1
43,practical planarian,gender,p0211,1
44,practical planarian,gender,p0227,2
45,practical planarian,gender,p0229,1
46,practical planarian,gender,p0232,1
47,practical planarian,gender,p0233,2
48,practical planarian,gender,p0237,1
49,practical planarian,gender,p0258,1
50,practical planarian,gender,p0268,1
51,practical planarian,gender,p0274,1
52,practical planarian,gender,p0275,1
53,practical planarian,gender,p0277,1
54,practical planarian,gender,p0288,1
55,practical planarian,gender,p0291,1
56,practical planarian,gender,p0307,1
57,practical planarian,gender,p0308,1
58,practical planarian,gender,p0317,1
59,practical planarian,gender,p0325,2
60,practical planarian,gender,p0327,1
61,practical planarian,gender,p0334,1
62,practical planarian,gender,p0336,1
63,practical planarian,gender,p0338,1
64,practical planarian,gender,p0342,1
65,practical planarian,gender,p0349,1
66,practical planarian,gender,p0356,2
67,practical planarian,gender,p0358,1
68,practical planarian,gender,p0363,1
69,practical planarian,gender,p0364,1
70,practical planarian,gender,p0369,2
71,practical planarian,gender,p0370,2
72,practical planarian,gender,p0371,1
73,practical planarian,gender,p0379,1
74,practical planarian,gender,p0386,1
75,practical planarian,gender,p0396,2
76,practical planarian,gender,p0403,2
77,practical planarian,gender,p0405,2
78,practical planarian,gender,p0412,1
79,practical planarian,gender,p0415,1
80,practical planarian,gender,p0416,1
81,practical planarian,gender,p0417,1
82,practical planarian,gender,p0418,2
83,practical planarian,gender,p0430,1
84,practical planarian,gender,p0431,2
85,practical planarian,gender,p0434,2
86,practical planarian,gender,p0438,2
87,practical planarian,gender,p0441,2
88,practical planarian,gender,p0442,2
89,practical planarian,gender,p0449,1
90,practical planarian,gender,p0450,2
91,practical planarian,gender,p0465,1
92,practical planarian,gender,p0471,2
93,practical planarian,gender,p0477,2
94,practical planarian,gender,p0483,2
95,practical planarian,gender,p0486,1
96,practical planarian,gender,p0487,1
97,practical planarian,gender,p0489,1
98,practical planarian,gender,p0497,1
99,practical planarian,gender,p0502,1
100,practical planarian,gender,p0503,2
101,practical planarian,gender,p0506,1
102,practical planarian,gender,p0511,1
103,practical planarian,gender,p0523,2
104,practical planarian,gender,p0534,1
105,practical planarian,gender,p0536,1
106,practical planarian,gender,p0542,1
107,practical planarian,gender,p0547,2
108,practical planarian,gender,p0553,1
109,practical planarian,gender,p0559,2
110,practical planarian,gender,p0566,1
111,practical planarian,gender,p0568,2
112,practical planarian,gender,p0570,1
113,practical planarian,gender,p0573,2
114,practical planarian,gender,p0578,1
115,practical planarian,gender,p0594,1
116,practical planarian,gender,p0597,1
117,practical planarian,gender,p0601,1
118,practical planarian,gender,p0602,2
119,practical planarian,gender,p0605,1
120,practical planarian,gender,p0615,1
121,practical planarian,gender,p0620,1
122,practical planarian,gender,p0626,2
123,practical planarian,gender,p0629,2
124,practical planarian,gender,p0633,2
125,practical planarian,gender,p0638,2
126,practical planarian,gender,p0639,1
127,practical planarian,gender,p0640,2
128,practical planarian,gender,p0655,2
129,practical planarian,gender,p0656,1
130,practical planarian,gender,p0658,1
131,practical planarian,gender,p0661,1
132,practical planarian,gender,p0669,1
