,condition,outcome,persona,response
0,worse wildfowl,trust_competent_1,p0016,78
1,worse wildfowl,trust_competent_1,p0022,68
2,worse wildfowl,trust_competent_1,p0023,"75
"
3,worse wildfowl,trust_competent_1,p0026,78
4,worse wildfowl,trust_competent_1,p0034,62
5,worse wildfowl,trust_competent_1,p0036,68
6,worse wildfowl,trust_competent_1,p0037,68
7,worse wildfowl,trust_competent_1,p0042,72
8,worse wildfowl,trust_competent_1,p0057,68
9,worse wildfowl,trust_competent_1,p0066,75
10,worse wildfowl,trust_competent_1,p0069,45
11,worse wildfowl,trust_competent_1,p0072,75
12,worse wildfowl,trust_competent_1,p0073,"72
"
13,worse wildfowl,trust_competent_1,p0082,75
14,worse wildfowl,trust_competent_1,p0091,"75
"
15,worse wildfowl,trust_competent_1,p0092,75
16,worse wildfowl,trust_competent_1,p0093,"75
"
17,worse wildfowl,trust_competent_1,p0095,75
18,worse wildfowl,trust_competent_1,p0107,68
19,worse wildfowl,trust_competent_1,p0114,78
20,worse wildfowl,trust_competent_1,p0116,"62
"
21,worse wildfowl,trust_competent_1,p0118,68
22,worse wildfowl,trust_competent_1,p0119,78
23,worse wildfowl,trust_competent_1,p0126,68
24,worse wildfowl,trust_competent_1,p0129,78
25,worse wildfowl,trust_competent_1,p0136,68
26,worse wildfowl,trust_competent_1,p0138,"62
"
27,worse wildfowl,trust_competent_1,p0144,68
28,worse wildfowl,trust_competent_1,p0150,68
29,worse wildfowl,trust_competent_1,p0152,68
30,worse wildfowl,trust_competent_1,p0158,"55
"
31,worse wildfowl,trust_competent_1,p0161,75
32,worse wildfowl,trust_competent_1,p0164,62
33,worse wildfowl,trust_competent_1,p0175,75
34,worse wildfowl,trust_competent_1,p0177,75
35,worse wildfowl,trust_competent_1,p0178,78
36,worse wildfowl,trust_competent_1,p0181,35
37,worse wildfowl,trust_competent_1,p0186,68
38,worse wildfowl,trust_competent_1,p0196,"72
"
39,worse wildfowl,trust_competent_1,p0198,78
40,worse wildfowl,trust_competent_1,p0202,78
41,worse wildfowl,trust_competent_1,p0205,55
42,worse wildfowl,trust_competent_1,p0207,35
43,worse wildfowl,trust_competent_1,p0211,62
44,worse wildfowl,trust_competent_1,p0227,78
45,worse wildfowl,trust_competent_1,p0229,72
46,worse wildfowl,trust_competent_1,p0232,"75
"
47,worse wildfowl,trust_competent_1,p0233,65
48,worse wildfowl,trust_competent_1,p0237,78
49,worse wildfowl,trust_competent_1,p0258,68
50,worse wildfowl,trust_competent_1,p0268,"45
"
51,worse wildfowl,trust_competent_1,p0274,78
52,worse wildfowl,trust_competent_1,p0275,35
53,worse wildfowl,trust_competent_1,p0277,65
54,worse wildfowl,trust_competent_1,p0288,75
55,worse wildfowl,trust_competent_1,p0291,"75
"
56,worse wildfowl,trust_competent_1,p0307,68
57,worse wildfowl,trust_competent_1,p0308,78
58,worse wildfowl,trust_competent_1,p0317,45
59,worse wildfowl,trust_competent_1,p0325,75
60,worse wildfowl,trust_competent_1,p0327,"75
"
61,worse wildfowl,trust_competent_1,p0334,78
62,worse wildfowl,trust_competent_1,p0336,78
63,worse wildfowl,trust_competent_1,p0338,"45
"
64,worse wildfowl,trust_competent_1,p0342,"75
"
65,worse wildfowl,trust_competent_1,p0349,"62
"
66,worse wildfowl,trust_competent_1,p0356,68
67,worse wildfowl,trust_competent_1,p0358,72
68,worse wildfowl,trust_competent_1,p0363,78
69,worse wildfowl,trust_competent_1,p0364,78
70,worse wildfowl,trust_competent_1,p0369,78
71,worse wildfowl,trust_competent_1,p0370,62
72,worse wildfowl,trust_competent_1,p0371,68
73,worse wildfowl,trust_competent_1,p0379,68
74,worse wildfowl,trust_competent_1,p0386,78
75,worse wildfowl,trust_competent_1,p0396,78
76,worse wildfowl,trust_competent_1,p0403,78
77,worse wildfowl,trust_competent_1,p0405,"75
"
78,worse wildfowl,trust_competent_1,p0412,78
79,worse wildfowl,trust_competent_1,p0415,68
80,worse wildfowl,trust_competent_1,p0416,"75
"
81,worse wildfowl,trust_competent_1,p0417,75
82,worse wildfowl,trust_competent_1,p0418,62
83,worse wildfowl,trust_competent_1,p0430,75
84,worse wildfowl,trust_competent_1,p0431,"75
"
85,worse wildfowl,trust_competent_1,p0434,35
86,worse wildfowl,trust_competent_1,p0438,"75
"
87,worse wildfowl,trust_competent_1,p0441,78
88,worse wildfowl,trust_competent_1,p0442,45
89,worse wildfowl,trust_competent_1,p0449,"65
"
90,worse wildfowl,trust_competent_1,p0450,75
91,worse wildfowl,trust_competent_1,p0465,62
92,worse wildfowl,trust_competent_1,p0471,78
93,worse wildfowl,trust_competent_1,p0477,68
94,worse wildfowl,trust_competent_1,p0483,78
95,worse wildfowl,trust_competent_1,p0486,75
96,worse wildfowl,trust_competent_1,p0487,"75
"
97,worse wildfowl,trust_competent_1,p0489,"75
"
98,worse wildfowl,trust_competent_1,p0497,35
99,worse wildfowl,trust_competent_1,p0502,68
100,worse wildfowl,trust_competent_1,p0503,"75
"
101,worse wildfowl,trust_competent_1,p0506,68
102,worse wildfowl,trust_competent_1,p0511,75
103,worse wildfowl,trust_competent_1,p0523,78
104,worse wildfowl,trust_competent_1,p0534,78
105,worse wildfowl,trust_competent_1,p0536,78
106,worse wildfowl,trust_competent_1,p0542,45
107,worse wildfowl,trust_competent_1,p0547,75
108,worse wildfowl,trust_competent_1,p0553,78
109,worse wildfowl,trust_competent_1,p0559,75
110,worse wildfowl,trust_competent_1,p0566,"75
"
111,worse wildfowl,trust_competent_1,p0568,68
112,worse wildfowl,trust_competent_1,p0570,45
113,worse wildfowl,trust_competent_1,p0573,68
114,worse wildfowl,trust_competent_1,p0578,"65
"
115,worse wildfowl,trust_competent_1,p0594,"62
"
116,worse wildfowl,trust_competent_1,p0597,"75
"
117,worse wildfowl,trust_competent_1,p0601,"75
"
118,worse wildfowl,trust_competent_1,p0602,62
119,worse wildfowl,trust_competent_1,p0605,68
120,worse wildfowl,trust_competent_1,p0615,68
121,worse wildfowl,trust_competent_1,p0620,75
122,worse wildfowl,trust_competent_1,p0626,78
123,worse wildfowl,trust_competent_1,p0629,78
