,condition,outcome,persona,response
0,worse wildfowl,gender,p0016,2
1,worse wildfowl,gender,p0022,2
2,worse wildfowl,gender,p0023,1
3,worse wildfowl,gender,p0026,2
4,worse wildfowl,gender,p0034,1
5,worse wildfowl,gender,p0036,1
6,worse wildfowl,gender,p0037,1
7,worse wildfowl,gender,p0042,1
8,worse wildfowl,gender,p0057,2
9,worse wildfowl,gender,p0066,1
10,worse wildfowl,gender,p0069,2
11,worse wildfowl,gender,p0072,2
12,worse wildfowl,gender,p0073,1
13,worse wildfowl,gender,p0082,1
14,worse wildfowl,gender,p0091,1
15,worse wildfowl,gender,p0092,1
16,worse wildfowl,gender,p0093,1
17,worse wildfowl,gender,p0095,1
18,worse wildfowl,gender,p0107,2
19,worse wildfowl,gender,p0114,1
20,worse wildfowl,gender,p0116,1
21,worse wildfowl,gender,p0118,2
22,worse wildfowl,gender,p0119,1
23,worse wildfowl,gender,p0126,1
24,worse wildfowl,gender,p0129,1
25,worse wildfowl,gender,p0136,2
26,worse wildfowl,gender,p0138,1
27,worse wildfowl,gender,p0144,2
28,worse wildfowl,gender,p0150,1
29,worse wildfowl,gender,p0152,2
30,worse wildfowl,gender,p0158,2
31,worse wildfowl,gender,p0161,1
32,worse wildfowl,gender,p0164,2
33,worse wildfowl,gender,p0175,1
34,worse wildfowl,gender,p0177,1
35,worse wildfowl,gender,p0178,1
36,worse wildfowl,gender,p0181,2
37,worse wildfowl,gender,p0186,2
38,worse wildfowl,gender,p0196,2
39,worse wildfowl,gender,p0198,1
40,worse wildfowl,gender,p0202,1
41,worse wildfowl,gender,p0205,1
42,worse wildfowl,gender,p0207,1
43,worse wildfowl,gender,p0211,1
44,worse wildfowl,gender,p0227,2
45,worse wildfowl,gender,p0229,1
46,worse wildfowl,gender,p0232,1
47,worse wildfowl,gender,p0233,2
48,worse wildfowl,gender,p0237,1
49,worse wildfowl,gender,p0258,1
50,worse wildfowl,gender,p0268,1
51,worse wildfowl,gender,p0274,1
52,worse wildfowl,gender,p0275,1
53,worse wildfowl,gender,p0277,1
54,worse wildfowl,gender,p0288,1
55,worse wildfowl,gender,p0291,1
56,worse wildfowl,gender,p0307,1
57,worse wildfowl,gender,p0308,1
58,worse wildfowl,gender,p0317,1
59,worse wildfowl,gender,p0325,2
60,worse wildfowl,gender,p0327,1
61,worse wildfowl,gender,p0334,1
62,worse wildfowl,gender,p0336,1
63,worse wildfowl,gender,p0338,1
64,worse wildfowl,gender,p0342,1
65,worse wildfowl,gender,p0349,1
66,worse wildfowl,gender,p0356,2
67,worse wildfowl,gender,p0358,1
68,worse wildfowl,gender,p0363,1
69,worse wildfowl,gender,p0364,1
70,worse wildfowl,gender,p0369,2
71,worse wildfowl,gender,p0370,2
72,worse wildfowl,gender,p0371,1
73,worse wildfowl,gender,p0379,1
74,worse wildfowl,gender,p0386,1
75,worse wildfowl,gender,p0396,2
76,worse wildfowl,gender,p0403,2
77,worse wildfowl,gender,p0405,2
78,worse wildfowl,gender,p0412,1
79,worse wildfowl,gender,p0415,1
80,worse wildfowl,gender,p0416,1
81,worse wildfowl,gender,p0417,1
82,worse wildfowl,gender,p0418,2
83,worse wildfowl,gender,p0430,1
84,worse wildfowl,gender,p0431,2
85,worse wildfowl,gender,p0434,2
86,worse wildfowl,gender,p0438,2
87,worse wildfowl,gender,p0441,2
88,worse wildfowl,gender,p0442,2
89,worse wildfowl,gender,p0449,1
90,worse wildfowl,gender,p0450,2
91,worse wildfowl,gender,p0465,1
92,worse wildfowl,gender,p0471,2
93,worse wildfowl,gender,p0477,2
94,worse wildfowl,gender,p0483,2
95,worse wildfowl,gender,p0486,1
96,worse wildfowl,gender,p0487,1
97,worse wildfowl,gender,p0489,1
98,worse wildfowl,gender,p0497,1
99,worse wildfowl,gender,p0502,1
100,worse wildfowl,gender,p0503,2
101,worse wildfowl,gender,p0506,1
102,worse wildfowl,gender,p0511,1
103,worse wildfowl,gender,p0523,2
104,worse wildfowl,gender,p0534,1
105,worse wildfowl,gender,p0536,1
106,worse wildfowl,gender,p0542,1
107,worse wildfowl,gender,p0547,2
108,worse wildfowl,gender,p0553,1
109,worse wildfowl,gender,p0559,2
110,worse wildfowl,gender,p0566,1
111,worse wildfowl,gender,p0568,2
112,worse wildfowl,gender,p0570,1
113,worse wildfowl,gender,p0573,2
114,worse wildfowl,gender,p0578,1
115,worse wildfowl,gender,p0594,1
116,worse wildfowl,gender,p0597,1
117,worse wildfowl,gender,p0601,1
118,worse wildfowl,gender,p0602,2
119,worse wildfowl,gender,p0605,1
120,worse wildfowl,gender,p0615,1
121,worse wildfowl,gender,p0620,1
122,worse wildfowl,gender,p0626,2
123,worse wildfowl,gender,p0629,2
124,worse wildfowl,gender,p0633,2
125,worse wildfowl,gender,p0638,2
126,worse wildfowl,gender,p0639,1
127,worse wildfowl,gender,p0640,2
128,worse wildfowl,gender,p0655,2
129,worse wildfowl,gender,p0656,1
130,worse wildfowl,gender,p0658,1
131,worse wildfowl,gender,p0661,1
132,worse wildfowl,gender,p0669,1
133,worse wildfowl,gender,p0670,2
134,worse wildfowl,gender,p0672,2
135,worse wildfowl,gender,p0674,1
136,worse wildfowl,gender,p0678,1
137,worse wildfowl,gender,p0683,2
138,worse wildfowl,gender,p0686,1
139,worse wildfowl,gender,p0687,1
140,worse wildfowl,gender,p0698,2
141,worse wildfowl,gender,p0700,1
142,worse wildfowl,gender,p0703,1
143,worse wildfowl,gender,p0718,1
144,worse wildfowl,gender,p0744,2
145,worse wildfowl,gender,p0745,1
146,worse wildfowl,gender,p0753,2
147,worse wildfowl,gender,p0770,1
148,worse wildfowl,gender,p0771,1
149,worse wildfowl,gender,p0777,1
150,worse wildfowl,gender,p0779,1
151,worse wildfowl,gender,p0780,2
152,worse wildfowl,gender,p0783,1
153,worse wildfowl,gender,p0785,2
154,worse wildfowl,gender,p0786,2
155,worse wildfowl,gender,p0794,1
156,worse wildfowl,gender,p0798,1
157,worse wildfowl,gender,p0800,1
158,worse wildfowl,gender,p0820,2
159,worse wildfowl,gender,p0841,2
160,worse wildfowl,gender,p0849,1
161,worse wildfowl,gender,p0862,1
162,worse wildfowl,gender,p0867,2
163,worse wildfowl,gender,p0869,1
164,worse wildfowl,gender,p0872,1
165,worse wildfowl,gender,p0880,2
166,worse wildfowl,gender,p0891,1
167,worse wildfowl,gender,p0916,2
168,worse wildfowl,gender,p0917,2
169,worse wildfowl,gender,p0919,2
170,worse wildfowl,gender,p0922,2
171,worse wildfowl,gender,p0925,2
172,worse wildfowl,gender,p0927,1
173,worse wildfowl,gender,p0929,2
174,worse wildfowl,gender,p0930,1
175,worse wildfowl,gender,p0931,2
176,worse wildfowl,gender,p0933,2
177,worse wildfowl,gender,p0934,2
178,worse wildfowl,gender,p0936,2
179,worse wildfowl,gender,p0938,1
180,worse wildfowl,gender,p0939,2
181,worse wildfowl,gender,p0946,1
182,worse wildfowl,gender,p0951,1
183,worse wildfowl,gender,p0956,2
184,worse wildfowl,gender,p0962,2
185,worse wildfowl,gender,p0963,1
186,worse wildfowl,gender,p0969,1
187,worse wildfowl,gender,p0972,1
188,worse wildfowl,gender,p0975,1
189,worse wildfowl,gender,p0985,2
190,worse wildfowl,gender,p0993,1
191,worse wildfowl,gender,p0996,2
192,worse wildfowl,gender,p1011,1
193,worse wildfowl,gender,p1017,2
194,worse wildfowl,gender,p1020,1
195,worse wildfowl,gender,p1022,1
196,worse wildfowl,gender,p1024,2
197,worse wildfowl,gender,p1027,1
198,worse wildfowl,gender,p1028,1
199,worse wildfowl,gender,p1029,2
200,worse wildfowl,gender,p1032,1
201,worse wildfowl,gender,p1040,1
202,worse wildfowl,gender,p1047,1
203,worse wildfowl,gender,p1048,1
