profile_id,condition,gender,age_band,race,education,income,party,trust_multidimensional,trust_competence_1,trust_competence_2,trust_competence_3,trust_integrity_1,trust_integrity_2,trust_integrity_3,trust_benevolence_1,trust_benevolence_2,trust_benevolence_3,trust_openness_1,trust_openness_2,trust_openness_3,trust_post,distrust_post,funding_perceptions,policy_role_mean,inst_trust_mean,belief_post,concern_mean,policy_general,policy_specific_mean,behavior_mean,donation_ams,newsletter_signup
c01p0016,Scientist community helpers,Female,45-59,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,78.16666666666667,78,78,78,78,78,75,85,85,85,75,78,65,78,25,65,78.5,67.6,78,78.33333333333333,78,70.85714285714286,45.5,10,0
c01p0022,Scientist community helpers,Female,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,76.16666666666667,78,75,78,75,78,78,78,78,78,75,75,68,78,25,65,72.5,51.6,78,75.0,75,68.28571428571429,43.333333333333336,7,0
c01p0023,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,80.5,75,82,85,78,82,78,85,85,88,75,78,75,78,15,65,77.5,69.6,85,84.0,85,74.57142857142857,48.333333333333336,7,0
c01p0026,Scientist community helpers,Female,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,76.83333333333334,75,75,78,75,78,75,85,85,78,75,75,68,78,25,55,76.75,64.2,78,76.0,78,69.57142857142857,45.5,10,0
c01p0034,Scientist community helpers,Male,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,67.66666666666667,68,68,68,62,68,62,78,78,75,68,62,55,68,25,55,69.0,46.6,68,59.333333333333336,75,62.142857142857146,38.333333333333336,6,0
c01p0036,Scientist community helpers,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,69.58333333333333,68,72,68,65,68,65,78,78,78,65,65,65,72,25,55,71.75,50.2,75,67.0,72,68.14285714285714,41.666666666666664,10,0
c01p0037,Scientist community helpers,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,74.08333333333334,72,75,78,68,78,72,78,78,78,75,72,65,72,25,55,73.25,63.6,78,67.0,78,68.14285714285714,41.666666666666664,10,0
c01p0042,Scientist community helpers,Male,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,75.08333333333333,78,78,78,72,78,72,78,78,78,68,75,68,72,25,65,72.75,62.2,78,70.33333333333333,78,68.71428571428571,46.666666666666664,4,0
c01p0057,Scientist community helpers,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,70.83333333333333,72,68,68,68,68,68,78,78,78,68,68,68,68,35,65,71.5,50.2,72,73.66666666666667,78,69.71428571428571,43.833333333333336,7,0
c01p0066,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,78.16666666666667,78,78,78,78,78,75,85,85,85,75,78,65,78,15,75,70.0,62.2,75,68.33333333333333,75,64.57142857142857,35.0,10,0
c01p0069,Scientist community helpers,Female,30-44,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,70.41666666666666,65,68,75,65,75,68,78,78,75,68,65,65,65,15,65,67.5,42.6,65,68.33333333333333,75,62.857142857142854,36.666666666666664,10,0
c01p0072,Scientist community helpers,Female,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,82.41666666666667,85,85,82,78,82,82,90,92,85,75,78,75,78,15,75,77.5,67.6,85,78.33333333333333,85,65.42857142857143,41.666666666666664,7,0
c01p0073,Scientist community helpers,Male,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,73.33333333333333,72,78,78,68,78,68,78,78,78,68,68,68,68,25,65,73.25,52.2,78,73.66666666666667,78,66.71428571428571,43.333333333333336,7,0
c01p0082,Scientist community helpers,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,79.25,78,78,78,78,78,78,85,85,82,78,78,75,75,25,75,72.5,61.6,78,76.0,78,71.71428571428571,40.5,10,0
c01p0091,Scientist community helpers,Male,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,80.75,75,88,82,78,82,78,85,85,88,75,78,75,78,15,75,78.5,67.0,85,84.0,85,70.28571428571429,51.666666666666664,7,0
c01p0092,Scientist community helpers,Male,45-59,Black / African American,High school diploma / GED,"$30,000 to $55,999",Democrat,70.75,72,68,72,68,78,68,75,75,78,65,65,65,72,25,65,70.75,59.0,75,66.0,78,67.28571428571429,41.666666666666664,10,0
c01p0093,Scientist community helpers,Male,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,77.91666666666667,75,78,78,78,78,78,85,85,82,75,75,68,78,25,65,75.0,67.0,78,79.33333333333333,78,69.28571428571429,46.666666666666664,7,0
c01p0095,Scientist community helpers,Male,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,76.91666666666667,75,78,78,78,78,78,78,78,78,78,78,68,72,25,65,75.0,63.0,78,75.0,78,69.42857142857143,43.333333333333336,6,0
c01p0107,Scientist community helpers,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,69.25,68,68,68,62,68,68,78,78,78,65,65,65,68,25,65,68.25,50.2,68,66.0,68,67.28571428571429,41.666666666666664,4,0
c01p0114,Scientist community helpers,Male,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent,80.91666666666667,78,82,82,78,78,78,88,88,85,78,78,78,78,25,65,77.5,70.2,88,79.33333333333333,78,74.71428571428571,48.833333333333336,6,0
c01p0116,Scientist community helpers,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,68.25,65,68,68,62,68,68,75,75,78,65,62,65,68,25,65,68.25,49.0,68,61.666666666666664,75,64.42857142857143,40.0,7,0
c01p0118,Scientist community helpers,Female,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,68.5,65,68,68,65,68,68,75,75,75,65,65,65,68,25,65,70.75,50.2,75,62.666666666666664,75,68.28571428571429,43.333333333333336,7,0
c01p0119,Scientist community helpers,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,77.83333333333334,78,78,78,78,78,78,78,85,82,75,78,68,78,25,65,75.0,64.2,85,75.0,75,69.71428571428571,50.0,7,0
c01p0126,Scientist community helpers,Male,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,74.83333333333333,75,78,78,72,78,72,78,78,78,68,75,68,72,25,65,72.75,61.6,78,70.33333333333333,75,68.28571428571429,43.833333333333336,4,0
c01p0129,Scientist community helpers,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,81.5,78,88,88,78,82,78,85,85,88,75,78,75,78,15,65,77.5,71.8,85,79.33333333333333,78,72.57142857142857,45.0,6,0
c01p0136,Scientist community helpers,Female,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,68.5,68,65,68,62,68,62,78,78,78,65,65,65,68,25,65,69.0,49.0,68,63.666666666666664,72,67.71428571428571,36.666666666666664,2,0
c01p0138,Scientist community helpers,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,68.75,65,68,68,65,68,68,75,75,78,65,65,65,68,25,65,67.5,45.0,68,61.666666666666664,68,64.0,36.666666666666664,10,0
c01p0144,Scientist community helpers,Female,30-44,Other,Bachelor's degree,"$56,000 to $99,999",Independent,69.75,65,68,68,68,68,68,78,78,78,68,65,65,68,25,55,71.5,49.0,78,70.33333333333333,75,67.85714285714286,43.333333333333336,6,0
c01p0150,Scientist community helpers,Male,45-59,Black / African American,High school diploma / GED,"Less than $30,000",Democrat,69.83333333333333,68,68,68,68,75,68,75,75,78,65,65,65,68,25,65,70.75,42.4,75,65.0,78,65.85714285714286,33.333333333333336,6,0
c01p0152,Scientist community helpers,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,69.25,68,68,68,68,68,68,75,75,75,65,68,65,68,25,65,70.75,50.2,68,62.666666666666664,75,65.0,36.666666666666664,10,0
c01p0158,Scientist community helpers,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,66.75,65,68,62,62,68,62,75,75,75,65,62,62,68,25,65,66.5,43.0,65,56.0,68,62.142857142857146,36.666666666666664,10,0
c01p0161,Scientist community helpers,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,75.0,78,78,78,68,78,78,78,78,78,75,65,68,78,25,65,74.25,64.2,78,65.0,75,62.57142857142857,36.666666666666664,6,0
c01p0164,Scientist community helpers,Female,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,67.58333333333333,65,68,68,65,68,68,78,78,75,68,65,45,68,25,65,69.0,47.2,75,61.666666666666664,75,67.14285714285714,36.666666666666664,10,0
